count,lemma
19,change
13,order
11,""
11,existence
11,child
10,attention
10,point
9,man
9,price
9,church
9,world
8,government
8,state
8,evidence
7,court
7,country
7,home
6,satisfaction
6,trial
6,light
6,material
6,luck
6,result
6,end
6,life
5,discussion
5,memory
5,production
5,knowledge
5,water
5,action
5,interest
5,suit
5,force
4,degree
4,effect
4,cattle
4,increase
4,fact
4,surface
4,people
4,society
4,fore
4,problem
4,message
4,pressure
4,industry
4,member
4,use
4,contact
4,city
4,control
4,area
4,line
3,modification
3,service
3,family
3,strength
3,station
3,view
3,name
3,condition
3,individual
3,body
3,boy
3,music
3,average
3,level
3,institution
3,association
3,gift
3,term
3,total
3,security
3,judgment
3,form
3,number
3,halt
3,train
3,return
3,color
3,species
3,system
3,conformity
3,employment
3,cultivation
3,school
3,sinkiang
3,sense
3,company
3,news
3,chaos
3,way
3,experiment
3,marriage
3,response
3,favor
3,supply
3,war
2,missionary
2,land
2,style
2,fire
2,fruition
2,trade
2,greek
2,question
2,reward
2,linen
2,conflict
2,general
2,entrance
2,ruin
2,work
2,report
2,harmony
2,power
2,quarrel
2,fur
2,army
2,eye
2,operation
2,expansion
2,semblance
2,human
2,font
2,completion
2,insecurity
2,richness
2,present
2,food
2,famine
2,egg
2,solution
2,aspect
2,illness
2,ability
2,training
2,house
2,civilization
2,size
2,undertaking
2,commonwealth
2,cost
2,weight
2,vitality
2,peace
2,perfection
2,stage
2,growth
2,fruit
2,relief
2,face
2,law
2,husband
2,think
2,interaction
2,class
2,cold
2,fertility
2,revival
2,variation
2,reason
2,authority
2,harm
2,corporation
2,improvement
2,restoration
2,blessing
2,christianity
2,fight
2,coal
2,money
2,success
2,fortune
2,design
2,practice
2,livestock
2,subsoil
2,faith
2,understanding
2,opportunity
2,adjustment
2,difficulty
2,approval
2,object
2,wake
2,non-support
2,balance
2,air
2,joy
2,kind
2,advancement
2,legume
2,dog
2,conference
2,animal
2,public
2,revolution
1,distribution
1,testimony
1,other
1,organization
1,garment
1,rank
1,detail
1,battleline
1,liquid
1,path
1,liberty
1,charm
1,accumulate
1,wanderer
1,desert
1,decay
1,protein
1,fitting
1,gravity
1,barbarian
1,non-christian
1,frost
1,maturity
1,stockroom
1,infant
1,strain
1,temper
1,nation
1,reduction
1,stream
1,fear
1,town
1,grass
1,clinic
1,salary
1,spring
1,person
1,quality
1,emancipation
1,bushel
1,orphanage
1,addition
1,economy
1,gleam
1,help
1,infusion
1,love
1,garland
1,incentive
1,enemy
1,monopoly
1,relaxation
1,radical
1,stand
1,fuel
1,transfer
1,lighter
1,arab
1,fashion
1,evil
1,worker
1,steak
1,administration
1,wales
1,sanction
1,female
1,gazette
1,cut
1,gathering
1,sea
1,cloudburst
1,flower
1,decision
1,craft
1,conqueror
1,shear
1,manner
1,profit
1,father
1,leader
1,vessel
1,verse
1,pagan
1,steamer
1,reform
1,ideal
1,beauty
1,tear
1,loss
1,tendril
1,orientation
1,cot
1,remedy
1,skill
1,element
1,proportion
1,skin
1,cross
1,press
1,engine
1,distance
1,greenback
1,dignity
1,religion
1,colony
1,finder
1,decline
1,study
1,wall
1,microphone
1,employ-ment
1,coronation
1,chunk
1,kerosene
1,folk
1,fable
1,experience
1,acceptance
1,myth
1,fast
1,follerin
1,mouth
1,lack
1,talk
1,congress
1,shipping
1,republic
1,remorse
1,disobedience
1,amount
1,accord
1,relation
1,proximity
1,distinction
1,barrel
1,follower
1,handwriting
1,graze
1,student
1,foreigner
1,application
1,manor
1,walrus
1,survival
1,providence
1,awareness
1,advantage
1,plant
1,fat
1,partisan
1,riser
1,deep
1,importance
1,airway
1,impediment
1,alliance
1,labor
1,plain
1,ab
1,lover
1,standard
1,womanhood
1,conquest
1,courtship
1,inlet
1,entry
1,outline
1,boar
1,organism
1,locker
1,allwhite
1,frame
1,retirement
1,reader
1,ogden
1,consideration
1,import
1,ore
1,offspring
1,heritage
1,tory
1,course
1,refuse
1,alfalfa
1,enactment
1,pack
1,orchard
1,criminal
1,beating
1,evacuee
1,capture
1,coun-try
1,agreement
1,reconciliation
1,scale
1,whiteness
1,smile
1,twentyfive
1,bird
1,steer
1,limestone
1,evolution
1,touch
1,silver
1,flood
1,friend
1,consumer
1,kamala
1,accusation
1,confidence
1,red
1,writ
1,prize
1,inflation
1,choice
1,sunlight
1,chart
1,olive
1,blessedness
1,activity
1,business
1,depot
1,ken
1,expulsion
1,assurance
1,wife
1,servant
1,circle
1,wycliffe
1,reputation
1,game
1,exploitation
1,union
1,rod
1,college
1,version
1,achievement
1,borough
1,protectionist
1,three-foot
1,attempt
1,sway
1,spirit
1,revenue
1,authorization
1,mosque
1,customer
1,hand
1,compound
1,trouble
1,value
1,story
1,playground
1,charge
1,christian
1,stallion
1,pleasure
1,embarkation
1,pipe
1,wash
1,girl
1,party
1,direction
1,drudgery
1,cooperation
1,table
1,breeding
1,development
1,athenian
1,scenario
1,intervention
1,woman
1,vigor
1,taste
1,god
1,floor
1,crochete
1,bronze
1,bond
1,birth
1,agency
1,bull
1,plan
1,jug
1,fossil
1,singing
1,agriculture
1,orange
1,income
1,founder
1,store
1,sanctuary
1,bottom
1,connection
1,ladder
1,catkin
1,mileage
1,sort
1,shore
1,vegetable
1,aquarium
1,footbridge
1,deal
1,roman
1,blush
1,ion
1,influence
1,bankruptcy
1,rain
1,chase
1,breakdown
1,learning
1,museum
1,ridicule
1,willingness
1,stock
1,hook
1,darling
1,collection
1,impel
1,kingdom
1,gun
1,inspector
1,shoulder
1,tale
1,type
1,stop
1,transcendent
1,luster
1,alteration
1,check
1,wine
1,couple
1,depression
1,removal
1,protestantism
1,stockade
1,reply
1,occasion
1,consequence
1,pattern
1,disorder
1,spouse
1,conduit
1,picket
1,attitude
1,combination
1,nerve
1,intelligence
1,account
1,cause
1,office
1,breed
1,complex
1,predominance
1,weather
1,break
1,adoption
1,plague
1,stone
1,president
1,goldsmith
1,luxury
1,divinity
1,hamburg
1,warrior
1,presentation
1,suffering
1,tree
1,philosophy
1,happiness
1,right
1,recurrent
1,river
1,fermentation
1,factor
1,european
1,impact
1,passenger
1,destruction
1,battlefield
1,divorce
1,will
1,request
1,cowardice
1,price-level
1,disease
1,death
1,maximum
1,mind
1,warmth
1,committee
1,recreation
1,horse
1,mirror
1,disfavor
1,lass
1,telegraph
1,cargo
1,custody
1,grain
1,bahai
1,place
1,boil
1,bank
1,duchy
1,feudalism
1,gold
1,science
1,stabilization
1,hare
1,stability
1,circular
1,case
1,productiveness
1,expression
1,competitor
1,lamb
1,dictatorship
1,mint
1,disaster
1,shower
1,voice
1,selection
1,complication
1,pilgrim
1,flow
1,tone
1,exchange
1,environment
1,inheritance
1,translation
1,forward
1,vitaphone
1,parity
1,jundisapur
1,controversy
1,word
1,loading
1,slobber
1,oblivion
1,shipment
1,unemployment
1,snow
1,manufacturing
1,contest
1,rider
1,room
1,mankind
1,play
1,ivory
1,truck
1,mission
1,sweater
1,willcox
1,transition
1,head
1,rate
1,baggage
1,conservative
1,issue
1,advance
1,correspondence
1,generation
1,terror
1,disturbance
1,repetition
1,delight
1,promise
