count,lemma
61,""
58,chance
49,look
39,name
39,way
36,money
31,order
26,man
23,word
22,glance
21,sign
17,job
17,think
16,life
16,lift
16,answer
15,pleasure
15,idea
14,damn
14,address
14,impression
14,people
13,hand
13,signal
13,smile
13,number
13,ring
13,trouble
13,piece
12,cry
11,back
11,place
11,letter
11,break
10,light
10,food
10,kind
10,feel
10,room
10,party
10,present
10,opportunity
10,attention
10,key
10,woman
10,lot
10,son
9,kiss
9,child
9,right
9,card
9,drink
9,gold
9,laugh
9,reason
9,strength
9,credit
9,heed
9,thanks
9,sense
9,eye
8,friend
8,cup
8,shove
8,daughter
7,p.-a
7,advice
7,lesson
7,hint
7,--
7,rest
7,surprise
7,gun
7,cigarette
7,instruction
7,nod
7,power
6,delight
6,sigh
6,guy
6,clothes
6,relief
6,mine
6,girl
6,pain
6,courage
6,talk
6,appearance
6,kick
6,thing
6,check
6,vent
6,love
5,consent
5,water
5,information
5,bill
5,wink
5,freedom
5,lecture
5,scream
5,digitalis
5,police
5,satisfaction
5,illusion
5,hope
5,gideon
5,boy
5,start
5,effect
5,pat
5,pass
5,explanation
5,tip
4,lanny
4,push
4,sister
4,opening
4,deal
4,blessing
4,husband
4,devil
4,note
4,draft
4,grin
4,fact
4,land
4,rod
4,command
4,hell
4,chicken
4,brother
4,hoot
4,father
4,bit
4,coffee
4,knife
4,work
4,warning
4,ticket
4,cover
4,divorce
4,air
4,permission
4,god
4,message
4,birth
4,mother
4,apartment
4,buck
4,sleep
4,couple
3,direction
3,interest
3,shrug
3,promise
3,peace
3,concert
3,return
3,cause
3,kid
3,poke
3,silver
3,dime
3,wife
3,narcotic
3,berth
3,medal
3,touch
3,stare
3,fragrance
3,you
3,driver
3,taste
3,part
3,law
3,call
3,bag
3,plenty
3,dream
3,report
3,exclamation
3,bath
3,feed
3,supper
3,alibi
3,heart
3,baby
3,german
3,world
3,choice
3,red
3,detail
3,field
3,group
3,spirit
3,point
3,war
3,drug
3,purpose
3,chili
3,tablet
3,authority
3,arm
3,moan
3,shudder
3,state
3,dinner
3,speed
3,doctor
3,coldspring
3,pause
3,medicine
3,coachman
3,bride
3,animal
3,creep
3,shot
3,happiness
3,railroad
2,artist
2,squeeze
2,paint
2,living
2,duck
2,claim
2,coat
2,reply
2,breath
2,confidence
2,hat
2,shiver
2,prize
2,dirt
2,pay
2,invitation
2,run
2,hall
2,mouse
2,oil
2,benefit
2,cab
2,face
2,army
2,worthy
2,age
2,town
2,mount
2,ice
2,servant
2,hale
2,sexton
2,stranger
2,tea
2,stone
2,quality
2,matter
2,hug
2,truth
2,publicity
2,gesture
2,reassurance
2,ghost
2,glass
2,thrill
2,lie
2,notion
2,dope
2,lord
2,mojaves
2,interview
2,inkling
2,help
2,nugent
2,crow
2,enemy
