count,lemma
37,service
37,rise
35,name
33,""
31,information
29,child
27,way
27,attention
26,opportunity
26,impression
24,idea
21,order
21,effect
20,experience
20,appearance
19,individual
18,picture
18,birth
17,customer
17,area
17,man
17,power
17,credit
16,evidence
16,amount
16,instruction
16,value
15,problem
14,reason
14,person
14,account
13,fact
13,consideration
13,chance
13,expression
13,number
13,type
13,paper
13,place
12,color
12,attitude
12,result
11,example
11,think
11,form
11,clue
11,right
10,impetus
10,body
10,other
10,detail
10,satisfaction
10,land
10,state
10,situation
10,good
10,support
10,general
10,protection
9,care
9,milk
9,country
9,period
9,answer
9,advice
9,food
9,word
9,present
9,line
9,freedom
9,testimony
9,position
9,world
9,data
9,authority
8,sense
8,member
8,work
8,treatment
8,group
8,population
8,notice
8,assistance
8,indication
8,proposition
8,student
8,case
8,kind
8,object
8,people
7,practice
7,part
7,life
7,trouble
7,matter
7,figure
7,strength
7,business
7,condition
7,training
7,use
7,quantity
7,mother
7,deal
7,field
7,party
7,subject
7,money
6,quality
6,prestige
6,direction
6,item
6,table
6,merchandise
6,interpretation
6,industry
6,light
6,discussion
6,task
6,class
6,job
6,engineer
6,explanation
6,help
6,course
6,church
6,education
6,age
6,wheat
6,height
6,faith
6,description
6,feel
5,turn
5,contractor
5,price
5,government
5,security
5,tool
5,outline
5,charge
5,trait
5,average
5,activity
5,examination
5,aid
5,railroad
5,woman
5,moment
5,gift
5,bank
5,market
5,preference
5,factor
5,content
5,comfort
5,nature
5,process
5,responsibility
5,pound
5,space
5,material
5,status
5,behavior
5,labor
5,return
5,salespeople
5,movement
5,sentence
5,product
5,opinion
5,view
5,system
5,bun
5,community
5,book
5,conception
5,district
4,development
4,notion
4,confidence
4,response
4,importance
4,size
4,report
4,character
4,//
4,degree
4,room
4,animal
4,interest
4,human
4,school
4,surface
4,circumstance
4,choice
4,research
4,article
4,peace
4,date
4,wearer
4,benefit
4,income
4,access
4,city
4,employment
4,diet
4,knowledge
4,eye
4,method
4,organization
4,company
4,court
4,stock
4,structure
4,finish
4,fire
4,mean
4,signal
4,conflict
4,privilege
4,citizen
4,supervisor
4,law
4,command
4,play
4,unity
4,side
4,trial
4,relative
4,advantage
4,grade
4,parent
4,significance
4,distinction
4,air
4,proportion
4,question
3,characteristic
3,check
3,act
3,measure
3,range
3,cheese
3,operation
3,writing
3,effort
3,priority
3,concession
3,image
3,vent
3,fiber
3,recognition
3,department
3,train
3,insight
3,serpent
3,society
3,illusion
3,preparation
3,sign
3,voice
3,manifold
3,son
3,volume
3,king
3,change
3,stability
3,investigation
3,reality
3,horse
3,elasticity
3,exchange
3,currency
3,rock
3,religion
3,lift
3,mind
3,cash
3,soul
3,leadership
3,sex
3,building
3,brute
3,depth
3,map
3,analysis
3,principle
3,history
3,meaning
3,blow
3,fiat
3,perspective
3,theology
3,cut
3,force
3,rice
3,commission
3,reader
3,medicine
3,progress
3,coat
3,barnyard
3,first-person
3,occasion
3,scope
3,suggestion
3,purpose
3,kiss
3,boy
3,theory
3,sort
3,weight
3,classification
3,impulse
3,yell
3,telephone
3,hat
3,pleasure
3,victory
3,banquet
3,stage
3,action
3,army
3,test
3,balance
3,substance
3,public
3,hint
3,series
3,water
3,gas
3,tone
3,element
3,war
3,motion
3,hope
3,congress
3,stimulus
3,speculation
3,energy
3,thing
3,shop
3,wine
3,home
3,egg
3,observation
3,fief
2,possibility
2,portion
2,story
2,be
2,cow
2,excuse
2,aspirin
2,variety
2,hear
2,agency
2,bureau
2,approach
2,shade
2,bayonet
2,ring
2,concept
2,negotiation
2,chapter
2,study
2,leader
2,plan
2,vote
2,folk
2,ease
2,heed
2,salesperson
2,bombardier
2,talk
2,manner
2,piece
2,house
2,track
2,bride
2,allegiance
2,fur
2,rein
2,total
2,nylon
2,nation
2,family
2,relation
2,conduct
2,comparison
2,environment
2,foreigner
2,standard
2,smoothness
2,popularity
2,independence
2,load
2,pressure
2,goal
2,whole
2,division
2,mana
2,cohesion
2,indian
2,moral
2,shopper
2,sun
2,demand
2,teacher
2,sheet
2,frame
2,trade
2,sea
2,alarm
2,automobile
2,encouragement
2,approval
2,peasant
2,english
2,conviction
2,struggle
2,peekskill
2,historian
2,note
2,wealth
2,nest
2,rating
2,design
2,hospitality
2,recital
2,share
2,style
2,pope
2,post
2,summary
2,prompt
2,shirt
2,consumer
2,friend
2,green
2,red
2,perceiver
2,guidance
2,marriage
2,illustration
2,dimension
2,trust
2,assurance
2,administration
2,control
2,meat
2,texture
2,museum
2,counsel
2,agreement
2,flavor
2,percentage
2,statistics
2,unit
2,stuff
2,final
2,receipt
2,taste
2,issue
2,president
2,intellectual
2,modicum
2,coefficient
2,phrase
2,stand
2,safety
2,institution
2,species
2,seat
2,kingdom
2,artist
2,touch
