count,lemma
138,hand
38,arm
25,""
22,breath
21,head
12,glass
12,eye
11,man
11,finger
10,water
9,foot
9,paper
8,baby
7,grip
7,door
7,heart
6,face
6,fire
6,body
6,thing
6,nose
6,book
6,place
6,tooth
6,child
6,ground
5,mouth
5,court
5,end
5,gun
5,flag
5,palm
5,bottle
5,light
5,lap
5,side
5,cup
5,boy
5,wrist
4,mother
4,lip
4,check
4,fear
4,length
4,rifle
4,coat
4,cigarette
4,way
4,da
4,han
4,hope
4,moment
4,stick
4,bill
4,view
4,note
4,hat
4,chair
4,high
3,attention
3,chest
3,card
3,top
3,watch
3,button
3,pen
3,phone
3,interest
3,p.-a
3,bow
3,people
3,record
3,newspaper
3,terror
3,fold
3,close
3,lead
3,blanket
3,rope
3,shield
3,kid
3,waist
3,match
3,fort
3,piece
3,desk
3,peace
3,leg
3,lantern
3,shoulder
3,letter
3,bandana
3,box
3,tongue
2,rail
2,instrument
2,elbow
2,flannery
2,digitalis
2,irony
2,horse
2,cap
2,ma
2,force
2,stare
2,conference
2,rod
2,trade
2,key
2,press
2,snapshot
2,front
2,message
2,power
2,umbrella
2,line
2,course
2,service
2,step
2,pair
2,prisoner
2,clay
2,block
2,son
2,rock
2,love
2,pard
2,meaning
2,story
2,loose
2,inspection
2,return
2,negro
2,hit
2,musket
2,life
2,command
2,pencil
2,reserve
2,meeting
2,look
2,nightgown
2,manuscript
2,term
2,run
2,woman
2,back
2,god
2,city
2,knee
2,trial
2,frisco
2,right
2,bag
2,job
2,flashlight
2,plate
2,ear
2,forefinger
2,officer
2,spike
2,money
2,weight
2,cloak
2,mortgage
2,star
2,office
2,playsuit
2,stage
2,ace
2,attitude
2,fascination
2,handkerchief
2,fat
2,fact
2,thumb
2,paint
2,curtain
2,--
2,red
2,sight
2,doctor
2,splint
2,knife
2,business
2,father
2,plank
2,concubine
2,gaze
2,brass
2,chin
2,echo
2,circle
2,truth
1,folder
1,brother
1,road
1,audience
1,suspect
1,grief
1,permit
1,hip
