count,lemma
20,mind
17,record
15,order
13,eye
12,""
11,condition
9,repair
9,pace
8,discussion
7,point
7,stock
7,line
7,company
6,merchandise
6,quality
6,place
6,man
5,number
5,track
5,fact
5,body
5,secret
5,people
5,touch
5,run
5,air
5,move
4,weight
4,hair
4,job
4,foot
4,activity
4,business
4,price
4,name
4,house
4,fly
4,home
4,food
4,tradition
4,worker
4,hand
4,room
4,way
4,right
4,shape
4,mother
4,child
4,land
3,color
3,kitchen
3,ewe
3,side
3,money
3,heat
3,tank
3,minimum
3,wool
3,finger
3,camp
3,control
3,present
3,clothes
3,general
3,city
3,work
3,period
3,shoe
3,thing
3,female
3,country
3,promise
3,mosquito
3,motion
3,army
3,moon
3,knowledge
3,pen
3,paper
3,train
3,flock
3,capital
3,watch
3,liquid
3,industry
3,path
3,steam
3,word
3,diet
2,store
2,cloth
2,event
2,temple
2,peninsula
2,rag
2,guard
2,pressure
2,individual
2,plant
2,bound
2,page
2,warm
2,note
2,design
2,poetry
2,background
2,rival
2,orbit
2,service
2,family
2,invention
2,movement
2,corner
2,standard
2,draft
2,gold
2,farm
2,pulse
2,enclosure
2,group
2,yard
2,member
2,head
2,boy
2,interest
2,war
2,rate
2,kind
2,collar
2,purpose
2,peace
2,function
2,english
2,herd
2,circular
2,material
2,bed
2,soil
2,prosperity
2,coal
2,account
2,silver
2,cool
2,question
2,other
2,cash
2,green
2,joneses
2,faith
2,dust
2,memorandum
2,report
2,harmony
2,check
2,//
2,police
2,dark
2,wait
2,producer
2,sense
2,lamb
2,wage
2,slave
2,self
2,unit
2,road
2,limit
2,religion
2,leather
2,information
2,valley
2,male
2,farmer
2,earth
2,car
2,front
2,location
2,customer
2,list
2,observation
2,weather
2,wash
2,myth
2,contact
2,mouth
2,term
2,state
2,form
2,public
2,chest
2,loan
2,telephone
2,payment
2,amount
2,nation
2,precaution
2,grain
2,subject
2,loyalty
2,nail
2,stanchion
1,deterioration
1,interval
1,care
1,think
1,hold
1,dress
1,clock
1,confusion
1,reason
1,employer
1,surroundings
1,investment
1,step
1,population
1,strike
1,book
1,mill
1,slip
1,garment
1,serve
1,spread
1,wardrobe
1,screw
1,italian
1,count
1,flaw
1,brush
1,dinner
1,stampede
1,cooler
1,permit
1,extraction
1,frost
1,planet
1,hip
1,clean
1,curve
1,suppression
1,belief
1,emblem
1,pair
1,stream
1,town
1,perpendicular
1,bell
1,sling
1,spring
1,hillside
1,babylon
1,back
1,equator
1,subservient
1,notion
1,laboratory
1,sex
1,help
1,militia
1,dialect
1,love
1,growth
1,clay
1,section
1,scatter
1,fuel
1,shotgun
1,primary
1,currency
1,darkness
1,meat
1,concrete
1,starvation
1,gutter
1,authority
1,nouveau
1,map
1,notebook
1,harm
1,position
1,shelf
1,use
1,cow
1,founding
1,flower
