count,lemma
15,""
14,head
14,job
12,interest
9,man
8,money
8,temper
8,track
7,mind
7,balance
6,shadow
6,control
5,sense
5,child
5,watch
5,cause
5,war
5,world
4,nerve
4,way
4,lot
4,consciousness
4,think
4,mist
4,tooth
4,sight
4,count
3,argument
3,look
3,hold
3,meaning
3,beauty
3,fear
3,eye
3,life
3,voice
3,shape
3,thing
3,admiration
3,rest
3,identity
2,space
2,color
2,soul
2,power
2,view
2,speed
2,part
2,mother
2,sleep
2,patrol
2,shirt
2,grand
2,battle
2,son
2,altitude
2,speech
2,knack
2,home
2,footing
2,roar
2,medicine
2,faith
2,feeling
2,farm
2,kid
2,friend
2,lieutenant
2,deal
2,canary
2,boy
2,hope
2,authority
2,--
2,bell
2,river
2,weight
2,wit
2,wife
2,shoe
2,position
2,place
2,youth
1,dresser
1,tobias
1,engine
1,press
1,kitten
1,garden
1,tone
1,mojave
1,exchange
1,dignity
1,brightness
1,feat
1,bill
1,fox
1,savor
1,knife
1,grace
1,thinkin
1,practice
1,stature
1,small-timers
1,hole
1,master
1,groom
1,solemnity
1,wood
1,fellow
1,talk
1,papa
1,voil
1,uneasiness
1,amount
1,perfection
1,stock
1,jewel
1,front
1,tower
1,savage
1,exhaustion
1,cattle
1,integrity
1,daylight
1,shade
1,goodwill
1,application
1,gideon
1,steel
1,thread
1,platoon
1,baby
1,gun
1,treasure
1,agent
1,clothing
1,crevasse
1,family
1,hopelessness
1,ing
1,shekel
1,joy
1,miner
1,baggage
1,odds
1,stumble
1,demon
1,joviality
1,alarm
1,grey
1,locker
1,ship
1,bus
1,antoine
1,generation
1,eternity
1,spurt
1,gamble
1,luck
1,marks
1,fact
1,bet
1,depth
1,shift
1,market
1,kind
1,adventure
1,pride
1,live
1,snap
1,maze
1,righteousness
1,buy
1,event
1,veta
1,skull
1,smile
1,art
1,people
1,metal
1,fall
1,folding
1,land
1,drop
1,buck
1,question
1,mistake
1,green
1,build
1,capacity
1,jabez
1,peace
1,fold
1,shoot
1,constancy
1,focus
1,nymph
1,blizzard
1,dark
1,remnant
1,age
1,bout
1,dang
1,race
1,loser
1,all-enveloping
1,murder
1,wrinkle
1,multitude
1,forest
1,defense
1,slave
1,precision
1,game
1,ground
1,patience
1,snowstorm
1,list
1,urge
1,cap
1,subject
1,truth
1,willie
1,community
1,badlands
1,charity
1,blood
1,blanket
1,mora
1,talent
1,explosion
1,reason
1,selfassurance
1,fish
1,appetite
1,population
1,point
1,heart
1,rank
1,provision
1,dust
1,anger
1,duel
1,brush
1,quarry
1,fog
1,ass
1,habit
1,pin
1,plead
1,foot
1,tongue
1,daydream
1,paint
1,cinder
1,stinking
1,grip
1,radiance
1,license
1,quality
1,guard
1,advice
1,back
1,haste
1,matter
1,dam
1,chain
1,dreadfulness
1,hawgs
1,enemy
1,law
1,strength
1,evil
1,worker
1,privilege
1,tranquillity
1,cousin
1,trance
1,hell
1,daughter
1,customer
1,well
1,hand
1,value
1,bliss
1,example
1,coal
1,puddle
1,gut
1,courage
1,non-coms
1,swirl
1,bit
1,direction
1,boat
1,bewilderment
1,tree
1,happiness
1,name
1,humanist
1,taste
1,extent
1,glory
1,god
1,leaf
1,find
1,stupor
1,pouch
1,will
1,humanity
1,refrigeration
1,appreciation
1,death
1,pinto
1,plan
1,billings
1,mine
1,emergency
1,deck
1,tide
1,patient
1,lead
1,use
1,wealth
1,be
1,shock
1,flower
1,fight
1,rigging
1,delirium
1,slag
1,iron
1,stem
1,overseer
1,antagonist
1,council
1,father
1,profit
1,stability
1,case
1,vessel
1,result
1,train
1,dream
1,object
1,incident
1,guidepost
1,silence
1,expression
1,body
1,score
1,light
1,crush
1,window
1,shore
1,skill
1,trace
