count,lemma
20,war
13,money
12,job
10,home
9,man
9,sight
8,interest
8,faith
7,""
7,way
6,thing
6,face
6,control
6,life
6,case
6,fight
6,world
6,ground
5,husband
5,live
4,base
4,confidence
4,hold
4,industry
4,chance
4,back
4,generation
4,market
4,power
4,democracy
4,consciousness
4,point
4,result
4,battle
3,other
3,gun
3,count
3,appeal
3,part
3,balance
3,tank
3,labor
3,--
3,temper
3,touch
3,battalion
3,fear
3,member
3,reason
3,work
3,number
3,child
2,wife
2,vision
2,voice
2,sport
2,ability
2,claim
2,city
2,list
2,audience
2,event
2,coal
2,employee
2,kid
2,operation
2,sleep
2,plane
2,value
2,story
2,prestige
2,feather
2,building
2,victory
2,hospital
2,habit
2,mind
2,feel
2,saving
2,air
2,grip
2,weight
2,assault
2,eye
2,character
2,deal
2,affair
2,patient
2,head
2,struggle
2,rate
2,stand
2,country
2,vote
2,strength
2,leg
2,oil
2,argument
2,peace
2,family
2,ship
2,contract
2,shirt
2,streak
2,fish
2,jap
2,lot
2,horizon
2,effect
2,destroyer
2,dust
2,patience
2,right
2,general
2,track
2,capacity
2,charm
2,proportion
2,owner
2,hope
2,service
2,army
2,business
2,livelihood
2,turn
2,arm
2,sense
1,circumstance
1,limb
1,poise
1,front
1,content
1,difficulty
1,integrity
1,franchise
1,collection
1,son
1,knot
1,health
1,pound
1,truck
1,tie
1,driver
1,jockey
1,cartel
1,force
1,furioso
1,operetta
1,voter
1,boy
1,conservative
1,catroux
1,belt
1,hue
1,luggage
1,glare
1,gamble
1,fact
1,luck
1,rest
1,couple
1,depression
1,optimism
1,estate
1,ball
1,epidemic
1,public
1,bite
1,progress
1,repetition
1,consequence
1,conversation
1,isnow
1,art
1,vaudeville
1,wedding
1,revolution
1,majority
1,stretch
1,beginning
1,wallet
1,submarine
1,testimonial
1,innocence
1,land
1,sir
1,fitness
1,traffic
1,run
1,birthright
1,fury
1,memory
1,spot
1,rear
1,castle
1,soul
1,ear
1,snowstorm
1,craftsmanship
1,alien
1,hammer
1,opportunity
1,german
1,futuro
1,representative
1,viking
1,miracle
1,edge
1,poverty
1,muck
1,storm
1,yawl
1,dime
1,impulse
1,portance
1,duty
1,bridgehead
1,stratosphere
1,objective
