count,lemma
88,""
74,paper
69,use
42,man
37,way
35,decision
34,contribution
34,appearance
32,difference
30,money
30,part
30,material
29,effort
28,statement
28,adjustment
27,people
25,work
24,thing
24,study
24,mistake
24,fabric
23,point
23,choice
23,sheet
23,change
23,country
22,impression
22,progress
22,milk
22,loan
21,rug
21,home
20,number
20,job
20,public
19,profit
19,list
19,group
19,flour
18,method
18,individual
18,government
18,living
17,type
17,person
17,attempt
16,customer
16,process
16,hand
16,figure
16,report
16,family
16,design
15,purchase
15,law
15,discovery
15,cotton
15,fact
15,place
15,life
14,housekeeping
14,trip
14,wheat
14,arrangement
14,concession
14,child
14,suggestion
14,kind
14,observation
14,yarn
14,fiber
13,bank
13,hat
13,state
13,appeal
13,record
13,plant
13,water
12,matter
12,price
12,purpose
12,other
12,problem
12,service
12,style
12,general
12,system
12,silk
11,word
11,rate
11,recommendation
11,basis
11,success
11,comparison
11,case
11,test
11,growth
11,foot
11,dress
11,president
11,color
10,wood
10,student
10,woman
10,mention
10,friend
10,provision
10,call
10,room
10,linen
10,look
10,telephone
10,wool
10,engineer
10,product
10,face
10,run
10,distinction
10,pattern
10,shoe
10,plan
10,journey
10,contact
9,fire
9,demand
9,claim
9,//
9,result
9,society
9,tool
9,selection
9,straw
9,good
9,subject
9,piece
9,world
9,jump
9,gain
9,experiment
9,member
8,note
8,consumer
8,age
8,return
8,survey
8,dye
8,quality
8,advance
8,gold
8,land
8,error
8,set
8,article
8,labor
8,drawing
8,science
8,feel
8,form
8,tariff
8,period
8,order
8,business
8,merchandise
8,mind
8,payment
8,size
8,improvement
8,center
8,mill
7,production
7,assumption
7,clay
7,principle
7,grain
7,charge
7,side
7,worker
7,company
7,noise
7,cloth
7,floor
7,watermark
7,line
7,allowance
7,reduction
7,profession
7,porcelain
7,training
7,name
7,attitude
7,occasion
7,division
7,trial
7,object
7,capital
7,industry
7,term
7,instrument
7,condition
7,calculation
7,interpretation
7,leader
7,pottery
7,interest
6,texture
6,program
6,machinery
6,attack
6,chapter
6,trade
6,steel
6,classification
6,think
6,building
6,score
6,mineral
6,power
6,visit
6,treaty
6,contract
6,range
6,chief
6,sort
6,court
6,town
6,class
6,connection
6,end
6,bread
6,road
6,movement
6,alteration
6,soil
6,development
6,future
6,love
6,glass
6,history
6,party
6,metal
6,comment
6,skin
6,estimate
6,department
6,investigation
6,beginning
6,measure
6,care
6,parent
6,loss
6,detail
6,king
6,variety
6,section
6,reference
6,area
6,practice
6,preparation
6,divorce
6,personality
6,grade
6,whole
6,community
6,coat
5,education
5,quantity
5,equipment
5,air
5,tunnel
5,most-favored-nation
5,field
5,story
5,house
5,cost
5,argument
5,analysis
5,book
5,rayon
5,play
5,theory
5,initial
5,unit
5,influence
5,fortune
5,appointment
5,wire
5,suit
5,rag
5,machine
5,idea
5,information
5,shop
5,iron
5,canoe
5,series
5,grass
5,rubber
5,school
5,sale
5,seam
5,convert
5,deposit
5,behavior
5,turn
5,fertility
5,settlement
5,animal
5,relation
5,surface
5,meat
5,chemical
5,patent
5,save
5,scale
5,branch
5,appraisal
5,atom
5,art
4,enemy
4,presence
4,black
4,husband
4,one
4,eye
4,firm
4,opening
4,pair
4,railroad
4,marriage
4,tin
4,sound
4,bid
4,speech
4,rule
4,entrance
4,official
4,saving
4,author
4,bed
4,approach
4,thread
4,invention
4,clothing
4,chance
4,salespeople
4,screen
4,remark
4,leaf
4,operator
4,clothes
4,safe
4,reason
4,wife
4,cream
4,application
4,reputation
4,union
4,farmer
4,combination
4,car
4,recreation
4,inference
4,literature
4,democracy
4,brick
4,slave
4,teaching
4,deal
4,block
4,direction
4,table
4,page
4,textile
4,judge
4,sacrifice
4,exchange
4,percentage
4,frame
4,sample
4,adult
4,steam
4,consumption
4,learning
4,manufacturer
4,bridge
4,parliament
4,content
4,imitation
4,sketch
4,language
4,wearer
4,neighbor
4,carpet
4,bone
4,investment
