count,lemma
151,care
113,hand
108,""
105,place
85,arm
63,look
60,chance
49,step
48,man
46,hold
45,breath
32,money
31,side
31,advantage
29,paper
27,drink
23,boy
22,hat
22,room
21,coat
20,part
20,pocket
20,turn
20,thing
19,picture
19,house
19,cigarette
18,word
18,lot
18,woman
17,glass
16,train
16,name
16,road
15,walk
15,knife
15,book
15,pleasure
15,box
15,order
14,child
14,bill
13,bottle
13,water
13,surprise
13,eye
13,note
13,piece
13,gun
12,shape
12,charge
12,clothes
12,leave
11,letter
11,chair
11,interest
11,job
11,notice
11,home
11,couple
10,ride
10,bag
10,car
10,desk
10,responsibility
9,life
9,medicine
9,stand
9,position
9,card
9,shoulder
9,wife
9,people
9,trip
9,prisoner
9,form
9,right
9,cup
9,end
9,liberty
9,action
9,way
9,bed
8,possession
8,bath
8,stock
8,risk
8,baby
8,bus
8,girl
8,drive
8,envelope
8,trouble
8,oath
8,cap
7,wallet
7,sip
7,town
7,world
7,kind
7,table
7,office
7,food
7,--
7,officer
7,seat
7,account
7,check
7,rest
7,handkerchief
7,package
6,notebook
6,pencil
6,station
6,shoe
6,friend
6,stone
6,refuge
6,phone
6,roll
6,comfort
6,camera
6,stage
6,swig
6,pen
6,detail
6,course
6,telephone
6,key
6,grip
6,door
6,watch
6,situation
6,back
6,command
6,strength
6,mind
6,plane
5,cab
5,purse
5,fingerprint
5,heart
5,head
5,light
5,other
5,war
5,puff
5,matter
5,lunch
5,vacation
5,shot
5,street
5,prison
5,courage
5,case
5,powder
5,credit
5,p.-a
5,canteen
5,authority
5,service
5,field
5,church
5,pain
5,tray
5,can
5,country
5,father
5,gold
5,iron
5,pulse
5,police
5,face
5,slug
5,horse
4,dough
4,witness
4,tip
4,glance
4,finger
4,stuff
4,kid
4,view
4,squad
4,bean
4,hope
4,coast
4,question
4,fire
4,break
4,cognizance
4,cut
4,expression
4,spin
4,fight
4,fancy
4,bank
4,stick
4,grain
4,mirror
4,cover
4,revolver
4,apartment
4,ring
4,precaution
4,study
4,handful
4,musket
4,shirt
4,french
4,shoot
4,flight
4,cloth
4,neck
4,sack
4,spike
4,foot
4,dinner
4,half
4,think
4,moment
4,dog
4,poison
4,advice
4,duty
4,opportunity
4,wine
4,stride
4,force
4,air
4,theater
4,sheet
4,arrow
4,effect
4,swallow
4,mine
4,judge
3,robe
3,plate
3,effort
3,hospital
3,body
3,mother
3,ear
3,city
3,answer
3,husband
3,soldier
3,brush
3,heed
3,clay
3,breakfast
3,fellow
3,checkbook
3,talk
3,cat
3,wing
3,quality
3,skill
3,jail
3,drawer
3,seed
3,maman
3,edge
3,notion
3,inside
3,movie
3,help
3,trail
3,boat
3,maxim
3,stance
3,manuscript
3,group
3,plunge
3,front
3,post
3,shelby
3,map
3,line
3,refreshment
3,choice
3,belt
3,preacher
3,bundle
3,jar
3,crew
3,fly
3,smitty
3,nap
3,crap
3,tale
3,shift
3,rock
3,bit
3,son
3,nothin
3,cigar
3,shower
3,firm
3,jewelry
3,sir
3,basket
3,custody
3,aim
3,wedding
3,scout
3,flannery
3,bird
3,dice
3,pad
3,wheel
3,taxi
3,mouth
3,kettle
3,confidence
3,papa
3,human
3,cold
3,measure
3,stool
3,piute
3,weapon
3,weight
3,pard
3,consideration
3,point
3,brother
3,heel
3,blanket
3,pin
3,file
3,hair
3,lanny
3,bow
3,dish
3,chief
3,row
3,soul
3,guard
3,chicken
3,bet
3,river
3,potato
3,bergstrom
2,manila
2,attitude
2,visit
2,gut
2,troop
2,maid
2,sheaf
2,difference
2,mountain
2,suit
2,will
2,midianite
2,bread
2,production
2,exception
2,lead
2,volume
2,wool
2,tone
2,present
2,treatment
2,quartermaster
2,patrol
2,gideon
2,tie
2,no
2,hue
2,dolly
2,delight
2,waist
2,language
2,pressure
2,cloak
2,exhibition
2,cane
2,german
2,club
2,wire
2,draught
2,reason
2,photograph
2,shelter
2,cracker
2,salesman
2,corpse
2,exam
2,loaf
2,chain
2,ink
2,tobacco
2,fork
2,rack
2,coffee
2,compact
2,da
2,hint
2,angle
2,solange
2,family
2,color
2,button
2,bone
2,fountain
2,understanding
2,bug
2,pride
2,madame
2,smile
2,passage
2,drop
2,buck
2,silver
2,solo
2,role
2,pocketbook
2,work
2,juke
2,wage
2,instrument
2,palm
2,game
2,cabin
2,american
2,spirit
2,crow
2,earth
2,well
2,overcoat
2,stroll
2,pipe
2,crop
2,meadow
2,party
2,floor
2,diamond
2,shave
2,necklace
2,leg
2,breaker
2,chin
2,silence
2,sort
2,deal
2,brandy
2,practice
2,butter
2,lake
2,muff
2,captain
2,kit
2,collection
2,agent
2,drue
2,permission
2,scene
2,block
2,whorl
2,vengeance
2,flask
2,duck
2,consequence
2,land
2,shortbreads
2,run
2,shampoo
2,tea
2,attention
2,dear
2,lie
2,politics
2,pear
2,velma
2,offense
2,kiss
2,rope
2,tooth
2,surroundings
2,anger
2,show
2,drug
2,precedence
2,uniform
2,village
2,salary
2,parish
2,shortcut
2,babe
2,shotgun
2,dislike
2,arab
2,meat
2,lodging
2,pharaoh
2,record
2,doctor
2,concubine
2,driller
2,pan
2,power
2,investigation
2,folk
2,allegiance
2,detachment
2,fool
2,detective
2,counter
2,toll
2,load
2,deep
2,staff
2,corner
2,plain
2,pull
2,ship
2,pity
2,library
2,pack
2,nickel
2,strip
2,lawyer
2,green
2,red
2,pose
2,towel
2,general
2,fold
2,business
2,packet
2,drake
2,coal
2,grenade
2,lady
2,leaf
2,blue
2,joke
2,billings
2,milk
2,corridor
2,voice
2,hideout
2,snapshot
2,sock
2,picnic
2,headpiece
2,emilie
2,arch
2,rifle
2,spear
2,bite
2,whisky
2,negro
2,peace
2,candle
2,bandana
2,top
2,miss
2,song
2,bible
2,pot
2,mora
2,sword
2,court
2,screw
2,path
2,reprisal
2,chest
2,bell
2,sylvia
2,love
2,creature
2,leap
2,railroad
2,trout
2,marriage
2,distance
2,wall
2,idea
2,flint
2,glove
2,rag
1,jug
1,frog
1,refusal
1,motion
1,orange
1,track
1,litter
1,nail
1,nationality
1,moab
1,lesson
1,jeweler
1,grey-headed
1,task
1,eagle
1,scruff
1,mama
1,cape
1,scourge
1,poster
1,sweeping
1,pill
1,scribe
