lemma,count
say,20712
go,15519
make,13356
get,13245
know,11784
come,10500
take,10189
see,10165
think,7407
give,6992
look,6835
want,6087
tell,5899
find,5579
use,4806
seem,4385
become,4357
call,4175
put,3901
ask,3859
try,3777
feel,3615
leave,3555
turn,3510
begin,3463
keep,3449
like,3333
show,3139
work,3030
"",3009
hear,2968
mean,2888
hold,2863
bring,2781
move,2658
start,2596
let,2583
sit,2425
need,2412
run,2361
believe,2328
write,2215
talk,2203
live,2170
follow,2154
happen,2135
stand,2118
continue,2063
help,2033
open,2020
produce,2001
carry,1949
lose,1822
speak,1816
play,1764
set,1754
stop,1742
pay,1738
appear,1726
consider,1715
wait,1664
provide,1615
meet,1589
read,1583
understand,1538
reach,1531
change,1527
remember,1517
die,1509
fall,1485
lead,1472
pass,1470
wear,1460
grow,1444
watch,1437
remain,1419
close,1417
send,1392
buy,1374
walk,1361
break,1340
decide,1331
expect,1330
learn,1325
require,1314
pick,1283
add,1250
build,1220
spend,1213
explain,1211
develop,1202
sell,1188
draw,1174
form,1165
win,1163
serve,1147
enter,1108
receive,1072
drive,1066
lay,1064
allow,1061
suggest,1061
increase,1053
hope,1049
stay,1032
love,1029
offer,1023
accept,1016
pull,1012
cut,1008
raise,1005
throw,989
suppose,972
include,971
cause,968
catch,964
listen,958
agree,957
prove,940
drop,935
return,933
kill,927
occur,920
determine,920
laugh,908
contain,904
forget,902
wish,886
create,883
describe,869
represent,860
shake,852
involve,847
indicate,846
apply,845
establish,837
lie,835
point,833
realize,806
fail,797
guess,795
place,788
join,787
cover,785
rise,777
answer,773
hang,771
eat,769
reduce,766
fill,766
smile,761
discuss,756
hit,755
face,748
assume,743
save,742
prepare,740
finish,738
push,738
miss,735
seek,731
report,727
exist,724
arrive,723
present,722
study,720
recognize,718
discover,715
wonder,714
act,703
choose,690
teach,679
depend,678
admit,674
fight,668
support,661
name,657
mention,652
stare,650
maintain,650
observe,641
end,636
sing,635
achieve,634
strike,629
base,629
notice,621
tend,620
force,615
remove,614
prevent,613
argue,606
worry,605
control,600
enjoy,594
refuse,592
thank,592
obtain,592
avoid,587
can,585
permit,585
sound,582
note,580
regard,570
