textID,#words,genre,year,title,author,Publication information,Library of Congress classification (NF),FIXED
8585," 19,527 ",FIC,1860,Playing with Fire,"Brougham, John, 1810-1880",,,n
8596," 11,783 ",FIC,1860,Rip Van Winkle (186-?,"Burke, Charles, 1822-1854",,,n
8635," 18,901 ",FIC,1860,Oliver Cromwell,"Donoho, Thomas Seaton",,,n
8725," 6,859 ",FIC,1860,Brian O'Linn (186-?,"Johnson, Samuel D., 1813-1863",,,n
8730," 12,936 ",FIC,1860,The Green Mountain Boy,"Jones, Joseph Stevens, 1811-1877",,,n
9791," 62,583 ",FIC,1860,Sir Rohan's Ghost. A Romance,"Spofford, Harriet Elizabeth Prescott, 1835-1921",,,n
9683," 7,586 ",FIC,1860,Aunt Dinah's Pledge,"Seymour, Harry, fl. 1860",,,n
9589," 11,907 ",FIC,1861,The Lady of the Lake,"Thomson, Mortimer, 1832-1875",,,n
8795," 28,841 ",FIC,1861,Fast Folks,"Nunes, Joseph A.",,,n
9001," 3,886 ",FIC,1861,"The Ninth Anniversary of the New York Mirror, July, 1831","Woodworth, Samuel, 1784-1842",,,n
9002," 6,310 ",FIC,1861,Shooting Stars,"Woodworth, Samuel, 1784-1842",,,n
8975," 20,071 ",FIC,1861,The Cup and the Lip,"Walcot, Maria Grace",,,n
9314," 17,899 ",FIC,1861,The Escape,"Brown, William Wells, 1815-1884.",,,n
9317," 17,371 ",FIC,1861,The Maid of Orleans,"Calvert, George Henry, 1803-1889",,,n
7769, 155 ,FIC,1861,Hymn,"Holland, J. G. (Josiah Gilbert), 1819-1881",,,n
7495," 4,119 ",FIC,1861,Pampinea and other poems,"Aldrich, Thomas Bailey, 1836-1907",,,n
9383," 1,760 ",FIC,1863,The Ticket-Taker,"Griffin, G. W. H., 1829-1879.",,,n
9384," 1,619 ",FIC,1863,The Troublesome Servant,"Griffin, G. W. H., 1829-1879.",,,n
9385," 1,440 ",FIC,1863,The Great Arrival,"Griffin, G. W. H., 1829-1879.",,,n
9386," 1,748 ",FIC,1863,Les Miserables,"Griffin, G. W. H., 1829-1879.",,,n
9387," 1,261 ",FIC,1863,The Black Crook Burlesque,"Griffin, G. W. H., 1829-1879.",,,n
9388," 2,793 ",FIC,1863,Jack's the Lad,"Griffin, G. W. H., 1829-1879.",,,n
9524," 1,210 ",FIC,1863,"&quot;Feast,&quot;","Griffin, G. W. H., 1829-1879.",,,n
9525," 1,652 ",FIC,1863,The Hypochondriac,"Griffin, G. W. H., 1829-1879.",,,n
9526," 1,412 ",FIC,1863,The Actor and the Singer,"Griffin, G. W. H., 1829-1879.",,,n
8027," 7,733 ",FIC,1863,The various writings of Cornelius Mathews,"Mathews, Cornelius, 1817-1889",,,n
8024," 2,876 ",FIC,1863,Ye Book of Copperheads,"Leland, Charles Godfrey, 1824-1903",,,n
8015, 163 ,FIC,1864,"Our Battle Flag, Hurrah!","Neal, John, 1793-1876",,,n
8021," 3,475 ",FIC,1864,Mother Pitcher's poems For Little People,"Leland, Charles Godfrey, 1824-1903",,,n
8163, 262 ,FIC,1864,Army vespers,"Cooke, Rose Terry, 1827-1892",,,n
8154," 18,906 ",FIC,1864,Poems of the war,"Boker, George H. (George Henry), 1823-1890",,,n
8259, 189 ,FIC,1864,The two sharpshooters,"Longfellow, Henry Wadsworth, 1807-1882",,,n
452," 59,727 ",FIC,1864,"Frank's Campaign, or, Farm and Camp","Alger, Horatio, 1832-1899",,,n
582," 14,390 ",FIC,1864,"Clotel; or, the President's Daughter","Brown, William Wells, 1816?-1884","Dexter, Hamilton",,n
80," 43,773 ",FIC,1864,"Clotelle; or, the Colored Heroine, a tale of the Southern States; or, the President's Daughter","Brown, William Wells, 1816?-1884",,,n
1283," 31,281 ",FIC,1864,"On Picket Duty, and Other Tales","Alcott, Louisa May, 1832-1888",,,n
9204," 20,132 ",FIC,1864,"The Nasby Papers: Letters and Sermons Containing the Views on the Topics of the Day, of Petroleum V. Nasby","Locke, David Ross, 1833-1888",,,n
9146," 43,365 ",FIC,1864,"The Life and Adventures, Songs, Services, and Speeches of Private Miles O'Reilly [pseud.] (47th regiment, New York volunteers.) ... With comic illustr","Halpine, Charles G. (Charles Graham), 1829-1868",,,n
9101," 99,764 ",FIC,1864,"Master William Mitten; or, A Youth of Brilliant Talents, Who Was Ruined by Bad Luck","Longstreet, Augustus Baldwin, 1790-1870",,,n
9816," 71,379 ",FIC,1864,Centeola; and Other Tales,"Thompson, Daniel P. (Daniel Pierce), 1795-1868",,,n
9795," 68,460 ",FIC,1865,Two Men: A Novel,"Stoddard, Elizabeth, 1823-1902",,,n
9753," 2,332 ",FIC,1866,Scenes from an Unpublished Play,"Holmes, Oliver Wendell, 1809-1894",,,n
9845," 18,228 ",FIC,1866,The Pursuit of Knowledge under Difficulties,"Dodge, Mary Abigail, 1833-1896",,,n
9846," 94,633 ",FIC,1866,Good Company for Every Day in the Year,"Fields, James Thomas, 1817-1881",,,n
9754, 642 ,FIC,1867,Dramatic Sketch,"Lowell, James Russell, 1819-1891",,,n
9070," 47,471 ",FIC,1867,"The Sayings of Dr. Bushwhacker, and Other Learned Men","Cozzens, Frederick Swartwout, 1818-1869.",,,n
3642," 2,697 ",FIC,1867,Dick and His Cat An Old Tale in a New Garb,"Ellis, Mary",,,n
