textID,  # words  ,genre,year,title,author,Publication information,Library of Congress classification (NF),FIXED
773412,"18,946",NF,1960,Explanation of Human Behavior,F.V. Smith,"Constable and Company, Ltd. London",B,y
774274,"36,720",NF,1960,Animal Science and Industry,Duane Acker,"Englewood Cliffs, New Jersey: Prentice-Hall, Inc.",S,y
773404,"22,869",NF,1961,From Adolescent to Adult,By Percival M. Symonds and Arthur R. Jensen ,"Columbia University Press, New York",B,y
774087,"45,576",NF,1961,Coloring Finishing and Painting Wood,Adnah Clifton Newell & William F. Holtrop,"Chas. A. Bennett Co., Inc., Peoria",T,y
774252,"39,217",NF,1961,Basic Concepts of Physics,Chalmers W. Sherwin,"New York: Holt, Rinehart and Winston",Q,y
774312,"42,478",NF,1961,Apparel Manufacturing Analysis,Jacob Solinger,"New York: Interscience Publishers, Textile Book Publishers, Inc.",T,y
774348,"44,712",NF,1961,American Railroad,John F. Stover,"The University of Chicago Press, Chicago",H,y
773650,"22,042",NF,1962,Contemporary Physics,C.F. Von Weizsacker and J. Juilfs,"George Braziller, New York",Q,y
773700,"18,023",NF,1962,The Progress of Economics: A History of Economic Thought,Warren B. Catlin,"Bookman Associates, New York",H,y
774040,"22,023",NF,1962,Modern Dairy Cattle Management,Richard F. Davis,"Prentice-Hall, Inc., Englewood Cliffs, NJ",S,y
774064,"19,276",NF,1962,My Father Marconi,Degna Marconi,"McGraw-Hill Book Company, Inc., New York",T,y
774179,"37,813",NF,1962,Anglo-America,W. H. Parker,"University of London Press, London",G,y
774267,"37,241",NF,1962,Farm Business Management: The Decision-Making Process,"Emery N. Castle, Manning H. Becker",New York: The MacMillan Company,S,y
774321,"38,058",NF,1962,The Growing Years: Adolescence,"Ann E. Jewett, Clyde Knapp","Washington DC: American Association for Health, Physical Education, and Recreation",G,y
774336,"44,294",NF,1962,"Man, Economy, and State",Murray N. Rothbard,"Nash Publishing, Los Angeles",H,y
773473,"23,101",NF,1963,Merchants Make History,Ernst Samhaber,"The John Day Company, New York",H,y
773730,"16,375",NF,1963,Legal Dress in Europe,W. N. Hargreaves-Mawdsley,"Clarendon Press, Oxford",G,y
773796,"18,364",NF,1963,"Religion, a Humanistic Field",Clyde A. Holbrook,"Prentice-Hall, Inc., Englewood Cliffs, NJ",B,y
774144,"38,512",NF,1963,The American Way of Death,Jessica Mitford,"Simon and Schuster, New York",G,y
774156,"41,789",NF,1963,The Great Psychologists,Robert I. Watson,"J. B. Lippincott Company, New York",B,y
774282,"42,501",NF,1963,Engineering,"Samuel Rapport, Helen Wright",New York: New York University Press,T,y
774301,"40,919",NF,1963,The Chemistry of Woods,B. L. Browning,"New York: Interscience Publishers, John Wiley & Sons",T,y
773457,"21,888",NF,1964,The Revolution in Anthropology,I.C. Jarvie,"The Humanities Press, New York",G,y
773618,"43,245",NF,1964,Sanamu: Adventures in search of African art,Robert Dick-Read,"Rupert Hart-Davis, London",N,y
