textID, # words ,genre,year,title,author,Publication information,Library of Congress classification (NF),FIXED
10534," 33,254 ",FIC,1970,Secret Woman,Victoria Holt,,,n
10535," 37,999 ",FIC,1970,Electric Cotillion,Don Asher,,,n
10536," 31,532 ",FIC,1970,Single File,Norman Fruchter,,,n
780003," 41,043 ",FIC,1970,Ice Crown,Andre Norton,"New York: The Viking Press, Inc.",,n
23867," 3,637 ",FIC,1970,Shirt talk,Ivan Prashker,Harpers Magazine (197001) pages: 59-62,,n
23868," 4,744 ",FIC,1970,Just back from the coast,Bruce Jay Friedman,Harpers Magazine (197003) pages: 68-72,,n
23869," 5,535 ",FIC,1970,Cross my father's ground,Nolan Porterfield,Harpers Magazine (197004) pages: 79-84,,n
23870," 9,170 ",FIC,1970,Something is there,Isaac Bashevis Singer,Harpers Magazine (197006) pages: 81-90,,n
23871," 5,586 ",FIC,1970,Dragon lady,Johanna Kaplan,Harpers Magazine (197007) pages: 78-83,,n
10540," 48,175 ",FIC,1971,Season of the Witch,James Leo Herlihy,,,n
10541," 47,307 ",FIC,1971,Death of the Fox,George P. Garrett,,,n
10546," 47,431 ",FIC,1971,To Your Scattered Bodies Go,Philip Jose Farmer,,,n
10549," 40,590 ",FIC,1971,Passions of the Mind,Irving Stone,,,n
13970," 6,616 ",FIC,1971,Cowboy Mouth,"Shepard, Sam, 1943-",[Play script],,n
14051," 10,103 ",FIC,1971,The Love Suicide at Schofield Barracks,"Linney, Romulus, 1930(?)-",[Play script],,n
14304," 16,256 ",FIC,1971,The Mad Dog Blues,"Shepard, Sam, 1943-",[Play script],,n
14649," 8,913 ",FIC,1971,Now There's Just the Three of Us,"Weller, Michael, 1942-",[Play script],,n
16503," 27,612 ",FIC,1971,"Hospital, The","Chayefsky, Paddy, 1923-1981",[Movie script],,n
16228," 4,707 ",FIC,1971,Sweet Sweetback's Baad Asssss Song,,[Movie script],,n
780113," 43,480 ",FIC,1972,Golding's Tale,Mark Rose,New York: Walker and Company,,n
780105," 44,369 ",FIC,1972,Fortune Made His Sword,Martha Rofheart,New York: G. P. Putnam's Sons,,n
780109," 45,709 ",FIC,1972,The Flame and the Flower,Kathleen E. Woodiwiss,New York: Avon,,n
23883," 4,281 ",FIC,1972,Beginnings,Robert Coover,Harpers Magazine (197201) pages: 82-87,,n
23884," 4,202 ",FIC,1972,Under glass,Margaret Eleanor Atwood,Harpers Magazine (197202) pages: 78-82,,n
23885," 7,821 ",FIC,1972,A happy death,Albert Camus,Harpers Magazine (197203) pages: 39-47,,n
23886," 7,678 ",FIC,1972,Did you ever slip on red blood?,Joyce Carol Oates,Harpers Magazine (197204) pages: 80-88,,n
23887," 4,720 ",FIC,1972,Interstices,Gail Godwin,Harpers Magazine (197205) pages: 86-92,,n
23888," 2,831 ",FIC,1972,The place to be,Forrest Scarborough,Harpers Magazine (197206) pages: 83-86,,n
23892," 1,700 ",FIC,1973,"Isn't today the day? Or, Saroyan 1964",William Saroyan,Harpers Magazine (197303) pages: 74-77,,n
23893," 2,583 ",FIC,1973,Everyday use,Alice Walker,Harpers Magazine (197304) pages: 74-81,,n
23894, 504 ,FIC,1973,The educational experience,Donald Barthelme,Harpers Magazine (197306) pages: 62-65,,n
23895," 3,608 ",FIC,1973,Baldessari's Dead Sea flights,Paul Kennebeck,Harpers Magazine (197308) pages: 84-89,,n
13756," 5,566 ",FIC,1974,The Wife,"Chambers, Jane, 1937-1983",[Play script],,n
14136," 10,278 ",FIC,1974,Geography of a Horse Dreamer,"Shepard, Sam, 1943-",[Play script],,n
14508," 17,342 ",FIC,1974,Dreyfus in Rehearsal,"Kanin, Garson, 1912-1999",[Play script],,n
10584," 48,555 ",FIC,1974,War Between the Tates,Alison Lurie,,,n
10585," 48,285 ",FIC,1974,Centennial,James A. Michener,,,n
10588," 49,215 ",FIC,1974,Road to Many a Wonder,David Wagoner,,,n
