count,lemma
15,name
12,""
11,man
11,hand
8,light
8,form
8,eye
6,wing
6,arm
6,testimony
6,burden
5,home
5,life
5,witness
5,heaven
5,part
4,shoulder
4,bosom
4,love
4,message
4,head
4,breast
4,mind
4,pain
4,house
4,fruit
4,human
3,prize
3,word
3,rear
3,think
3,presence
3,scene
3,chamber
3,letter
3,father
3,infamy
3,foot
3,character
3,chain
3,sway
3,bear
3,flower
3,death
3,hate
3,heart
3,body
3,king
3,other
2,girl
2,distance
2,shame
2,marks
2,blame
2,star
2,hymn
2,fate
2,ill
2,gate
2,salver
2,sorrow
2,submission
2,seal
2,shield
2,hut
2,resemblance
2,mountain
2,face
2,foam
2,opinion
2,signature
2,hope
2,weight
2,point
2,tiding
2,taunt
2,stamp
2,captive
2,company
2,sword
2,trial
2,conscience
2,provision
2,way
2,flag
2,room
2,shore
2,reach
2,soul
2,memory
2,burglar
2,enemy
2,bird
2,ground
2,fall
2,slavery
2,triumph
2,will
2,meat
2,despatch
2,billows
2,record
2,expense
2,slave
2,water
2,suffer
2,disappointment
2,gaze
2,exit
2,boat
2,truth
2,date
2,person
2,insult
2,spirit
2,loss
2,look
2,green
1,stroke
1,jeer
1,virtue
1,token
1,joy
1,boy
1,cherish
1,retreat
1,frame
1,refreshment
1,line
1,fray
1,explanation
1,nobility
1,wear
1,stern
1,alder
1,glance
1,pang
1,course
1,tavern
1,lion
1,chapter
1,spear
1,orgy
1,orchard
1,downy
1,live
1,pace
1,thought
1,gibe
1,genus
1,promise
1,final
1,animal
1,reply
1,occasion
1,language
1,skull
1,cottage
1,puritan
1,fire
1,majority
1,convent
1,honey
1,blanch
1,stout
1,sir
1,touch
1,image
1,silver
1,blazon
1,share
1,respect
1,abuse
1,deer
1,pretension
1,appearance
1,red
1,scaffold
1,hall
1,lightning
1,petulance
1,safe
1,owner
1,report
1,wonder
1,husband
1,candle
1,apostle
1,joint
1,age
1,series
1,dew
1,utility
1,cloud
1,chambers
1,honour
1,sense
1,flight
1,cane
1,instrument
1,yeoman
1,palm
1,maiden
1,riz
1,ice
1,secret
1,cabin
1,sincerity
1,woe
1,coldness
1,trophy
1,horsemanship
1,burn
1,tea
1,current
1,mother
1,rose
1,description
1,dear
1,subject
1,moment
1,publicity
1,credentials
1,lie
1,nature
1,tinge
1,aspect
1,portion
1,harp
1,ursus
1,gaucheries
1,close
1,evidence
1,rope
1,questioner
1,scorn
1,middle
1,likeness
1,child
1,barbary
1,orphan
1,tenderness
1,theme
1,turkey
1,sneer
1,liberty
1,plate
1,fortitude
1,sting
1,grief
1,cognomen
1,commodity
1,hair
1,infant
1,life-boat
1,bride
1,world
1,pair
1,sack
1,till
1,obstacle
1,back
1,mitigation
1,matter
1,did'nt
1,musket
1,affliction
1,growth
1,stand
1,blade
1,gift
1,strength
1,mystery
1,desolation
1,zephyr
1,oar
1,female
1,mercy
1,challenge
1,sea
1,evert
1,infliction
1,herd
1,decree
1,midst
1,temptation
1,fame
1,sound
1,result
1,package
1,lamp
1,battle
1,beauty
1,variety
1,footstep
1,scoff
1,garden
1,paradise
1,monkey
1,flash
1,bind
1,shoal
1,aid
1,adonis
1,fellow
1,captin
1,hist
1,bier
1,reference
1,stingings
1,school-boy
1,grudge
1,proof
1,thing
1,stage
1,hatred
1,region
1,tackle
1,sustenance
1,want
1,tribe
1,faculty
1,fat
1,treasure
1,beast
1,tray
1,impression
1,bough
1,seed
1,plain
1,rainbow
1,standard
1,lover
1,quagmire
1,senate
1,outline
1,twilight
1,captivity
1,lord
1,intelligence
1,memorial
1,sackcloth
1,daughter
1,earth
1,knowledge
1,bandbox
1,commander
1,justice
1,story
1,meaning
1,aisle
1,charge
1,courage
1,test
1,tomb
1,victory
1,mandate
1,gladness
1,history
1,maker
1,climb
1,lady
1,favour
1,warrior
1,happiness
1,grog
1,hunter
1,portal
1,river
1,queen
1,sight
1,analogy
1,review
1,affinity
1,fanny
1,countenance
1,god
1,city
1,leaf
1,dungeon
1,cover
1,mud
1,bucket
1,determination
1,alana
1,concussion
1,baseness
1,appellation
1,request
1,park
1,improvisatrice
1,sphere
1,calm
1,bull
1,country
1,sweetness
1,horse
1,palace
1,glass
1,track
1,deed
1,deck
1,priest
1,eagle
1,side-board
1,contumely
1,place
1,ladder
1,leg
1,shock
1,penance
1,blacksmith
1,philosopher
1,treason
1,train
1,silence
1,autograph
1,liquor
1,poet
1,sort
1,score
1,torch
1,painter
1,voice
1,torch-light
1,firm
1,prisoner
1,blow
1,say
1,missive
1,grace
1,prompt
1,catch
1,prairie
1,outrage
1,master
1,wood
1,elvira
1,rash
1,strife
1,contest
1,countryman
1,captain
1,paw
1,rider
1,content
1,favor
1,safety
1,bottle
1,service
1,mistress
1,pound
1,examination
1,wreck
1,fort
