count,lemma
42,fruit
31,mind
22,crop
18,name
17,witness
16,relation
15,resemblance
10,tree
9,testimony
9,general
9,""
7,arm
7,bunch
7,subject
6,cluster
6,proportion
6,truth
6,pound
6,pruning
6,apple
5,shoot
5,burden
5,abundance
4,state
4,flower
4,marks
4,branch
4,man
4,question
4,appearance
4,sort
4,character
3,iniquity
3,berry
3,seed
3,air
3,vine
3,wood
3,species
3,patience
3,variety
3,aspect
3,comparison
3,leaf
3,people
3,hunger
3,exposure
3,form
3,part
3,nation
3,person
2,image
2,ill
2,vegetable
2,stamp
2,weight
2,constitution
2,nut
2,stalk
2,flag
2,kind
2,child
2,impression
2,light
2,injury
2,grape
2,extremity
2,parent
2,heart
2,terminal
2,god
2,forest
2,country
2,pair
2,safety
2,number
2,share
2,cane
2,head
2,object
2,hand
2,sway
2,quality
2,olive
2,shoulder
2,heat
2,force
2,condition
2,cause
2,bushel
2,affinity
2,petiole
2,blossom
2,interest
2,member
2,loss
2,seedling
2,tariff
2,life
2,ground
1,hearer
1,fence
1,hardship
1,size
1,walk
1,formation
1,fruit-trees
1,clover
1,buffalo
1,republic
1,amount
1,action
1,paw
1,thing
1,hang
1,content
1,breeze
1,gentleness
1,room
1,supposition
1,white
1,son
1,calmness
1,plant
1,meekness
1,rigour
1,splendor
1,freeman
1,fertility
1,load
1,crime
1,measurement
1,experiment
1,labor
1,standard
1,suggestion
1,origin
1,average
1,boy
1,quantity
1,moral
1,library
1,yoke
1,com
1,terror
1,rest
1,fate
1,groaning
1,course
1,conviction
1,signature
1,mien
1,orchard
1,largo
1,public
1,nonsuch
1,taciturnity
1,medium
1,animal
1,wolf
1,consequence
1,pressure
1,hat
1,mesa
1,noble
1,passage
1,wheat
1,specimen
1,taxation
1,good
1,side
1,mongol
1,deer
1,breath
1,penury
1,reproof
1,feature
1,relationship
1,work
1,opposition
1,humility
1,irregularity
1,contract
1,//
1,candle
1,prudence
1,age
1,vandal
1,utility
1,wage
1,defense
1,honor
1,bud
1,view
1,tiger
1,vision
1,culture
1,arrangement
1,observation
1,suffer
1,sceptre
1,poverty
1,clip
1,infirmity
1,peer
1,nature
1,title
1,civilization
1,inquiry
1,pippin
1,evidence
1,renovation
1,likeness
1,care
1,embrasure
1,pea-shaped
1,tooth
1,wand
1,point
1,resolution
1,sword
1,faith
1,syllable
1,creator
1,turkey
1,provision
1,brush
1,fatigue
1,dog
1,spike
1,romish
1,slavery
1,passport
1,frost
1,society
1,foot
1,uniform
1,world
1,emblem
1,grass
1,cat
1,back
1,measure
1,monarch
1,intellect
1,knowledge
1,listener
1,altar
1,rule
1,test
1,almond
1,conditional
1,vegetation
1,right
1,pendulum
1,queen
1,sight
1,insult
1,responsibility
1,city
1,hyena
1,glory
1,testament
1,mountain
1,education
1,transplant
1,cold
1,notion
1,thin
1,bosom
1,love
1,transportation
1,situation
1,alligator
1,law
1,one
1,principal
1,message
1,gift
1,strength
1,orange
1,litter
1,instance
1,meat
1,sign
1,tliis
1,institution
1,disquietude
1,authority
1,war
1,tide
1,purpose
1,stamen
1,challenge
1,lot
1,english
1,legislator
1,degree
1,substance
1,amendment
1,science
1,soil
1,pea
1,physiology
1,manner
1,reality
1,father
1,case
1,result
1,incident
1,body
1,poet
1,chemistry
1,alacrity
1,proceeding
1,trace
1,torch
1,skin
1,scheme
1,democracy
1,water
1,youth
1,zeal
1,uniformity
1,roman
1,rapidity
1,nourishment
1,cultivation
1,power
1,truce
1,indignation
1,fox
1,impunity
1,idea
1,developement
1,election
1,climate
1,admiration
1,apprehension
1,present
1,witnesse
1,oval
1,/z/
