count,lemma
21,mind
20,name
16,burden
14,testimony
14,""
12,part
12,witness
8,proportion
7,resemblance
7,fruit
6,man
6,marks
6,point
5,transportation
5,subject
5,result
5,crop
5,relation
5,character
5,interest
4,tide
4,evidence
4,date
4,think
4,bosom
4,human
4,stamp
3,sway
3,sound
3,power
3,strength
3,question
3,opposition
3,welfare
3,value
3,other
3,weight
3,fact
3,market
3,title
3,thing
3,front
3,work
3,arm
3,duty
3,likeness
3,force
2,expression
2,representation
2,ark
2,breast
2,comfort
2,general
2,trial
2,rest
2,injury
2,hand
2,//
2,flag
2,public
2,honor
2,evil
2,triumph
2,seed
2,progress
2,experience
2,purpose
2,intelligence
2,current
2,labor
2,amount
2,truth
2,commission
2,object
2,error
2,nature
2,aspect
2,action
2,master
2,life
2,idea
2,reason
2,present
2,rule
1,cost
1,imputation
1,harbor
1,disaster
1,shore
1,motto
1,torch
1,wheel
1,rent
1,condensation
1,blow
1,signal
1,page
1,inscription
1,truce
1,eloquence
1,individual
1,note
1,morality
1,halberd
1,pathway
1,resting-place
1,wisdom
1,minister
1,column
1,home
1,practice
1,influence
1,pain
1,word
1,machine
1,murmur
1,wood
1,term
1,topic
1,reading
1,avenue
1,house
1,presumption
1,congress
1,future
1,allegiance
1,discussion
1,governor
1,malice
1,shame
1,gates
1,antelope
1,contest
1,assault
1,tiding
1,peel
1,pole
1,shot
1,professor
1,difficulty
1,integrity
1,oracle
1,freight
1,bottle
1,sympathy
1,son
1,palanquin
1,principle
1,examination
1,class
1,meekness
1,load
1,family
1,stroke
1,crime
1,tale
1,air
1,importance
1,bim
1,epithet
1,jar
1,kindness
1,mastery
1,color
1,rate
1,joy
1,boor
1,disclaimer
1,moral
1,disappointment
1,diligence
1,destiny
1,mass
1,member
1,generation
1,wine
1,battery
1,doctrine
1,surface
1,revenge
1,drama
1,malady
1,signature
1,kind
1,pride
1,living
1,altitude
1,repetition
1,righteousness
1,theory
1,folly
1,animal
1,event
1,consequence
1,language
1,conversation
1,sequence
1,people
1,art
1,contribution
1,specimen
1,movement
1,necessity
1,grave
1,taxation
1,land
1,atom
1,kindred
1,image
1,remark
1,religionists
1,share
1,deer
1,painting
1,product
1,look
1,appearance
1,relationship
1,hall
1,emigration
1,munificence
1,fury
1,face
1,magazine
1,blessedness
1,letter
1,turn
1,memory
1,period
1,portrait
1,pass
1,defense
1,view
1,shroud
1,expense
1,coup
1,correlation
1,suffer
1,policy
1,admission
1,infirmity
1,diffusion
1,childhood
1,affair
1,portion
1,bible
1,sorrow
1,unbending
1,existence
1,freedom
1,eminence
1,care
1,endeavor
1,cheerfulness
1,accuracy
1,carriage
1,brunt
1,organization
1,atmosphere
1,court
1,liberty
1,brother
1,attack
1,fortitude
1,muscovite
1,society
1,come
1,infant
1,belief
1,temper
1,concentration
1,domain
1,cat
1,guard
1,quality
1,haste
1,pond
1,hemisphere
1,love
1,enemy
1,law
1,message
1,device
1,pine
1,fashion
1,congregation
1,den
1,prank
1,argument
1,title-page
1,heat
1,authority
1,position
1,coffin
1,cut
1,sea
1,flower
1,decision
1,exile
1,tribulation
1,material
1,abolition
1,manner
1,significance
1,clangor
1,glazing
1,body
1,onr
1,loss
1,extension
1,price
1,cot
1,remedy
1,cross
1,scheme
1,ruin
1,directness
1,religion
1,colony
1,slight
1,bargain
1,inequality
1,measure
1,election
1,harvest
1,inference
1,packet
1,attempt
1,spirit
1,editorial
1,claw
1,cause
1,sentiment
1,literature
1,badge
1,justice
1,novelty
1,robbery
1,meaning
1,aisle
1,charge
1,way
1,solitude
1,test
1,wew
1,blast
1,meadow
1,proposition
1,troop
1,hospital
1,history
1,illustration
1,author
1,seaboard
1,manuscript
1,secretary
1,brain
1,warrior
1,profession
1,taste
1,glory
1,industry
1,mottoe
1,ignorance
1,effect
1,lukewarmness
1,granite
1,skirmish
1,baptism
1,disease
1,agency
1,merit
1,arena
1,death
1,border-land
1,plan
1,country
1,production
1,burthen
1,horse
1,enjoyment
1,ease
1,track
1,enterprise
1,sign
1,founder
1,deck
1,grandeur
1,spurgeon
1,foot-lights
1,federalism
1,lot
1,comparison
1,shock
1,biography
1,diadem
1,assailant
1,occurrence
1,gold
1,science
1,case
1,drive
1,silence
1,hostility
1,physician
1,presence
1,discretion
