lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[NAME],9.0,13.0,15.0,8.0,14.0,5.0,12.0,12.0,3.0,10.0,6.0,6.0,3.0,7.0,5.0,1.0,5.0,1.0,1.0,136.0
[MIND],20.0,16.0,4.0,8.0,14.0,15.0,9.0,4.0,5.0,4.0,4.0,1.0,6.0,2.0,4.0,2.0,3.0,0.0,2.0,123.0
[MAN],14.0,12.0,11.0,5.0,5.0,5.0,5.0,4.0,4.0,11.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,2.0,5.0,109.0
[WITNESS],24.0,6.0,5.0,8.0,4.0,6.0,5.0,7.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,4.0,4.0,84.0
[CHILD],6.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,7.0,1.0,3.0,7.0,6.0,10.0,7.0,5.0,6.0,7.0,4.0,83.0
[BURDEN],4.0,6.0,6.0,8.0,14.0,7.0,4.0,6.0,1.0,7.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,77.0
[THING],8.0,5.0,1.0,3.0,4.0,6.0,2.0,3.0,12.0,6.0,3.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,62.0
[HAND],6.0,11.0,11.0,4.0,5.0,6.0,3.0,1.0,2.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,61.0
[PART],13.0,2.0,5.0,8.0,5.0,6.0,4.0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,58.0
[WEIGHT],4.0,6.0,2.0,6.0,6.0,6.0,4.0,3.0,1.0,5.0,5.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,57.0
[ARM],5.0,8.0,6.0,5.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,7.0,3.0,0.0,3.0,2.0,2.0,1.0,54.0
[THINK],1.0,4.0,3.0,4.0,1.0,4.0,5.0,8.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,51.0
[RESEMBLANCE],7.0,5.0,2.0,8.0,2.0,4.0,9.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,50.0
[FRUIT],1.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,3.0,4.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,3.0,0.0,45.0
[HEART],6.0,9.0,3.0,6.0,6.0,2.0,4.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
[LIGHT],4.0,5.0,8.0,1.0,4.0,3.0,3.0,6.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,43.0
[LIFE],6.0,3.0,5.0,3.0,6.0,3.0,1.0,4.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,41.0
[MESSAGE],3.0,5.0,4.0,5.0,4.0,2.0,1.0,5.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0
[TESTIMONY],15.0,6.0,6.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
[COMPANY],3.0,4.0,2.0,5.0,1.0,1.0,3.0,6.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,35.0
[HEAD],7.0,2.0,4.0,1.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,35.0
[CUB],1.0,4.0,0.0,1.0,2.0,1.0,1.0,12.0,0.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,35.0
[MOTHER],4.0,3.0,1.0,4.0,0.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,34.0
[PAIN],1.0,1.0,4.0,3.0,2.0,3.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,29.0
[LETTER],4.0,4.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,29.0
[WORD],1.0,3.0,3.0,3.0,1.0,3.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,29.0
[CROSS],0.0,4.0,0.0,3.0,3.0,5.0,2.0,6.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0
[EYE],2.0,1.0,8.0,2.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,28.0
[SHOULDER],2.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0
[LOVE],4.0,5.0,4.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0
[BEAR],1.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,27.0
[TRAY],0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,26.0
