lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MIND],17.0,19.0,18.0,21.0,25.0,39.0,34.0,34.0,34.0,36.0,18.0,12.0,18.0,9.0,4.0,5.0,2.0,6.0,4.0,355.0
[NAME],15.0,23.0,17.0,20.0,12.0,15.0,17.0,9.0,26.0,8.0,9.0,11.0,4.0,12.0,8.0,13.0,9.0,9.0,8.0,245.0
[WITNESS],8.0,11.0,7.0,12.0,7.0,12.0,15.0,7.0,10.0,10.0,5.0,6.0,0.0,5.0,2.0,8.0,4.0,0.0,2.0,131.0
[RESEMBLANCE],17.0,10.0,8.0,7.0,8.0,5.0,5.0,1.0,10.0,8.0,6.0,4.0,6.0,5.0,5.0,3.0,6.0,8.0,8.0,130.0
[FRUIT],1.0,5.0,10.0,7.0,8.0,11.0,7.0,6.0,12.0,15.0,6.0,6.0,3.0,9.0,3.0,2.0,4.0,3.0,1.0,119.0
[BURDEN],1.0,1.0,7.0,16.0,11.0,8.0,7.0,10.0,4.0,9.0,10.0,6.0,3.0,2.0,6.0,5.0,2.0,3.0,2.0,113.0
[TESTIMONY],9.0,20.0,11.0,14.0,13.0,10.0,5.0,8.0,6.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,106.0
[RELATION],2.0,11.0,11.0,5.0,7.0,7.0,7.0,6.0,12.0,8.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,94.0
[CHILD],0.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,7.0,6.0,1.0,7.0,10.0,4.0,1.0,8.0,13.0,1.0,4.0,74.0
[PART],11.0,6.0,6.0,12.0,8.0,3.0,9.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,72.0
[QUESTION],6.0,14.0,4.0,3.0,5.0,8.0,5.0,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,62.0
[MAN],1.0,5.0,4.0,6.0,2.0,11.0,3.0,0.0,4.0,6.0,0.0,4.0,2.0,6.0,1.0,5.0,0.0,0.0,2.0,62.0
[MARKS],11.0,11.0,7.0,6.0,6.0,1.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,60.0
[ARM],1.0,5.0,4.0,3.0,8.0,3.0,4.0,6.0,2.0,0.0,3.0,3.0,4.0,0.0,2.0,3.0,6.0,0.0,2.0,59.0
[INTEREST],2.0,0.0,3.0,5.0,8.0,13.0,8.0,2.0,0.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
[PROPORTION],7.0,4.0,9.0,8.0,6.0,7.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
[POINT],5.0,7.0,9.0,6.0,4.0,4.0,0.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,51.0
[SUBJECT],6.0,3.0,11.0,5.0,6.0,7.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,50.0
[TITLE],3.0,2.0,2.0,3.0,2.0,6.0,5.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,46.0
[LIFE],2.0,2.0,3.0,2.0,3.0,2.0,1.0,7.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,41.0
[STAMP],2.0,2.0,4.0,4.0,5.0,2.0,1.0,3.0,6.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,40.0
[MARKET],1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,39.0
[FACT],2.0,3.0,4.0,3.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,36.0
[RESPONSIBILITY],0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,3.0,0.0,4.0,4.0,2.0,2.0,5.0,36.0
[CHARACTER],4.0,8.0,4.0,5.0,2.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35.0
[DATE],7.0,4.0,2.0,4.0,6.0,2.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0
[WEIGHT],1.0,2.0,3.0,3.0,0.0,2.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,30.0
[BRUNT],2.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,29.0
[COMPARISON],9.0,6.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0
[THING],1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0
[POWER],0.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0
[SHARE],0.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,22.0
[FLAG],0.0,1.0,0.0,2.0,1.0,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0
[RATE],1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
[GENERAL],3.0,0.0,4.0,2.0,3.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0
[THINK],0.0,1.0,0.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,21.0
[PROBLEM],0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,20.0
[FACE],0.0,2.0,4.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20.0
[//],3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
[COST],0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,19.0
