lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MIND],18.0,24.0,31.0,32.0,19.0,55.0,19.0,27.0,42.0,27.0,25.0,27.0,20.0,18.0,31.0,33.0,5.0,17.0,7.0,477.0
[NAME],8.0,9.0,18.0,16.0,27.0,13.0,25.0,24.0,21.0,12.0,24.0,15.0,19.0,11.0,2.0,3.0,4.0,2.0,8.0,261.0
[FRUIT],2.0,29.0,42.0,22.0,11.0,10.0,9.0,12.0,6.0,7.0,4.0,9.0,7.0,6.0,2.0,11.0,2.0,3.0,2.0,196.0
[WITNESS],8.0,6.0,17.0,5.0,11.0,4.0,6.0,37.0,15.0,13.0,12.0,6.0,9.0,3.0,1.0,3.0,3.0,4.0,1.0,164.0
[RESEMBLANCE],4.0,5.0,15.0,6.0,14.0,13.0,5.0,4.0,21.0,9.0,15.0,9.0,7.0,3.0,1.0,5.0,8.0,10.0,6.0,160.0
[RELATION],2.0,6.0,16.0,2.0,6.0,3.0,4.0,4.0,8.0,7.0,11.0,6.0,5.0,2.0,2.0,2.0,3.0,3.0,1.0,93.0
[CHILD],0.0,0.0,2.0,2.0,1.0,4.0,1.0,19.0,3.0,6.0,2.0,8.0,5.0,12.0,3.0,17.0,1.0,1.0,6.0,93.0
[TESTIMONY],12.0,10.0,9.0,8.0,8.0,9.0,8.0,4.0,2.0,1.0,1.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,81.0
[ARM],14.0,2.0,7.0,6.0,9.0,4.0,1.0,12.0,3.0,2.0,0.0,3.0,5.0,2.0,1.0,0.0,2.0,1.0,2.0,76.0
[MAN],1.0,7.0,4.0,5.0,3.0,6.0,8.0,5.0,3.0,8.0,0.0,5.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,65.0
[BURDEN],5.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,1.0,2.0,3.0,3.0,0.0,3.0,5.0,1.0,5.0,5.0,65.0
[WEIGHT],3.0,2.0,2.0,10.0,3.0,6.0,2.0,3.0,3.0,7.0,1.0,4.0,0.0,2.0,2.0,1.0,2.0,2.0,6.0,61.0
[PART],7.0,6.0,3.0,5.0,3.0,3.0,5.0,6.0,4.0,3.0,4.0,3.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,59.0
[QUESTION],3.0,6.0,4.0,6.0,6.0,5.0,3.0,0.0,6.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,53.0
[MARKS],3.0,3.0,4.0,6.0,6.0,5.0,5.0,9.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,50.0
[PROPORTION],4.0,11.0,6.0,8.0,7.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0
[CROP],0.0,16.0,22.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0
[TITLE],1.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,7.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,42.0
[INTEREST],2.0,13.0,2.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,41.0
[FACT],0.0,2.0,0.0,2.0,1.0,1.0,4.0,3.0,4.0,5.0,4.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,41.0
[SUBJECT],4.0,2.0,7.0,4.0,1.0,3.0,2.0,5.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,39.0
[FLOWER],0.0,0.0,4.0,1.0,1.0,2.0,3.0,2.0,18.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,39.0
[DATE],1.0,5.0,0.0,2.0,3.0,0.0,5.0,5.0,4.0,1.0,4.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,38.0
[CROSS],6.0,1.0,0.0,0.0,3.0,1.0,8.0,14.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0
[WOLF],0.0,1.0,1.0,2.0,2.0,9.0,6.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,37.0
[INSCRIPTION],0.0,4.0,0.0,2.0,6.0,1.0,4.0,7.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,36.0
[BEAR],0.0,2.0,0.0,0.0,1.0,3.0,18.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,36.0
[SHOOT],0.0,26.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
