count,lemma
21,""
16,flower
12,face
11,fruit
9,money
8,light
8,life
8,man
8,house
8,thing
8,world
7,home
7,place
7,heart
7,book
7,close
7,end
6,mother
6,daughter
5,boy
5,child
5,wife
5,truth
5,family
5,news
5,woman
5,wood
5,spirit
5,letter
5,friend
5,box
5,peace
4,king
4,word
4,present
4,tiding
4,hand
4,lady
4,lip
4,gold
4,baby
4,gift
4,city
4,door
4,disgrace
4,sorrow
4,death
4,health
4,number
4,court
4,water
4,scene
4,horse
4,head
4,pain
3,wall
3,soul
3,other
3,ship
3,reward
3,captain
3,treasure
3,store
3,name
3,mind
3,guest
3,trunk
3,room
3,state
3,image
3,kind
3,memory
3,tear
3,camp
3,strength
3,witness
3,justice
3,warmth
3,urn
3,matter
3,freshness
3,bride
3,pleasure
3,stand
3,set
3,result
3,sort
3,rear
3,relief
3,judgment
3,healing
2,use
2,dream
2,candle
2,assembly
2,wealth
2,piece
2,window
2,fish
2,carriage
2,palm
2,sheet
2,step
2,balm
2,bouquet
2,maiden
2,deal
2,fortune
2,land
2,pitcher
2,answer
2,fragrance
2,father
2,suit
2,gladness
2,notice
2,summons
2,crumb
2,smile
2,people
2,difficulty
2,safety
2,microscope
2,change
2,service
2,shop
2,hair
2,shoulder
2,tale
2,air
2,force
2,feeling
2,hell
2,shadow
2,down
2,cup
2,fair
2,price
2,giant
2,chair
2,paper
2,line
2,cellar
2,wine
2,assistance
2,sense
2,vision
2,baggage
2,odor
2,danger
2,breath
2,general
2,destruction
2,action
2,exit
2,heaven
2,claim
2,stair
2,conversation
2,trouble
2,charge
2,shame
2,order
2,folly
2,food
2,supply
2,wash
2,girl
2,bible
2,way
2,art
2,proof
2,rest
2,table
2,requisition
2,message
2,handkerchief
2,moment
2,music
2,issue
2,fashion
2,wretchedness
2,seed
2,disease
2,bowl
2,narrative
2,will
2,closet
2,offering
2,sunshine
2,apple
2,cheer
2,dress
2,mine
2,orange
2,desolation
2,fever
2,pie
2,account
2,particular
2,purpose
2,eye
2,stone
2,blessing
1,stretcher
1,nation
1,mouse
1,pair
1,board
1,card
1,town
1,grass
1,spring
1,cat
1,stranger
1,quality
1,person
1,guard
1,grindstone
1,bushel
1,haste
1,wind
1,command
1,love
1,tuition
1,halt
1,enemy
1,chaos
1,creature
1,scatter
1,opening
1,queer
1,post-office
1,den
1,evil
1,meat
1,phrase
1,waiter
1,head-quarters
1,lodging
1,feelins
1,jury
1,war
1,research
1,parent
1,female
1,position
1,nut
1,outbreak
1,beach
1,sun
1,almanac
1,exile
1,degree
1,cranberry
1,howson
1,anxiety
1,brevet
1,doctor
1,living-room
1,mule
1,handful
1,cheek
1,defeat
1,perspiration
1,lamp
1,battle
1,rear-guard
1,sauce
1,jubilee
1,wing
1,police
1,crust
1,lamplight
1,pan
1,pistol
1,mug
1,garret
1,purchas
1,ruin
1,religion
1,book-case
1,diet
1,aunt
1,repentance
1,uncle
1,flash
1,idea
1,hole
1,auntie
1,bar
1,whip
1,recess
1,wrong
1,contact
1,fellow
1,monitor
1,coffee
1,dining-room
1,glove
1,saddle-bag
1,walk
1,bay
1,governor
1,portfolio
1,crisis
1,plot
1,shape
1,dove
1,weight
1,spider
1,perfection
1,relation
1,hatred
1,proximity
1,pole
1,bak
1,oats
1,platform
1,veil
1,coach
1,seiz
1,fee
1,airship
1,prison
