count,lemma
19,""
11,home
10,price
10,total
9,child
9,trial
8,money
8,country
8,life
8,war
8,end
8,government
8,order
8,change
7,industry
7,peace
7,wife
7,house
7,control
7,world
6,word
6,suit
6,oil
5,friend
5,result
5,point
5,head
5,family
5,strength
5,nation
5,school
5,face
5,line
5,production
4,story
4,paper
4,case
4,power
4,ship
4,thing
4,question
4,man
4,water
4,inflation
4,car
4,book
4,justice
4,state
4,mail
4,--
4,people
4,news
3,place
3,producer
3,beer
3,game
3,village
3,danger
3,jurisdiction
3,boat
3,pressure
3,party
3,broadway
3,negotiation
3,way
3,well
3,audience
3,level
3,company
3,building
3,bacon
3,bread
3,office
3,pleasure
3,battle
3,answer
3,settlement
3,church
3,focus
3,flood
3,woman
3,position
3,piece
3,japanese
3,screen
3,mean
2,business
2,blood
2,coffee
2,sense
2,horse
2,jury
2,problem
2,electron
2,close
2,representative
2,boom
2,mother
2,freedom
2,attention
2,union
2,recognition
2,action
2,confusion
2,politics
2,relation
2,property
2,music
2,decency
2,character
2,talent
2,think
2,china
2,effect
2,disillusionment
2,food
2,classroom
2,supply
2,management
2,material
2,part
2,island
2,charge
2,negro
2,victory
2,success
2,return
2,card
2,image
2,native
2,faculty
2,barber
2,table
2,court
2,baby
2,fat
2,development
2,fame
2,profit
2,treasury
2,act
2,city
2,security
2,disgrace
2,reform
2,dog
2,plane
2,theater
2,whole
2,hear
2,play
2,group
2,windfall
2,judge
2,tool
2,member
2,health
2,examination
2,improvement
2,flea
2,applause
2,lot
2,conviction
2,communist
2,bride
2,market
2,surprise
2,soul
2,cease-fire
2,live
2,town
2,modification
2,range
2,television
2,basket
2,death
2,support
2,number
2,gasoline
2,smile
2,person
2,stone
2,german
2,dignity
2,son
2,boy
2,laboratory
2,average
2,rate
2,executive
2,down
2,cost
2,mainland
2,silver
2,author
2,idea
2,mind
2,situation
2,disaster
2,election
2,general
2,progress
2,work
2,knowledge
2,machine
2,choice
2,art
2,report
2,fellow
2,fall
2,contact
2,casualty
2,picture
2,argument
2,age
1,anteater
1,pair
1,eye
1,two-party
1,certificate
1,grapefruit
1,**25;1268;toolong
1,babe
1,amusement
1,matter
1,cheers
1,restraint
1,halt
1,love
1,smash
1,chaos
1,enemy
1,growth
1,law
1,urgency
1,drought
1,arab
1,ink
1,evil
1,factory
1,concrete
1,segregationist
1,communism
1,complaint
1,institution
1,bulldozer
1,administration
1,landscape
1,rechanneling
1,parent
1,record
1,harm
1,manager
1,colonist
1,goody
1,wealth
1,perity
1,herd
1,crew
1,craft
1,search
1,guardian
1,stimulation
1,project
1,doctor
1,edition
1,area
1,gusher
1,manner
1,discontinuity
1,sound
1,cheek
1,defeat
1,fron
1,balance
1,disagreement
1,shop
1,egyptian
1,light
1,variety
1,expedition
1,cook
1,campus
1,police
1,sensa
1,pamphlet
1,statement
1,butt
1,surrender
1,proportion
1,element
1,reservation
1,anarchist
1,bore
1,erp
1,scalp
1,shell
1,slipper
1,indifference
1,colony
1,feat
1,process
1,study
1,immigration
1,investigation
1,recipient
1,monkey
1,chunk
1,mixture
1,official
1,pennant
1,settle
1,experience
1,career
1,employment
1,interruption
1,bar
1,wrong
1,influx
1,hiss
1,doubt
1,training
1,knee
1,papa
1,hardship
1,size
1,governor
1,discussion
1,champagne
1,proof
1,telephone
1,aluminum
1,pestilence
1,payment
1,amount
1,practicability
1,identification
1,specialist
1,democrat
1,refinement
1,cattle
1,broadside
1,relief
1,king
1,envelope
1,pilot
1,answering
1,carbine
1,hula
1,comfort
1,survival
1,tribe
1,plant
1,tomiko
1,anglican
1,stud
1,crime
1,williston
1,intention
1,importance
1,partner
1,rancher
1,labor
1,punishment
1,division
1,communique
1,sensation
1,color
1,symbol
1,damage
1,motor
1,stern
1,torpedo
1,standstill
1,trigger
1,com
1,depth
1,viewpoint
1,demeanor
1,kind
1,disrepute
1,criminal
1,gear
1,statute
1,maze
1,skiing
1,reconciliation
1,youngster
1,lawyer
1,scale
1,weakness
1,scotch
1,concen
1,mortar
1,scandal
1,carload
1,co
