count,lemma
24,suit
19,change
16,action
15,rcra
12,citizen
11,task
11,home
11,compliance
9,party
7,service
7,area
7,school
6,existence
6,attention
6,product
6,world
5,information
5,state
5,focus
5,air
4,control
4,knowledge
4,people
4,language-learning
4,provision
4,idea
4,life
4,cercla
4,war
4,court
4,light
4,child
4,point
3,mind
3,revolution
3,luck
3,group
3,case
3,job
3,conformity
3,total
3,wellbeing
3,trial
3,student
3,relief
3,thing
3,power
3,context
3,be
3,evil
3,law
3,sphere
3,person
3,society
3,image
3,work
3,resolution
3,book
3,lawsuit
3,nhpa
3,question
3,place
3,face
3,""
3,nepa
3,peace
2,attitude
2,completion
2,rule
2,form
2,level
2,produce
2,vote
2,criterion
2,latin
2,temple
2,program
2,end
2,news
2,nutrient
2,violence
2,article
2,oxygen
2,notice
2,structure
2,fore
2,security
2,violator
2,play
2,penalty
2,issue
2,tv
2,violation
2,merchant
2,removal
2,mainstream
2,physics
2,government
2,memory
2,problem
2,culture
2,community
2,evidence
2,item
2,anomaly
2,resource
2,conflict
2,reduction
2,quality
2,technology
2,wealth
2,classroom
2,result
2,incident
2,body
2,tear
2,tyranny
2,contact
2,house
2,discussion
2,region
2,order
2,family
2,conceptualization
2,man
2,tool
2,surface
2,kind
2,warfare
2,prosperity
2,touch
2,cash
2,inflation
2,text
2,sense
2,system
2,covariation
2,view
2,desire
2,earth
2,literature
2,car
2,part
1,gun
1,rea
1,force
1,vehicle
1,head
1,from'the
1,joy
1,type
1,miner
1,toilet
1,turn
1,fruition
1,series
1,export
1,luggage
1,line
1,resentment
1,age
1,mass
1,business
1,check
1,march
1,expert
1,workshop
1,cognoscenti
1,doctrine
1,dialogue
1,fact
1,tion
1,drama
1,rest
1,history
1,fiber
1,chapter
1,slide
1,disturbance
1,read
1,petition
1,public
1,ball
1,roll
1,duck
1,human
1,theory
1,waist
1,event
1,language
1,hat
1,fall
1,neophyte
1,host
1,communication
1,tournament
1,gem
1,narrative
1,beginning
1,land
1,anarchy
1,science
1,alignment
1,victim
1,share
1,solution
1,appearance
1,fullness
1,metaphor
1,vice
1,judgment
1,log
1,oil
1,benefit
1,capital
1,despotism
1,boil
1,grain
1,candle
1,assistance
1,legislation
1,poison
1,epa-approved
1,transformation
1,defense
1,christianity
1,pho-tographs
1,brain
1,top
1,energy
1,bat
1,payoff
1,advancement
1,viking
1,liberation
1,list
1,employee
1,connection
1,estonians
1,congeries
1,dishonor
1,ethics
1,song
1,invasion
1,subject
1,truth
1,irritation
1,feel
1,rise
1,serial
1,dutch
1,crane
1,dalcroze
1,hen
1,rcra-approved
1,acquisition
1,nature
1,wage
1,civilization
1,picture
1,improvement
1,table
1,subcultural
1,ray
1,slave
1,response
1,isolation
1,think
1,earplug
1,revitalization
1,manual
1,confusion
1,letts
1,reason
1,assembly
1,scattering
1,pollution
1,turbine
1,population
1,pillar
1,demand
1,strike
1,negotiation
1,photo
1,orange
1,income
1,company
1,elevator
1,faith
1,theme
1,sword
1,atmosphere
1,model
1,detail
1,country
1,approach
1,analysis
1,servitude
1,management
1,arm
1,plate
1,dinner
1,attack
1,sick
1,input
1,road
1,hunger
1,grief
1,hotel
1,slavery
1,transitivity
1,spice
1,reward
1,worth
1,user
1,spearthrower
1,bride
1,bow
1,trick
1,village
1,rii
1,pair
1,mouse
1,fear
1,eye
1,egg
1,catalan
1,duke
1,ever-widening
1,ability
1,scheduler
1,bag
1,concept
1,chain
1,laboratory
1,economy
1,flurry
1,halt
1,excitement
1,artisan
1,chaos
1,education
1,breakfast
1,one
1,section
1,gift
1,arab
1,primary
1,strength
1,destruction
1,complaint
1,temperance
1,administration
1,dimension
1,criticism
1,adventure
1,sanction
1,map
1,parent
1,contraction
1,barrier
1,innovation
1,manager
1,colonist
1,patrimony
1,challenge
1,confrontation
1,beck
1,english
1,pet
1,tobacco
1,material
1,decree
1,--
1,attendance
1,reality
1,manner
1,poker
1,package
1,wind-borne
1,diminishment
1,delegate
1,balance
1,fencing
1,attempt
1,shop
1,intimacy
1,god
1,daughter
1,skeleton
1,glory
1,loss
1,variety
1,cook
1,efficiency
1,paper
1,requirement
1,fulfillment
1,highway
1,access
1,basket
1,abate
1,rebel
1,attainment
1,major
1,clarification
1,city
1,decline
1,study
1,preparation
1,wall
1,set
1,motif
1,woman
1,federation
1,barosaurus
1,aid
1,experience
1,adulation
1,astronomer
1,silk
1,mouth
1,influx
1,talk
1,cleanup
1,internet
1,falsifiability
1,kid
1,reference
1,saving
1,outcome
1,portfolio
1,crisis
1,perspective
1,sure-thing
1,difference
1,prosecution
1,scottish
1,perfection
1,proximity
1,supremacy
1,x-ray
1,interaction
1,distinction
1,supply
1,camera
1,discovery
1,catholic
1,application
1,expatriate
1,faculty
1,refugee
1,principle
1,advantage
1,baby
1,scrutiny
1,curriculum
1,headway
1,tray
1,duchess
1,judgement
1,concern
1,israelite
1,labor
1,regiment
1,confessional
1,involvement
1,uaw
1,failure
1,sexuality
1,author
1,ship
1,hand
1,enforcement
1,consideration
1,space
1,interest
1,value
