lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[HOME],5.0,7.0,4.0,13.0,7.0,10.0,10.0,8.0,24.0,11.0,10.0,18.0,9.0,13.0,4.0,7.0,16.0,20.0,10.0,206.0
[MAN],12.0,12.0,12.0,5.0,8.0,7.0,18.0,11.0,12.0,16.0,8.0,9.0,12.0,14.0,6.0,13.0,10.0,5.0,4.0,194.0
[NEWS],12.0,13.0,9.0,5.0,5.0,3.0,8.0,11.0,9.0,11.0,9.0,13.0,7.0,8.0,2.0,4.0,6.0,2.0,6.0,143.0
[WATER],9.0,6.0,3.0,11.0,4.0,11.0,5.0,10.0,11.0,8.0,10.0,5.0,14.0,6.0,3.0,2.0,2.0,14.0,5.0,139.0
[CHILD],3.0,8.0,4.0,9.0,5.0,13.0,6.0,6.0,12.0,7.0,7.0,3.0,11.0,12.0,3.0,7.0,5.0,6.0,10.0,137.0
[LIFE],8.0,5.0,7.0,8.0,8.0,4.0,8.0,9.0,7.0,3.0,7.0,5.0,5.0,9.0,1.0,15.0,8.0,13.0,4.0,134.0
[HAND],4.0,7.0,2.0,5.0,4.0,3.0,7.0,6.0,6.0,26.0,1.0,6.0,5.0,9.0,4.0,8.0,9.0,8.0,9.0,129.0
[HOUSE],11.0,5.0,7.0,6.0,8.0,8.0,1.0,9.0,5.0,11.0,4.0,4.0,10.0,8.0,1.0,10.0,6.0,8.0,2.0,124.0
[FACE],1.0,1.0,0.0,6.0,12.0,13.0,9.0,11.0,15.0,12.0,8.0,6.0,3.0,4.0,2.0,2.0,3.0,3.0,9.0,120.0
[LETTER],21.0,16.0,8.0,5.0,5.0,6.0,5.0,7.0,9.0,11.0,2.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,112.0
[THING],5.0,4.0,4.0,1.0,8.0,8.0,1.0,6.0,6.0,11.0,7.0,7.0,5.0,9.0,6.0,3.0,3.0,14.0,3.0,111.0
[LIGHT],11.0,12.0,7.0,7.0,8.0,8.0,6.0,7.0,9.0,8.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,106.0
[EYE],19.0,12.0,3.0,4.0,2.0,4.0,6.0,1.0,3.0,10.0,0.0,7.0,6.0,4.0,9.0,2.0,1.0,3.0,7.0,103.0
[FRIEND],3.0,1.0,3.0,6.0,5.0,4.0,4.0,5.0,8.0,3.0,6.0,6.0,9.0,6.0,3.0,3.0,6.0,4.0,9.0,94.0
[FOOD],4.0,1.0,5.0,3.0,2.0,1.0,7.0,3.0,2.0,3.0,6.0,4.0,9.0,10.0,8.0,3.0,12.0,5.0,3.0,91.0
[PEOPLE],7.0,1.0,5.0,6.0,2.0,8.0,0.0,6.0,2.0,4.0,0.0,3.0,5.0,9.0,3.0,6.0,6.0,9.0,4.0,86.0
[TEAR],13.0,11.0,3.0,1.0,3.0,5.0,5.0,1.0,4.0,11.0,0.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,7.0,84.0
[FATHER],8.0,2.0,7.0,10.0,2.0,4.0,3.0,3.0,5.0,6.0,0.0,2.0,4.0,2.0,2.0,2.0,3.0,7.0,7.0,79.0
[BOOK],5.0,7.0,1.0,1.0,7.0,4.0,3.0,6.0,7.0,2.0,2.0,4.0,0.0,7.0,4.0,3.0,3.0,8.0,4.0,78.0
