lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[LIGHT],14.0,17.0,21.0,21.0,17.0,19.0,8.0,11.0,23.0,15.0,9.0,8.0,6.0,1.0,2.0,7.0,3.0,2.0,3.0,207.0
[MAN],9.0,10.0,17.0,14.0,15.0,16.0,14.0,15.0,8.0,9.0,13.0,12.0,14.0,4.0,14.0,6.0,8.0,4.0,2.0,204.0
[HOME],1.0,7.0,8.0,5.0,7.0,8.0,8.0,9.0,2.0,8.0,9.0,12.0,5.0,11.0,6.0,7.0,6.0,11.0,17.0,147.0
[PEOPLE],4.0,3.0,5.0,7.0,7.0,11.0,7.0,15.0,8.0,4.0,7.0,5.0,5.0,4.0,9.0,7.0,8.0,8.0,6.0,130.0
[MIND],10.0,15.0,19.0,7.0,14.0,5.0,9.0,11.0,7.0,4.0,11.0,6.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,129.0
[WORLD],2.0,3.0,4.0,9.0,4.0,10.0,3.0,7.0,1.0,11.0,9.0,9.0,10.0,7.0,10.0,8.0,6.0,4.0,12.0,129.0
[CONTACT],6.0,7.0,18.0,8.0,8.0,14.0,6.0,20.0,13.0,9.0,3.0,5.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,124.0
[CHILD],6.0,3.0,7.0,4.0,5.0,3.0,3.0,7.0,10.0,10.0,10.0,10.0,6.0,9.0,9.0,5.0,5.0,3.0,8.0,123.0
[WAR],4.0,7.0,3.0,2.0,8.0,3.0,11.0,11.0,7.0,21.0,6.0,7.0,8.0,8.0,9.0,3.0,3.0,0.0,1.0,122.0
[COUNTRY],5.0,6.0,9.0,12.0,9.0,7.0,10.0,10.0,6.0,3.0,4.0,4.0,4.0,8.0,3.0,4.0,10.0,0.0,5.0,119.0
[LIFE],0.0,4.0,6.0,5.0,5.0,1.0,7.0,8.0,2.0,4.0,4.0,6.0,5.0,8.0,9.0,7.0,13.0,14.0,11.0,119.0
[ACTION],18.0,13.0,9.0,10.0,5.0,11.0,9.0,10.0,1.0,4.0,3.0,2.0,0.0,2.0,1.0,5.0,1.0,4.0,2.0,110.0
[RESULT],7.0,5.0,4.0,9.0,4.0,10.0,15.0,12.0,9.0,7.0,1.0,9.0,8.0,5.0,2.0,1.0,1.0,1.0,0.0,110.0
[END],2.0,4.0,5.0,6.0,5.0,8.0,12.0,5.0,10.0,6.0,8.0,6.0,7.0,8.0,2.0,4.0,6.0,3.0,1.0,108.0
[FACE],0.0,0.0,2.0,3.0,7.0,19.0,19.0,11.0,15.0,10.0,4.0,2.0,2.0,5.0,0.0,0.0,2.0,2.0,5.0,108.0
[STATE],9.0,12.0,9.0,16.0,7.0,3.0,9.0,4.0,7.0,5.0,5.0,3.0,5.0,4.0,2.0,1.0,0.0,2.0,0.0,103.0
[CHANGE],1.0,3.0,5.0,1.0,2.0,4.0,4.0,6.0,7.0,10.0,2.0,9.0,10.0,8.0,8.0,9.0,3.0,4.0,6.0,102.0
[HOUSE],4.0,8.0,2.0,4.0,6.0,6.0,5.0,8.0,4.0,9.0,3.0,10.0,0.0,7.0,8.0,3.0,2.0,2.0,5.0,96.0
[PEACE],2.0,2.0,3.0,0.0,0.0,1.0,8.0,3.0,8.0,7.0,12.0,7.0,3.0,7.0,7.0,7.0,5.0,6.0,6.0,94.0
[THING],2.0,5.0,6.0,6.0,5.0,7.0,6.0,1.0,4.0,4.0,11.0,6.0,2.0,4.0,3.0,5.0,3.0,0.0,3.0,83.0
[COURT],9.0,6.0,4.0,6.0,9.0,5.0,5.0,1.0,4.0,4.0,5.0,5.0,2.0,2.0,5.0,6.0,3.0,0.0,2.0,83.0
[PUBLIC],10.0,11.0,7.0,5.0,5.0,2.0,4.0,5.0,4.0,7.0,3.0,3.0,0.0,1.0,8.0,1.0,2.0,3.0,0.0,81.0
[SUIT],1.0,1.0,0.0,2.0,2.0,16.0,5.0,1.0,1.0,5.0,11.0,9.0,3.0,6.0,3.0,5.0,10.0,0.0,0.0,81.0
[POWER],5.0,7.0,4.0,6.0,5.0,6.0,3.0,5.0,5.0,6.0,5.0,1.0,2.0,4.0,5.0,2.0,6.0,3.0,1.0,81.0
