count,lemma
4,""
3,situation
3,way
2,effect
2,moment
2,mother
2,place
2,explosion
1,violence
1,entrance
1,havoc
1,set
1,grace
1,chair
1,lie
1,pen
1,trouble
1,story
1,grape
1,possibility
1,word
1,height
1,camp
1,merger
1,finger
1,hurt
1,crisis
1,monster
1,shame
1,rattle
1,confusion
1,reason
1,thing
1,lubricant
1,difficulty
1,heart
1,condition
1,sun
1,bloodline
1,happiness
1,face
1,reorganization
1,right
1,state
1,nothing
1,creator
1,activity
1,--
1,din
1,show
1,magic
1,gloom
1,result
1,ripple
1,agent
1,incident
1,lamp
1,problem
1,ambience
1,chai
1,nearness
1,body
1,sort
1,overload
1,opportunity
1,man
1,mystique
1,god
1,shadow
1,scene
1,stereotype
1,life
1,tongue
1,world
1,wedge
1,concentration
1,spring
1,wildcat
1,shout
1,rest
1,back
1,kind
1,illusion
1,absence
1,change
1,network
1,phantom
1,vacuum
1,black
1,racket
1,jam
1,suspension
1,writer
1,strength
1,dancing
1,salon
1,image
1,traffic
1,connection
1,agony
1,fortress
1,challenge
1,peace
1,down
1,feast
1,endurance
1,stainedglass
1,garden
1,fun
1,santee
