count,lemma
10,""
10,problem
7,climate
6,man
6,company
6,community
5,kind
5,program
5,sense
5,art
5,job
4,order
4,work
4,pressure
4,image
3,business
3,world
3,vortex
3,future
3,character
3,agency
3,tension
3,salvation
3,danger
3,response
3,society
3,impression
3,sympathy
2,reservoir
2,whirlwind
2,withdrawal
2,market
2,sort
2,series
2,town
2,expectation
2,system
2,public
2,criminal
2,connection
2,state
2,college
2,division
2,situation
2,energy
2,price
2,trouble
2,music
2,poetry
2,best-seller
2,city
2,mood
2,--
2,area
2,number
2,sound
2,science
2,be
2,picture
2,pain
2,rhetoric
2,opinion
2,news
2,child
2,land
2,myth
2,settlement
2,mass
2,violence
2,effect
2,environment
2,role
2,other
2,school
2,government
2,show
2,power
2,interest
2,dinner
2,dialogue
2,mini-city
2,force
2,face
2,crisis
2,alternative
1,minimum
1,behest
1,word
1,texture
1,district
1,protector
1,holocaust
1,utopia
1,lake
1,republic
1,circumstance
1,thing
1,lending
1,perfection
1,stage
1,stock
1,newspaper
1,security
1,urbanization
1,relief
1,reverse
1,organizer
1,coach
1,service
1,noise
1,son
1,failing
1,proletariat
1,class
1,beast
1,happen
1,curriculum
1,driver
1,stress
1,crime
1,bend
1,concern
1,importance
1,air
1,peopie
1,budget
1,pail
1,television
1,allergy
1,shadow
1,draft
1,head
1,doll
1,average
1,symbol
1,shortage
1,labyrinth
1,businessman
1,life
1,artist
1,issue
1,trail
1,group
1,dizziness
1,alarm
1,bulge
1,diversity
1,resentment
1,consolation
1,zone
1,trend
1,generation
1,uncertainty
1,space
1,consensus
1,drama
1,competition
1,fate
1,airport
1,debt
1,wilderness
1,establishment
1,disturbance
1,privation
1,critic
1,illegitimacy
1,fecklessness
1,subsidy
1,network
1,conference
1,original
1,progress
1,occasion
1,event
1,pattern
1,conversation
1,equality
1,people
1,writer
1,style
1,film
1,grave
1,mask
1,negro
1,executive
1,kidnapers
1,haldeman
1,drop
1,textbook
1,consumer
1,abuse
1,question
1,machismo
1,appearance
1,product
1,computer
1,relationship
1,capacity
1,lightning
1,text-book
1,capital
1,fiction
1,socialist
1,policewoman
1,turmoil
1,separation
1,focus
1,latticework
1,forest
1,instrument
1,game
1,welding
1,widow
1,alien
1,view
1,opportunity
1,coup
1,vision
1,resort
1,mail
1,edge
1,attention
1,peck
1,muscle
1,need
1,convenience
1,moment
1,newcomer
1,possibility
1,politics
1,civilization
1,agenda
1,politician
1,offense
1,evidence
1,substitute
1,monument
1,monster
1,ratio
1,investment
1,copyright
1,half
1,demand
1,photo
1,point
1,ski
1,tenderness
1,planner
1,dilemma
1,spread
1,dust
1,lift
1,management
1,no-nonsense
1,uproar
1,audience
1,presidency
1,hotel
1,gravity
1,drug
1,conflict
1,chivalry
1,candidate
1,nation
1,pair
1,eye
1,declaration
1,stranger
1,hollow
1,quality
1,person
1,obstacle
1,differential
1,dam
1,mound
1,laboratory
1,millionaire
1,chaos
1,incentive
1,growth
1,monopoly
1,law
1,urgency
1,dislike
1,currency
1,pine
1,evil
1,horror
1,ceiling
1,research
1,peak
1,proliferation
1,decision
1,antagonist
1,father
1,legislature
1,body
1,measure
1,context
1,plaza
1,intelligence
1,vacationland
1,daughter
1,weapon
1,office
1,havoc
1,breed
1,stir
1,complex
1,hotbed
1,tank
1,compound
1,noncapitalist
1,aisle
1,christian
1,importer
1,petroleum
1,university
1,expectant
1,tract
1,mandate
1,citizenry
1,catholic
1,simplicity
1,literacy
1,industry
1,hazard
1,cover
1,witness
1,clutter
1,form
1,spectacle
1,level
1,illusion
1,yorkin
1,memor
1,committee
1,change
1,country
1,variation
1,model
1,glass
1,defendant
1,dhahran
1,humpback
1,landfill
1,place
1,lot
1,vacation
1,learn
1,accompaniment
1,end
1,tax
1,silence
1,opera
1,unification
1,score
1,efficiency
1,quiet
1,fork
1,tornado
1,mnemonic
1,mutual-fund
1,self
1,complication
1,hero
1,democracy
1,helter-skelter
1,team
1,sato
1,study
1,foundation
1,sainthood
1,band
1,set
1,federation
1,identity
1,bargain
1,idea
1,aroma
1,adult
1,home
1,creation
