count,lemma
12,""
10,problem
9,man
6,nature
6,war
6,material
6,image
5,demand
5,woman
5,market
5,situation
4,mood
4,earth
4,song
4,atmosphere
4,spirit
4,system
3,history
3,thing
3,storyteller
3,art
3,interest
3,universe
3,world
3,privacy
3,artist
3,impression
3,cause
3,reserve
3,form
3,child
3,public
3,confusion
3,position
3,government
2,community
2,earl
2,possibility
2,music
2,poet
2,light
2,alarm
2,element
2,lord
2,israeli
2,set
2,effect
2,folk
2,status
2,tension
2,teacher
2,reason
2,agent
2,stress
2,mass
2,condition
2,capital
2,potential
2,money
2,heaven
2,//
2,audience
2,society
2,space
2,conflict
2,hand
2,park
2,order
2,one
2,stone
2,law
2,occasion
2,council
2,committee
2,engagement
2,creation
2,building
2,department
2,moment
2,sequence
2,harm
2,word
2,oxygen
2,sea
2,people
2,peer
2,rule
1,foundation
1,enmity
1,danger
1,emphasis
1,minister
1,poetry
1,adult
1,home
1,being
1,doubt
1,reading
1,congress
1,size
1,shape
1,alternative
1,disregard
1,multiplicity
1,action
1,sale
1,structure
1,intellectual
1,specialist
1,region
1,vivant
1,basketful
1,difficulty
1,security
1,supply
1,room
1,distinction
1,platform
1,initial
1,overall
1,composer
1,chimpanzee
1,cylinder
1,coordination
1,sion
1,nothingness
1,kingdom
1,anonymity
1,service
1,masterpiece
1,awareness
1,beast
1,setback
1,receiver
1,ghetto
1,staff
1,air
1,experiment
1,labor
1,commission
1,punishment
1,standard
1,division
1,solidarity
1,ascribe
1,feed
1,deficiency
1,contradistinction
1,draft
1,head
1,color
1,horde
1,rate
1,aids
1,symbol
1,classic
1,shortage
1,phoneme
1,distrust
1,trail
1,group
1,waste
1,instability
1,chairman
1,masterwork
1,patronage
1,disruption
1,resentment
1,enforcement
1,member
1,hydrogen
1,uncertainty
1,fact
1,kind
1,privilege
1,wilderness
1,disturbance
1,absence
1,living
1,manoeuvre
1,buy
1,agreement
1,medici
1,animal
1,helpmate
1,risk-benefit
1,language
1,consequence
1,pattern
1,scale
1,number
1,pressure
1,scandal
1,fall
1,revolution
1,movement
1,grave
1,soughtafter
1,executive
1,good
1,land
1,caesar
1,textbook
1,mistake
1,deer
1,crown
1,look
1,munition
1,pose
1,work
1,peace
1,intemperance
1,choice
1,fold
1,symptom
1,separation
1,turmoil
1,private
1,holloman
1,business
1,melody
1,human
1,sense
1,circle
1,brigade
1,defense
1,boom
1,crowd
1,watch
1,opportunity
1,expense
1,behavior
1,haven
1,threat
1,list
1,tsao
1,nuisance
1,source
1,cycle
1,personality
1,code
1,feel
1,rise
1,activist
1,bulk
1,politics
1,picture
1,guest
1,politician
1,brick
1,subcultural
1,sorrow
1,seal
1,freedom
1,monster
1,resonance
1,tooth
1,investment
1,method
1,knight
1,cult
1,organization
1,entirety
1,tableau
1,tendency
1,creator
1,court
1,approach
1,holiness
1,desert
1,disposal
1,marketing
1,stereotype
1,specification
1,board
1,buildup
1,card
1,collective
1,concentration
1,duke
1,quality
1,differentiation
1,mechanization
1,command
1,incentive
1,creature
1,canyonlands
1,opening
1,primary
1,worker
1,phrase
1,institution
1,enthusiasm
1,parallel
1,astronomy
1,criticism
1,liberal
1,magnitude
1,equivalent
1,manager
1,be
1,wealth
1,degree
1,decision
1,craft
1,degrade
1,anxiety
1,manner
1,sound
1,breach
1,housing
1,timber
1,echo
1,dissatisfaction
1,skin
1,process
1,weed
1,sit
1,reaction
1,insecurity
1,call
1,quasi-monopoly
1,election
1,experience
1,glassblower
1,machine
1,harvest
1,impres
1,momentum
1,attitude
1,hell
1,consubstantiality
1,farmer
1,field
1,chair
1,part
1,pursuit
1,betterment
1,trouble
1,compound
1,preservation
1,brand
1,rock
1,manchukuo
1,anthropology
1,sky
1,radiation
1,secondary
1,mutilate
1,test
1,university
1,expectant
1,bureaucracy
1,troop
1,dominance
1,adjective
1,chapel
1,mainspring
1,clichy
1,right
1,name
1,state
1,development
1,bias
1,religionist
1,factor
1,impact
1,stead
1,god
1,temperament
1,demo
1,mountain
1,destruction
1,munday
1,goldilocks
1,act
1,snowmobile
1,buddha
1,officer
1,illusion
1,appreciation
1,mind
1,country
1,purim
1,classification
1,production
1,primate
1,dissension
1,barn
1,loyalty
1,income
1,constantius
1,fei
1,cohesion
1,micro-environments
1,cantor
1,appeal
1,playgroup
1,tax
1,exemption
1,particle
1,train
1,dream
1,jew
1,expression
1,duality
1,speak
1,leisure
1,minority
1,nation-state
1,despondency
1,ramification
1,democracy
1,environment
