lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[WORLD],0.0,3.0,3.0,10.0,1.0,2.0,2.0,4.0,0.0,6.0,6.0,6.0,6.0,5.0,10.0,3.0,4.0,10.0,6.0,87.0
[DEMAND],4.0,2.0,2.0,7.0,3.0,5.0,8.0,6.0,5.0,5.0,3.0,4.0,4.0,3.0,1.0,1.0,0.0,4.0,6.0,73.0
[MAN],1.0,3.0,6.0,11.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,7.0,3.0,3.0,2.0,6.0,0.0,2.0,1.0,68.0
[IMPRESSION],0.0,1.0,4.0,3.0,3.0,2.0,4.0,4.0,6.0,8.0,2.0,2.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,59.0
[STATE],1.0,2.0,7.0,6.0,1.0,5.0,3.0,2.0,2.0,5.0,6.0,5.0,4.0,3.0,2.0,2.0,1.0,2.0,0.0,59.0
[JOB],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,5.0,11.0,12.0,15.0,56.0
[PROBLEM],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,12.0,10.0,4.0,10.0,9.0,56.0
[GOVERNMENT],3.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,0.0,3.0,2.0,2.0,2.0,3.0,51.0
[SYSTEM],1.0,2.0,2.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,12.0,9.0,50.0
[IMAGE],0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,5.0,4.0,4.0,5.0,13.0,4.0,46.0
[PUBLIC],2.0,2.0,5.0,2.0,3.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0,3.0,1.0,45.0
[SITUATION],0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,7.0,5.0,4.0,3.0,6.0,2.0,3.0,2.0,3.0,44.0
[CHARACTER],2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,7.0,1.0,43.0
[THING],0.0,2.0,6.0,6.0,3.0,2.0,1.0,2.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,4.0,40.0
[CONDITION],0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,6.0,3.0,4.0,3.0,4.0,0.0,2.0,4.0,4.0,38.0
[KIND],0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,4.0,5.0,6.0,3.0,7.0,37.0
[MIND],1.0,3.0,4.0,4.0,5.0,0.0,1.0,1.0,1.0,8.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,37.0
[LAW],1.0,1.0,4.0,2.0,3.0,0.0,6.0,4.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,35.0
[WORK],1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,0.0,4.0,5.0,7.0,3.0,35.0
[PEOPLE],0.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,5.0,6.0,3.0,33.0
[ATMOSPHERE],1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,6.0,2.0,0.0,3.0,5.0,0.0,4.0,2.0,2.0,33.0
[POWER],1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,33.0
[--],0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,5.0,7.0,32.0
[ILLUSION],1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,1.0,5.0,5.0,3.0,31.0
[INTEREST],1.0,2.0,3.0,3.0,2.0,3.0,1.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,31.0
[SENSE],0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,5.0,3.0,5.0,6.0,31.0
[FORM],1.0,2.0,1.0,0.0,3.0,2.0,5.0,4.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,29.0
[COMMUNITY],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,1.0,3.0,7.0,29.0
[SOCIETY],1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,27.0
[ARMY],1.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,26.0
[INDUSTRY],1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,4.0,2.0,26.0
[WEALTH],0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,4.0,26.0
[MARKET],0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,5.0,2.0,4.0,26.0
