count,lemma
7,sacrifice
6,interview
6,""
5,explanation
4,purse
4,money
3,silence
3,audience
3,lady
3,man
3,hope
3,voice
2,people
2,heaven
2,confession
2,consideration
2,reason
2,opinion
2,tone
2,liberty
2,public
2,servant
2,daughter
2,submission
2,other
2,use
2,set
2,think
2,attention
2,presence
2,truth
2,food
2,return
2,authority
2,judge
2,party
1,path
1,road
1,woman
1,vehemence
1,sterne
1,satisfaction
1,forbearance
1,parley
1,mevrouw
1,witness
1,frankness
1,nolens
1,adherent
1,delay
1,sink
1,stranger
1,advice
1,penetration
1,warrant
1,death
1,admittance
1,change
1,command
1,mind
1,garrison
1,conference
1,atonement
1,promise
1,mortal
1,horse
1,fuel
1,bird
1,strength
1,ink
1,sir
1,deed
1,head-quarters
1,obligation
1,compliance
1,leave
1,priest
1,settlement
1,victim
1,share
1,friend
1,question
1,respect
1,sanction
1,interference
1,solution
1,baron
1,parent
1,sailor
1,particular
1,writ
1,upstart
1,endearment
1,speech
1,exercise
1,judgment
1,separation
1,business
1,perseverance
1,conqueror
1,council
1,wife
1,father
1,news
1,case
1,maiden
1,incident
1,torture
1,battle
1,expression
1,reform
1,patie
1,speak
1,housemaid
1,tiger
1,energy
1,protection
1,exertion
1,jemmy
1,surrender
1,guide
1,rent
1,prisoner
1,entrance
1,zeal
1,blow
1,volen
1,study
1,power
1,repentance
1,aunt
1,investigation
1,delp
1,whisper
1,recess
1,interpreter
1,magistrate
1,gates
1,payment
1,action
1,regard
1,thing
1,chaplain
1,passion
1,gentleman
1,supply
1,alb
1,follower
1,safety
1,application
1,sympathy
1,service
1,son
1,mankind
1,faculty
1,health
1,agent
1,no
1,fort
1,clothing
1,insurer
1,deep
1,air
1,permission
1,burst
1,head
1,draft
1,boy
1,acknowledgment
1,forgiveness
1,pardon
1,diligence
1,consolation
1,rest
1,debt
1,market
1,ambassador
1,repose
1,landlord
1,criminal
1,thought
1,madame
1,visit
1,housewifery
1,embrace
1,spirit
1,cause
1,ruler
1,ministry
1,moment
1,mai
1,pen
1,nature
1,lip
1,meaning
1,portion
1,inquiry
1,blood
1,pleasure
1,evidence
1,technics
1,existence
1,victory
1,child
1,girl
1,roof
1,vein
1,retribution
1,moderation
1,scrutiny
1,dependence
1,preparedness
1,foe
1,right
1,sword
1,faith
1,motive
1,dust
1,safe-conduct
