count,lemma
7,man
7,suffrage
6,--
5,supply
5,equality
5,woman
5,right
4,money
4,land
4,attention
4,suffragist
4,release
3,congress
3,professor
3,""
3,government
3,share
3,war
3,progress
3,cause
3,life
3,education
3,abolition
2,work
2,labor
2,husband
2,college
2,party
2,fear
2,surrender
2,governor
2,leader
2,justice
2,ballot
2,relation
2,nature
2,market
2,statute
2,repeal
2,hand
2,pulpit
2,society
2,traveler
2,arm
2,divorce
2,minister
2,revision
2,road
2,knowledge
1,effect
1,town
1,act
1,ordinance
1,certificate
1,whereabouts
1,form
1,elegance
1,amusement
1,self-command
1,bread
1,tourist
1,vote
1,situation
1,law
1,horse
1,owne
1,currency
1,loyalty
1,meat
1,administration
1,sub-station
1,possession
1,authority
1,adaptation
1,simonetta
1,restoration
1,shoe
1,place
1,reluctance
1,pronouncement
1,use
1,bank
1,material
1,age
1,doctor
1,expulsion
1,wife
1,poison
1,drive
1,marriage
1,case
1,defense
1,pledge
1,system
1,maiden
1,slave
1,problem
1,soul
1,counsel
1,body
1,patience
1,view
1,energy
1,idol
1,price
1,statement
1,painter
1,requirement
1,footstep
1,niagara
1,guide
1,licence
1,greek
1,prisoner
1,assassin
1,prescription
1,proserpine
1,process
1,information
1,set
1,uncle
1,trade
1,home
1,call
1,planter
1,support
1,pain
1,article
1,term
1,manufacturer
1,training
1,reading
1,constant
1,return
1,surgeon
1,discussion
1,precaution
1,amount
1,captain
1,treatment
1,specialist
1,order
1,sustenance
1,franchise
1,philanthropy
1,independence
1,avatar
1,repayment
1,enfranchisement
1,purse
1,dismissal
1,league
1,family
1,tale
1,elf
1,force
1,punishment
1,copper
1,voter
1,head
1,indian
1,workman
1,issue
1,murderer
1,laity
1,advance
1,seclusion
1,reader
1,space
1,chance
1,approval
1,riot
1,rest
1,vengeance
1,criminal
1,lawyer
1,people
1,scotch
1,negro
1,farm
1,summary
1,peerage
1,compliance
1,settlement
1,jacobite
1,solution
1,crown
1,product
1,french
1,run
1,discontinuance
1,condition
1,association
1,statuary
1,army
1,native
1,property
1,nerve
1,attempt
1,admission
1,farmer
1,moment
1,literature
1,field
1,bombardment
1,legatee
1,citizen
1,self-sacrifice
1,branch
1,break
1,preservation
1,charity
1,sky
1,university
1,think
1,whiskey
1,presbyterian
1,automobilist
1,illustration
1,carriage
1,resource
1,appetite
1,station
1,point
1,redress
1,organ
1,name
1,state
1,catholic
1,cession
1,self-control
1,impact
1,hotel
1,satisfaction
1,forbearance
1,sister
1,slavery
1,reward
1,worth
1,agitation
1,secularization
1,nation
1,instruction
