count,lemma
9,price
6,""
6,power
6,war
5,use
5,wage
5,order
5,pay
5,good
4,front
4,return
4,service
4,government
4,job
4,work
3,freedom
3,french
3,removal
3,production
3,commodity
3,public
3,labor
3,union
3,threat
3,man
3,security
3,troop
3,increase
3,reform
2,business
2,plan
2,definition
2,pound
2,police
2,child
2,congressmen
2,way
2,roomful
2,defense
2,world
2,sovereignty
2,money
2,replacement
2,vote
2,force
2,independence
2,paper
2,economy
2,newspaper
2,opportunity
2,present
2,german
2,product
2,demand
2,unity
2,boost
2,surrender
2,purpose
2,change
2,origin
2,apology
2,debate
2,decision
2,material
2,attention
2,congress
2,sacrifice
2,exhibitor
2,mineral
2,consumer
2,cause
2,right
2,meeting
2,cabinet
2,steel
2,operate
2,executive
2,ownership
2,leadership
2,organization
2,concession
2,protection
2,capital
2,pain
2,contract
2,action
2,machine
2,rubber
2,army
2,control
2,farmer
1,lebensraum
1,butter
1,district
1,temperature
1,cleanup
1,internationalization
1,museum
1,treaty
1,food
1,reference
1,coffee
1,allegiance
1,crisis
1,release
1,captain
1,rider
1,phosphate
1,passion
1,certainty
1,difficulty
1,relief
1,room
1,supply
1,student
1,foreigner
1,application
1,arabic
1,bottle
1,deposit
1,mankind
1,penalty
1,health
1,vinson
1,class
1,impeachment
1,agent
1,pension
1,machinery
1,dismissal
1,air
1,annuity
1,hand-mill
1,standard
1,retrocession
1,senate
1,head
1,type
1,banquet
1,stop
1,equipment
1,life
1,conservative
1,resignation
1,damage
1,group
1,dig
1,ship
1,tool
1,member
1,check
1,consideration
1,fact
1,publisher
1,course
1,shift
1,tinplate
1,privilege
1,kind
1,recognition
1,subsidy
1,strip
1,covenant
1,living
1,repetition
1,conference
1,final
1,locomotive
1,scale
1,restriction
1,equality
1,number
1,people
1,pressure
1,navy
1,art
1,cottage
1,writer
1,laski
1,flesh
1,revolution
1,necessity
1,farm
1,oust
1,elevation
1,hegemony
1,operator
1,share
1,settlement
1,bridge
1,per-use
1,capacity
1,peace
1,strengthen
1,report
1,hope
1,halfgallon
1,separation
1,clause
1,turn
1,expansion
1,answer
1,donlevy
1,instrument
1,propaganda
1,plumbing
1,ear
1,ground
1,crowd
1,college
1,ability
1,club
1,tea
1,bingo
1,belligerent
1,policy
1,key
1,cap
1,subject
1,reassurance
1,wire
1,participation
1,nature
1,newcomer
1,objective
1,ouster
1,inquiry
1,chicken
1,evidence
1,attendant
1,ration
1,intensification
1,care
1,think
1,editor
1,technique
1,half
1,population
1,resource
1,integration
1,publication
1,railway
1,book
1,representation
1,other
1,theatrical
1,faith
1,campaign
1,court
1,liberty
1,lift
1,management
1,republican
1,tribunal
1,guild
1,guaranties
1,satisfaction
1,gravity
1,amateur
1,upshot
1,hair
1,worry
1,grower
1,communist
1,nation
1,license
1,abrogation
1,restraint
1,foodstuff
1,turk
1,transportation
1,opening
1,arab
1,worker
1,autonomy
1,administration
1,authority
1,map
1,long-awaited
1,priority
1,huk
1,search
1,abolition
1,mediation
1,pea
1,doctor
1,devotion
1,edition
1,profit
1,manufacture
1,balance
1,shop
1,beauty
1,variety
1,light
1,density
1,quiet
1,requirement
1,alcohol
1,access
1,krug
1,shopkeeper
1,account
1,manpower
1,peacetime
1,desire
1,commonwealth
1,showdown
1,ruler
1,cutback
1,rondon
1,headline
1,sentiment
1,car
1,smoke-belching
1,outset
1,island
1,output
1,petain
1,rule
1,preference
1,appeaser
1,president
1,hospital
1,three-power
1,supper
1,deficit
1,travel
1,state
1,hunter
1,responsibility
1,cold-storage
1,city
1,subordinate
1,reporter
1,destruction
1,screen
1,dealer
1,act
1,guarantee
1,coalition
1,refrigeration
1,officer
1,self-discipline
1,appalachian
1,kars
1,hear
1,immunity
1,red-light
1,beet
1,nonpoliticians
1,speaker
1,income
1,task
1,armament
1,fellow-citizen
1,speedup
1,place
1,hillman
1,redivision
1,science
1,appeal
1,program
1,raise
1,council
1,expert
1,tax
1,goal
1,building
1,acquittal
1,cost
1,minority
1,harbor
1,garden
1,firm
1,democracy
1,suite
1,laval
1,colony
1,say
1,spending
1,cartoonist
1,fragrance
1,set
1,cricketer
1,implication
1,prompt
1,home
1,election
1,weasel
1,acceptance
1,frontier
