lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MAN],3.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,10.0,4.0,8.0,5.0,1.0,2.0,4.0,2.0,0.0,0.0,1.0,47.0
[VOICE],3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,7.0,2.0,3.0,4.0,2.0,2.0,8.0,0.0,0.0,3.0,42.0
[EXPLANATION],5.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,4.0,2.0,4.0,4.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,37.0
[ATTENTION],2.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,34.0
[MONEY],4.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,26.0
[RIGHT],1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,24.0
[EYE],0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,21.0
[HAND],0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,21.0
[WOMAN],1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,20.0
[SATISFACTION],1.0,4.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,18.0
[SACRIFICE],7.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0
[GENERAL],0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,17.0
[RETURN],2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,17.0
[TONE],2.0,2.0,4.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
[ANSWER],0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,15.0
[LIFE],0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0
[PRESENCE],2.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0
[SURRENDER],1.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,14.0
[OTHER],2.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0
[DEATH],1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0
[THING],1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0
[GIRL],1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,13.0
[PRESIDENT],0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
