lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[LABOR],4.0,1.0,7.0,3.0,4.0,6.0,8.0,12.0,8.0,5.0,6.0,6.0,3.0,3.0,3.0,0.0,0.0,3.0,2.0,84.0
[ATTENTION],5.0,6.0,7.0,7.0,6.0,9.0,3.0,8.0,6.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,6.0,77.0
[MAN],2.0,1.0,5.0,6.0,5.0,7.0,6.0,11.0,2.0,8.0,4.0,4.0,3.0,3.0,1.0,0.0,5.0,2.0,1.0,76.0
[GOVERNMENT],3.0,4.0,2.0,4.0,5.0,2.0,4.0,13.0,4.0,6.0,3.0,5.0,4.0,5.0,3.0,4.0,2.0,0.0,0.0,73.0
[SUPPLY],2.0,6.0,7.0,1.0,4.0,7.0,6.0,3.0,8.0,3.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,4.0,6.0,67.0
[PUBLIC],4.0,4.0,2.0,1.0,2.0,6.0,3.0,11.0,2.0,8.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,61.0
[RIGHT],2.0,2.0,1.0,3.0,7.0,6.0,2.0,1.0,2.0,8.0,3.0,5.0,2.0,3.0,5.0,0.0,5.0,1.0,0.0,58.0
[MONEY],1.0,3.0,1.0,4.0,0.0,4.0,3.0,7.0,4.0,4.0,4.0,5.0,2.0,2.0,3.0,4.0,4.0,2.0,0.0,57.0
[PRICE],1.0,4.0,0.0,4.0,7.0,2.0,5.0,2.0,3.0,1.0,1.0,5.0,9.0,3.0,1.0,3.0,2.0,2.0,1.0,56.0
[CHANGE],3.0,0.0,3.0,0.0,0.0,5.0,3.0,3.0,4.0,6.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,47.0
[PEOPLE],2.0,1.0,2.0,1.0,1.0,3.0,3.0,9.0,4.0,5.0,0.0,4.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,45.0
[SERVICE],2.0,0.0,2.0,2.0,0.0,2.0,4.0,2.0,5.0,4.0,3.0,2.0,4.0,2.0,3.0,0.0,2.0,4.0,2.0,45.0
[INCREASE],2.0,0.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,41.0
[PRODUCT],1.0,0.0,3.0,2.0,1.0,6.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,41.0
