lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[SUPPLY],0.0,11.0,3.0,3.0,0.0,1.0,6.0,5.0,1.0,3.0,5.0,5.0,44.0,1.0,19.0,26.0,13.0,1.0,2.0,149.0
[PRICE],1.0,2.0,3.0,3.0,4.0,0.0,1.0,1.0,0.0,2.0,6.0,7.0,18.0,2.0,34.0,11.0,5.0,0.0,1.0,101.0
[GOOD],2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,27.0,17.0,3.0,8.0,7.0,9.0,2.0,1.0,85.0
[ATTENTION],4.0,6.0,0.0,5.0,4.0,6.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,1.0,6.0,3.0,3.0,4.0,71.0
[LABOR],1.0,3.0,0.0,20.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,16.0,5.0,3.0,1.0,2.0,2.0,4.0,2.0,69.0
[MONEY],1.0,16.0,0.0,4.0,10.0,0.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,0.0,3.0,2.0,4.0,0.0,4.0,69.0
[SCHEDULE],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,2.0,5.0,1.0,0.0,66.0
[PRODUCT],2.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,9.0,7.0,19.0,3.0,4.0,3.0,2.0,65.0
[SERVICE],0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,7.0,7.0,3.0,9.0,9.0,10.0,4.0,63.0
[LABOUR],4.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,19.0,0.0,0.0,0.0,55.0
[GOVERNMENT],2.0,6.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,9.0,6.0,1.0,4.0,4.0,9.0,1.0,2.0,54.0
[CURVE],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,7.0,5.0,0.0,0.0,54.0
[MAN],2.0,5.0,1.0,1.0,0.0,6.0,3.0,7.0,2.0,7.0,1.0,4.0,2.0,2.0,3.0,5.0,2.0,1.0,0.0,54.0
[INCREASE],1.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,8.0,0.0,3.0,8.0,8.0,4.0,2.0,2.0,48.0
[RIGHT],1.0,1.0,2.0,2.0,2.0,3.0,2.0,5.0,0.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,6.0,2.0,3.0,45.0
[MARKET],0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,6.0,3.0,7.0,4.0,5.0,3.0,1.0,38.0
[POWER],0.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,38.0
[USE],0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,5.0,1.0,2.0,0.0,11.0,4.0,3.0,1.0,0.0,37.0
[PEOPLE],1.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,6.0,4.0,1.0,2.0,0.0,36.0
[CHANGE],1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,5.0,1.0,7.0,4.0,5.0,33.0
[PUBLIC],1.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,3.0,1.0,3.0,4.0,1.0,0.0,32.0
[WORK],0.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,32.0
[FOOD],0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,0.0,8.0,1.0,2.0,4.0,1.0,5.0,0.0,1.0,31.0
[DEMAND],1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,7.0,3.0,2.0,2.0,1.0,30.0
[PAYMENT],1.0,4.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,29.0
[WAGE],0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,1.0,2.0,0.0,2.0,4.0,1.0,2.0,28.0
[INDUSTRY],0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,3.0,2.0,5.0,1.0,0.0,3.0,28.0
[CHILD],0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,3.0,6.0,2.0,2.0,2.0,28.0
[LAND],0.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,0.0,0.0,1.0,0.0,27.0
[EXPLANATION],0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,4.0,5.0,1.0,3.0,0.0,0.0,26.0
[STATE],2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,25.0
[CONDITION],1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,25.0
[GENERAL],1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,25.0
[SURRENDER],2.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0
[CAPITAL],3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,24.0
[KIND],0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,2.0,4.0,1.0,2.0,0.0,24.0
[REASON],2.0,3.0,1.0,3.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,24.0
[SYSTEM],0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,6.0,1.0,0.0,23.0
[BUSINESS],2.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,23.0
[THING],0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,23.0
[KNOWLEDGE],3.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,22.0
[PRODUCTION],0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,5.0,1.0,2.0,0.0,5.0,22.0
[LAW],0.0,4.0,5.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,22.0
[SKILL],0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,6.0,0.0,2.0,2.0,1.0,22.0
[ENGINEER],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0
[--],0.0,3.0,0.0,1.0,0.0,4.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,22.0
[WAR],0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,1.0,4.0,21.0
[NATURE],0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,21.0
[BANK],0.0,5.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,21.0
[LIFE],0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,20.0
[ACTION],0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,20.0
[PULL],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0
[OIL],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,10.0,19.0
[SPECIES],0.0,10.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0
[WOMAN],0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,19.0
[CASE],1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,19.0
[EDUCATION],2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,19.0
[ARTICLE],0.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,18.0
[HOME],1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,5.0,1.0,1.0,0.0,18.0
[CARE],0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,4.0,18.0
[AMOUNT],0.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,18.0
[OTHER],0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,18.0
[PERSON],0.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,18.0
[JUSTICE],2.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,18.0
[INTEREST],0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,17.0
[MATERIAL],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,17.0
[CREDIT],1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,7.0,0.0,17.0
[STOCK],0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,17.0
[KING],0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,17.0
[SIDE],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,5.0,1.0,2.0,1.0,1.0,17.0
[AGE],0.0,0.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0
[CONTROL],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,6.0,3.0,0.0,16.0
[INDIVIDUAL],0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,16.0
[HOUSE],1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,16.0
[CONSIDERATION],0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,16.0
[CONSUMER],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,4.0,1.0,0.0,16.0
[COUNTRY],1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,16.0
[PROTECTION],1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,15.0
[LEVEL],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,5.0,2.0,0.0,15.0
