count,lemma
68,way
47,order
41,place
37,name
35,pleasure
35,man
35,hand
33,look
31,chance
29,letter
27,life
26,attention
25,opportunity
24,money
24,idea
22,word
21,information
20,glance
19,think
18,""
17,reason
16,cry
16,thing
16,people
14,account
13,hope
13,hint
12,mind
12,lesson
12,impression
11,direction
11,vent
10,fact
10,work
10,boy
10,love
10,sign
10,heart
10,kiss
10,credit
9,touch
9,evidence
9,other
9,light
9,horse
9,deal
9,heed
8,alarm
8,answer
8,help
8,thought
8,water
8,satisfaction
8,expression
8,friend
8,birth
8,soul
8,live
8,dinner
7,child
7,slip
7,present
7,sigh
7,cheers
7,voice
7,surprise
7,encouragement
7,sense
7,warning
7,pain
7,signal
7,push
7,promise
7,right
7,paper
7,comfort
7,story
6,drink
6,effect
6,taste
6,groan
6,air
6,whistle
6,laugh
6,shake
6,hug
6,son
6,house
6,joy
6,book
6,head
6,exclamation
6,start
6,note
6,father
6,history
6,proof
6,gift
6,excuse
6,fire
6,question
6,feel
6,sort
5,world
5,liberty
5,charge
5,study
5,trouble
5,food
5,part
5,delight
5,stone
5,strength
5,commission
5,nod
5,supper
5,line
5,turn
5,country
5,picture
5,despair
5,yell
5,message
5,breakfast
5,master
5,address
5,shriek
5,mother
5,kind
5,utterance
5,berth
5,matter
5,point
5,party
5,advice
5,brother
5,courage
5,audience
5,shout
5,wife
5,rest
4,embrace
4,sensation
4,christy
4,consideration
4,explanation
4,face
4,play
4,relief
4,pull
4,creature
4,appearance
4,will
4,school
4,job
4,room
4,blood
4,beauty
4,gratitude
4,sister
4,reception
4,deed
4,milk
4,drop
4,chapter
4,honor
4,home
4,counsel
4,gasp
4,hearty
4,task
4,exhibition
4,estate
4,card
4,confidence
4,notice
4,music
4,faith
4,welcome
4,wealth
4,thanks
4,lady
4,town
4,arm
4,papa
4,dog
4,church
4,moment
4,security
4,assent
4,subject
4,view
4,care
4,command
4,dear
4,aid
4,person
4,case
4,course
3,shot
3,shock
3,stateroom
3,consent
3,grace
3,song
3,luxury
3,introduction
3,weight
3,service
3,token
3,feeling
3,nature
3,growl
3,purse
3,public
3,art
3,sheep
3,heroine
3,quarter
3,description
3,freedom
3,publicity
3,rise
3,lie
3,praise
3,burial
3,howl
3,company
3,detail
3,breath
3,lift
3,report
3,pass
3,charm
3,grief
3,back
3,glass
3,measure
3,thrill
3,purpose
3,uneasiness
3,spirit
3,daughter
3,flower
3,desire
3,body
3,field
3,pair
3,fear
3,entertainment
3,power
3,birthday
3,victory
3,fellow
3,girl
3,pressure
3,narrative
3,negro
3,sympathy
3,advantage
3,ring
3,concern
3,importance
3,bark
3,cuff
3,woman
3,share
3,privilege
3,quartermaster
3,instruction
3,landscape
3,cue
3,bond
3,officer
3,choice
3,cut
3,assurance
3,crew
3,knowledge
3,period
3,leap
3,happiness
3,seat
3,silence
3,battle
3,shudder
3,hero
3,speech
3,blow
2,worth
2,treatment
2,employment
2,count
2,taffy
2,italian
2,medicine
2,news
2,rage
2,turkey
2,favorite
2,cash
2,prominence
2,bind
2,stare
2,object
2,movement
2,garment
2,piece
2,testimony
2,half
2,yorick
2,sniff
2,steamer
2,ghost
2,pause
2,jewel
2,dismay
2,meed
2,boat
2,station
2,demand
2,smack
2,speed
2,entrance
2,disease
2,smile
2,offense
2,number
2,chase
2,grandfather
2,box
2,practice
2,cabman
2,longing
2,accident
2,punishment
2,sir
2,suggestion
2,rapture
2,interest
2,keep
2,space
2,key
2,benefit
2,advance
2,character
2,run
2,louis
2,bread
2,sweetness
2,enemy
2,bed
2,suspicion
2,painting
2,god
2,city
2,grave
2,depth
2,crown
2,color
2,opinion
2,cause
2,seed
2,conversation
2,beating
2,reply
2,fancy
2,mirror
2,exchange
2,specimen
2,aunt
2,hemp
2,peace
2,leave
2,kick
2,earnest
2,diamond
2,humanity
2,coat
2,theory
2,claim
2,trip
2,form
2,prayer
2,squeeze
2,cold
2,lock
2,log
2,wonder
2,end
2,scholar
2,plan
2,greeting
2,series
2,enjoyment
2,sob
2,rein
2,be
2,scream
2,fortune
2,assistance
2,credence
2,orrin
2,secret
2,brandy
2,poem
2,sixpence
2,college
2,minister
2,companionship
2,alms
2,sugar
2,tobacco
2,shoulder
2,gurgle
2,squire
2,regret
2,abundance
2,list
2,gun
2,commandment
2,sermon
2,try
2,blessing
2,good-morning
