count,lemma
87,""
43,rise
34,way
31,birth
28,child
27,man
24,idea
24,name
24,power
21,chance
21,table
20,account
20,people
19,opportunity
15,place
14,sense
14,order
14,impression
14,life
14,attention
14,think
14,support
13,point
13,form
12,situation
12,credit
12,world
12,access
11,command
11,information
11,law
11,society
11,instruction
11,light
11,value
11,authority
11,reason
11,public
11,rate
10,direction
10,effect
10,condition
10,strength
10,number
9,indication
9,evidence
9,body
9,freedom
9,president
9,example
9,student
8,lecture
8,control
8,kind
8,figure
8,word
8,food
8,look
8,hope
8,description
8,subject
8,chapter
8,consideration
8,part
8,view
8,woman
7,feel
7,other
7,key
7,thing
7,show
7,practice
7,experience
7,right
7,problem
7,rein
7,answer
7,picture
7,animal
7,title
7,advice
7,pleasure
7,son
7,opinion
7,level
6,section
6,treatment
6,service
6,work
6,detail
6,rule
6,role
6,quantity
6,water
6,vote
6,aid
6,impetus
6,space
6,expression
6,interest
6,insight
6,edge
6,nature
6,energy
6,family
6,event
6,amount
6,fact
6,relief
6,development
6,industry
6,advantage
6,clue
6,maximum
6,face
6,state
6,measure
6,land
5,scripture
5,appearance
5,boost
5,city
5,room
5,permission
5,dimension
5,book
5,ground
5,farmer
5,human
5,sign
5,present
5,change
5,farm
5,mind
5,play
5,infant
5,individual
5,status
5,object
5,glimpse
5,education
5,friend
5,king
5,period
5,general
5,share
5,satisfaction
5,activity
5,baby
5,demand
5,meaning
5,money
5,set
5,result
5,explanation
5,interpretation
5,vent
5,help
5,soul
4,course
4,offense
4,supply
4,program
4,surface
4,size
4,crop
4,quality
4,company
4,flat
4,organization
4,lip
4,patient
4,father
4,rest
4,term
4,piece
4,hand
4,origin
4,citizen
4,matter
4,image
4,structure
4,country
4,news
4,region
4,facility
4,function
4,knowledge
4,system
4,poetry
4,head
4,letter
4,property
4,area
4,language
4,character
4,presentation
4,material
4,health
4,occasion
4,priority
4,lead
4,magnification
4,daughter
4,speech
4,master
4,charge
4,person
3,post
3,resolution
3,job
3,collective
3,back
3,justification
3,clearance
3,hear
3,plan
3,use
3,degree
3,artist
3,income
3,copy
3,sentence
3,revelation
3,advance
3,performance
3,aggregate
3,protection
3,stone
3,cost
3,encouragement
3,pain
3,medicine
3,deal
3,signal
3,training
3,shape
3,column
3,class
3,option
3,article
3,group
3,notice
3,side
3,backing
3,live
3,mean
3,recommendation
3,ritual
3,association
3,parent
3,tone
3,alms
3,feeling
3,feed
3,type
3,//
3,age
3,territory
3,drink
3,happiness
3,male
3,art
3,vigour
3,pupil
3,music
3,vacation
3,concert
3,warning
3,tax
3,building
3,specialty
3,foretaste
3,firm
3,emphasis
3,ear
3,vitality
3,future
3,field
3,yield
3,mother
3,moment
3,reassurance
3,peace
3,trouble
3,vision
3,operation
3,duty
3,politician
3,test
3,method
3,victory
3,equation
3,passenger
3,republican
3,principle
3,commodity
3,analysis
3,iron
3,programme
3,marriage
3,bevel
3,railway
3,official
3,responsibility
3,stimulus
3,standard
3,god
2,confidence
2,suspicion
2,sanction
2,difficulty
2,disease
2,coupon
2,lord
2,death
2,solution
2,conference
2,committee
2,de
2,belief
2,question
2,response
2,architect
2,priest
2,milk
2,pack
2,excuse
2,leeway
2,gift
2,empire
2,currency
2,outline
2,intensity
2,grower
2,leave
2,feature
2,total
2,illumination
2,opposition
2,church
2,voice
2,acknowledgement
2,historian
2,good
2,instructor
2,mede
2,bache
2,memory
2,fire
2,approval
2,sound
2,weight
2,neck
2,bath
2,institution
2,member
2,journalism
2,pressure
2,praise
2,obedience
2,capsule
2,moral
2,progesterone
2,gas
2,perfection
2,growth
2,stage
2,wood
2,security
2,literature
2,smile
2,arrangement
2,increase
2,go
2,suggestion
2,wing
2,importance
2,storyteller
2,television
2,carbon
2,economy
2,customer
2,stress
2,average
2,comfort
2,range
2,shake
2,muscle
2,buddhist
2,commander
2,dovetail
2,definiteness
2,prince
2,coverage
2,recognition
2,scope
2,federalist
2,truth
2,promise
2,proof
2,foundation
2,synagogue
2,impulse
2,beginning
2,audience
2,government
2,crown
2,perspective
2,quarter
2,skill
2,allegiance
2,struggle
2,drama
2,page
2,acid
2,branch
2,myth
2,pride
2,youth
2,possibility
2,deadline
2,top
2,board
2,hint
2,box
2,dignity
2,sort
2,sex
2,portion
2,layman
2,guest
2,indifference
2,charity
2,employee
2,prominence
