count,lemma
45,chance
28,way
25,birth
23,name
21,speech
20,impression
20,""
17,people
16,money
16,test
16,--
14,life
14,support
14,child
14,president
13,pause
13,power
13,credit
12,party
12,information
11,right
11,job
11,advice
11,interview
10,look
10,reason
10,answer
10,rise
10,woman
10,blood
10,sense
9,opportunity
9,work
8,control
8,number
8,talk
8,shave
8,man
8,instruction
8,voice
8,performance
8,cause
8,television
7,baby
7,benefit
7,shot
7,state
7,evidence
7,lot
7,light
7,official
7,kind
7,tax
7,edge
7,lesson
7,story
7,view
7,permission
7,sign
7,government
6,drug
6,approval
6,player
6,city
6,hope
6,choice
6,task
6,promise
6,soviet
6,other
6,patient
6,room
6,premiere
6,direction
6,fact
6,clue
6,think
6,point
6,title
5,student
5,appearance
5,account
5,responsibility
5,public
5,access
5,idea
5,gift
5,grant
5,owner
5,present
5,son
5,news
5,thumbs-up
5,war
5,space
5,book
5,employee
5,side
5,country
5,order
5,reception
4,heart
4,dose
4,artist
4,audience
4,interest
4,break
4,list
4,feel
4,rationale
4,aphorism
4,school
4,rein
4,bonus
4,confidence
4,moment
4,relief
4,company
4,report
4,worker
4,air
4,member
4,term
4,law
4,friend
4,general
4,campaign
4,human
4,committee
4,house
4,daughter
4,education
4,aid
4,call
4,review
4,arginine
4,meaning
4,thing
4,eye
4,example
4,parent
4,run
4,hand
4,notice
4,security
4,authority
4,world
4,paper
3,part
3,coherence
3,start
3,card
3,hear
3,license
3,senate
3,stand
3,reader
3,ride
3,consideration
3,position
3,award
3,record
3,manager
3,priority
3,flower
3,sentence
3,program
3,intimacy
3,discretion
3,press
3,prescription
3,lead
3,go-ahead
3,encouragement
3,pain
3,deal
3,signal
3,fellow
3,chapter
3,bill
3,piece
3,amount
3,industry
3,convention
3,comfort
3,age
3,try
3,viewer
3,wife
3,mean
3,service
3,phone
3,game
3,fit
3,animal
3,effort
3,image
3,boost
3,capacity
3,music
3,series
3,warning
3,lecture
3,behavior
3,flavor
3,kid
3,nation
3,treatment
3,husband
3,win
3,glimpse
3,congress
3,disease
3,quarter
3,quality
3,pleasure
3,weight
3,courage
3,immunity
3,horse
3,mother
3,attention
3,place
3,orchestra
3,pill
3,politics
3,history
3,charity
3,future
3,matter
3,play
3,threat
3,economy
3,head
3,prison
3,testimony
3,airline
3,impetus
3,love
3,show
3,lift
3,period
3,arm
3,dinner
3,song
3,loan
3,definition
3,society
3,key
3,freedom
3,worth
3,organization
2,ado
2,poem
2,change
2,demonstration
2,bath
2,bus
2,concern
2,laugh
2,octane
2,rank
2,conspiracy
2,military
2,farmer
2,movie
2,french
2,magazine
2,elk
2,advantage
2,trial
2,church
2,rock
2,christa
2,independence
2,ovation
2,mayor
2,interior
2,baseball
2,volunteerism
2,opposition
2,cost
2,strength
2,italian
2,commitment
2,practice
2,income
2,poetry
2,range
2,contract
2,perspective
2,taste
2,shape
2,novel
2,explanation
2,screen
2,aura
2,value
2,urgency
2,river
2,glove
2,problem
2,picture
2,tendency
2,cancer
2,incentive
2,treasure
2,pot
2,black
2,invention
2,representative
2,reference
2,barber
2,bow
2,top
2,criterion
2,intensity
2,director
2,medal
2,secondary
2,response
2,candidacy
2,downbeat
2,sanction
2,energy
2,vision
2,microwave
2,glass
2,cleanup
2,muscle
2,secretary
2,description
2,lack
2,struggle
2,democrat
2,gold
2,hint
2,indication
2,medicine
2,reassurance
2,experience
2,complex
2,computer
2,touch
2,lie
2,individual
2,back
2,intelligence
2,meal
2,king
2,enemy
2,home
2,object
2,effect
2,distinction
2,character
2,camp
2,food
2,actor
2,sound
2,salary
2,marriage
2,study
2,opening
2,radio
2,increase
2,environment
2,guarantee
2,passage
2,jitter
2,smile
2,koch
2,unity
2,goal
2,hold
2,magic
2,criminal
2,voter
2,ing
2,section
2,health
2,boy
2,help
2,gas
2,broadway
2,israeli
2,exchange
2,case
2,force
2,scope
2,presidency
2,process
2,commission
2,union
2,wage
2,vent
2,version
2,diet
2,assignment
2,network
2,blessing
2,outrage
2,credence
2,wealth
2,broadcaster
2,band
2,movement
2,friendship
2,custody
2,write
2,imitation
2,summary
2,post
2,tour
2,legitimacy
2,shift
2,lowdown
2,line
2,sample
2,green
2,check
2,ticket
2,glow
2,caesarean
2,message
2,marks
2,rule
2,indian
2,guidance
2,forgiveness
2,socialist
2,couple
2,optimism
2,critic
2,star
2,business
2,trust
2,cloud
2,transfusion
2,tang
2,honor
2,jurisdiction
2,valium
2,claim
2,communist
2,utility
1,upbringing
1,rioter
1,rendition
1,self-rule
1,shake
1,dication
1,twist
1,article
1,mansabs
1,summation
1,phenomenon
1,museum
1,reading
1,summons
1,hunt
1,electrocardiogram
1,extinguisher
1,structure
1,content
1,exhaustion
1,route
1,hook
1,safety
1,low-fiber
1,hard-earned
1,antibody
1,white
1,vicissitude
1,graph
1,driver
1,agent
1,noncommittal
1,argentine
1,fantasy
1,feeling
1,vehicle
1,boxing
1,burgundy
1,tankful
1,joy
1,type
1,funeral
1,scene
1,humidity
1,vice-president
1,block
1,tv
1,march
1,senator
1,slide
1,warmup
1,restaurant
1,buy
1,coat
1,leaning
1,art
1,street
1,shiver
1,flesh
1,majority
1,turbulence
1,pay
1,submarine
1,home-movie
1,land
1,nicorette
1,obligation
1,chamber
1,insulin
1,appraisal
1,capital
1,birthright
1,fish-eye
1,supply-side
1,renaissance
1,independent
1,screening
1,trucker
1,assistant
1,tablet
1,center
1,recording
1,revolt
1,horsemanship
1,vari
1,self-serving
1,tea
1,viking
1,applicant
1,smirk
1,urge
1,cap
1,subject
1,marisa
1,publicity
1,okay
1,chemotherapy
1,tell
1,portion
1,leadership
1,harp
1,solid
1,plaque
1,gamecock
1,existence
1,shield
1,cigarette
1,tryout
1,estimate
1,contra
1,acreage
1,resource
1,loafer
1,publication
1,strike
1,clot-dissolving
1,sub
1,damn
1,stateliness
1,turkey
1,anger
1,piquancy
1,liquid
1,analysis
1,sausage
1,brother
1,era
1,attack
1,fan
1,life-threatening
1,biology
1,bouvier
1,sister
1,granddaughter
1,storage
1,marketing
1,medea
1,infant
1,uniform
1,strain
1,village
1,sovereignty
1,candidate
1,individuality
1,anniversary
1,hack
1,sack
1,friendliness
1,firmness
1,bison
1,guard
1,person
1,diagnosis
1,record-company
1,monologue
1,thanks
1,gleam
1,leftist
1,accelerator
1,situation
1,oodle
1,relaxation
1,device
1,arab
1,evanescence
1,factory
1,cortisone
1,argument
1,autonomy
1,grounding
1,maintenance
1,administration
1,criticism
1,technology
1,lifestyle
1,equivalent
1,purpose
1,use
1,sun
1,can
1,shirt
1,pollster
1,mood
1,doctor
1,warehousing
1,determinism
1,manner
1,father
1,leader
1,injustice
1,body
1,ideal
1,associate
1,loss
1,nba
1,marijuana
1,steroid
1,briefing
1,cross
