lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[WAY],40.0,33.0,38.0,26.0,49.0,61.0,56.0,49.0,35.0,54.0,27.0,31.0,33.0,25.0,34.0,26.0,28.0,22.0,20.0,687.0
[POWER],19.0,30.0,33.0,44.0,28.0,37.0,31.0,32.0,19.0,26.0,28.0,16.0,28.0,18.0,16.0,13.0,13.0,16.0,20.0,467.0
[ACCOUNT],52.0,76.0,52.0,45.0,27.0,31.0,24.0,30.0,36.0,15.0,9.0,16.0,9.0,15.0,4.0,6.0,5.0,4.0,2.0,458.0
[NAME],27.0,31.0,19.0,22.0,23.0,31.0,41.0,24.0,30.0,19.0,16.0,18.0,19.0,23.0,23.0,34.0,23.0,17.0,17.0,457.0
[CHANCE],6.0,2.0,3.0,4.0,9.0,17.0,9.0,18.0,20.0,35.0,27.0,38.0,34.0,41.0,44.0,30.0,45.0,23.0,30.0,435.0
[MAN],11.0,28.0,28.0,26.0,28.0,35.0,28.0,52.0,21.0,41.0,21.0,28.0,26.0,16.0,16.0,13.0,8.0,7.0,1.0,434.0
[RISE],36.0,32.0,36.0,24.0,39.0,33.0,27.0,30.0,27.0,24.0,21.0,14.0,10.0,8.0,7.0,15.0,10.0,12.0,16.0,421.0
[IDEA],30.0,32.0,34.0,24.0,22.0,34.0,23.0,18.0,20.0,26.0,10.0,25.0,17.0,13.0,17.0,12.0,5.0,13.0,8.0,383.0
[PLACE],12.0,27.0,36.0,48.0,21.0,24.0,32.0,36.0,33.0,30.0,20.0,15.0,15.0,8.0,2.0,2.0,3.0,2.0,6.0,372.0
[OPPORTUNITY],21.0,13.0,21.0,18.0,19.0,17.0,28.0,27.0,31.0,26.0,22.0,23.0,12.0,18.0,11.0,18.0,9.0,18.0,15.0,367.0
[LIFE],11.0,11.0,31.0,23.0,22.0,20.0,28.0,24.0,15.0,30.0,21.0,32.0,10.0,19.0,9.0,13.0,14.0,10.0,8.0,351.0
[REASON],23.0,15.0,40.0,14.0,17.0,20.0,23.0,26.0,16.0,19.0,20.0,12.0,13.0,14.0,6.0,19.0,10.0,11.0,8.0,326.0
[RIGHT],13.0,19.0,24.0,17.0,14.0,11.0,14.0,15.0,25.0,19.0,28.0,19.0,16.0,13.0,13.0,15.0,11.0,9.0,7.0,302.0
[BIRTH],12.0,16.0,17.0,27.0,15.0,11.0,12.0,7.0,11.0,8.0,9.0,9.0,7.0,8.0,13.0,23.0,25.0,27.0,42.0,299.0
[PEOPLE],6.0,12.0,7.0,9.0,8.0,17.0,17.0,20.0,12.0,9.0,11.0,17.0,20.0,16.0,17.0,15.0,17.0,30.0,21.0,281.0
