lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[RISE],12.0,24.0,45.0,47.0,22.0,63.0,34.0,36.0,51.0,18.0,53.0,49.0,37.0,53.0,68.0,43.0,63.0,39.0,26.0,783.0
[WAY],36.0,22.0,29.0,42.0,28.0,49.0,37.0,37.0,35.0,55.0,33.0,41.0,27.0,37.0,25.0,34.0,51.0,32.0,31.0,681.0
[NAME],14.0,31.0,41.0,21.0,39.0,39.0,35.0,66.0,52.0,28.0,34.0,32.0,35.0,29.0,21.0,24.0,12.0,12.0,22.0,587.0
[ACCOUNT],50.0,31.0,52.0,35.0,49.0,24.0,49.0,29.0,32.0,18.0,29.0,13.0,14.0,26.0,19.0,20.0,16.0,16.0,7.0,529.0
[POWER],50.0,36.0,43.0,31.0,22.0,15.0,20.0,18.0,25.0,25.0,19.0,20.0,17.0,25.0,22.0,24.0,13.0,18.0,14.0,457.0
[IDEA],18.0,39.0,24.0,36.0,24.0,21.0,36.0,22.0,33.0,25.0,15.0,29.0,24.0,27.0,14.0,24.0,11.0,12.0,18.0,452.0
[OPPORTUNITY],19.0,16.0,12.0,16.0,11.0,15.0,15.0,14.0,23.0,31.0,33.0,25.0,26.0,23.0,31.0,19.0,30.0,16.0,20.0,395.0
[MAN],14.0,22.0,18.0,25.0,16.0,32.0,40.0,32.0,22.0,30.0,19.0,19.0,17.0,27.0,12.0,27.0,8.0,5.0,7.0,392.0
[PLACE],13.0,12.0,34.0,28.0,20.0,29.0,33.0,27.0,31.0,35.0,26.0,27.0,13.0,12.0,10.0,15.0,8.0,6.0,3.0,382.0
[ORDER],14.0,18.0,16.0,13.0,25.0,37.0,28.0,23.0,21.0,32.0,40.0,14.0,21.0,10.0,10.0,14.0,4.0,8.0,4.0,352.0
[BIRTH],8.0,14.0,26.0,15.0,23.0,21.0,26.0,29.0,16.0,9.0,9.0,8.0,18.0,18.0,8.0,31.0,15.0,18.0,24.0,336.0
[LIFE],20.0,12.0,17.0,17.0,21.0,27.0,24.0,24.0,21.0,23.0,15.0,16.0,7.0,12.0,8.0,14.0,21.0,12.0,13.0,324.0
[CHILD],12.0,11.0,7.0,6.0,3.0,31.0,11.0,21.0,13.0,42.0,23.0,11.0,29.0,17.0,10.0,28.0,12.0,15.0,15.0,317.0
[ATTENTION],9.0,9.0,9.0,14.0,13.0,20.0,18.0,6.0,15.0,29.0,31.0,11.0,27.0,18.0,13.0,14.0,20.0,16.0,6.0,298.0
[INFORMATION],9.0,20.0,14.0,9.0,15.0,13.0,8.0,22.0,7.0,7.0,17.0,15.0,31.0,20.0,11.0,11.0,12.0,15.0,5.0,261.0
[REASON],21.0,20.0,16.0,15.0,6.0,8.0,16.0,13.0,20.0,16.0,12.0,10.0,14.0,6.0,17.0,11.0,14.0,11.0,5.0,251.0
[CHANCE],0.0,4.0,2.0,4.0,6.0,7.0,8.0,14.0,13.0,26.0,13.0,19.0,13.0,23.0,20.0,21.0,26.0,10.0,11.0,240.0
[RIGHT],6.0,24.0,24.0,9.0,7.0,14.0,6.0,17.0,12.0,9.0,14.0,21.0,11.0,6.0,11.0,7.0,12.0,8.0,9.0,227.0
[EVIDENCE],12.0,32.0,12.0,14.0,7.0,17.0,11.0,7.0,12.0,9.0,12.0,9.0,16.0,12.0,10.0,9.0,9.0,11.0,3.0,224.0
[IMPRESSION],0.0,3.0,5.0,5.0,3.0,5.0,9.0,9.0,10.0,16.0,16.0,14.0,26.0,12.0,31.0,14.0,21.0,10.0,13.0,222.0
[PLEASURE],14.0,11.0,10.0,11.0,10.0,21.0,22.0,29.0,6.0,12.0,8.0,9.0,3.0,8.0,21.0,7.0,7.0,4.0,2.0,215.0
[CREDIT],8.0,45.0,11.0,7.0,5.0,6.0,5.0,7.0,12.0,5.0,11.0,9.0,17.0,8.0,11.0,12.0,12.0,12.0,10.0,213.0
[DIRECTION],14.0,20.0,33.0,22.0,11.0,17.0,2.0,11.0,10.0,5.0,10.0,6.0,6.0,11.0,11.0,10.0,5.0,6.0,2.0,212.0
[PEOPLE],10.0,3.0,12.0,9.0,9.0,8.0,23.0,21.0,9.0,14.0,6.0,9.0,8.0,6.0,8.0,20.0,13.0,16.0,8.0,212.0
[EFFECT],9.0,20.0,16.0,5.0,15.0,1.0,16.0,10.0,8.0,11.0,16.0,20.0,21.0,7.0,11.0,10.0,3.0,9.0,2.0,210.0
[INSTRUCTION],4.0,22.0,12.0,11.0,5.0,5.0,7.0,15.0,7.0,14.0,32.0,10.0,16.0,6.0,9.0,11.0,5.0,9.0,8.0,208.0
[WORK],3.0,1.0,9.0,10.0,2.0,7.0,31.0,10.0,11.0,14.0,18.0,13.0,8.0,19.0,17.0,6.0,11.0,11.0,7.0,208.0
[FORM],4.0,7.0,13.0,11.0,14.0,6.0,6.0,6.0,17.0,10.0,12.0,21.0,11.0,21.0,7.0,13.0,7.0,18.0,1.0,205.0
[EXAMPLE],6.0,6.0,3.0,3.0,8.0,8.0,15.0,6.0,9.0,7.0,18.0,14.0,11.0,12.0,8.0,9.0,13.0,19.0,12.0,187.0
[APPEARANCE],8.0,8.0,12.0,17.0,10.0,12.0,14.0,6.0,4.0,8.0,13.0,17.0,20.0,6.0,10.0,5.0,14.0,0.0,2.0,186.0
[WORD],10.0,21.0,7.0,7.0,12.0,9.0,9.0,12.0,16.0,15.0,18.0,14.0,9.0,7.0,6.0,8.0,3.0,2.0,1.0,186.0
[NUMBER],2.0,4.0,10.0,11.0,7.0,6.0,7.0,5.0,7.0,16.0,12.0,12.0,13.0,12.0,11.0,10.0,15.0,11.0,9.0,180.0
[CHARACTER],11.0,21.0,32.0,9.0,11.0,13.0,10.0,8.0,6.0,12.0,7.0,2.0,4.0,8.0,5.0,4.0,8.0,3.0,3.0,177.0
[WORLD],7.0,4.0,7.0,6.0,19.0,2.0,8.0,11.0,13.0,11.0,15.0,22.0,9.0,11.0,5.0,12.0,7.0,4.0,3.0,176.0
[AMOUNT],0.0,10.0,3.0,32.0,8.0,3.0,3.0,3.0,5.0,7.0,10.0,5.0,16.0,10.0,36.0,6.0,10.0,5.0,3.0,175.0
[DESCRIPTION],5.0,18.0,29.0,14.0,6.0,12.0,9.0,4.0,8.0,9.0,9.0,4.0,6.0,8.0,15.0,8.0,2.0,3.0,5.0,174.0
[OPINION],9.0,33.0,15.0,20.0,7.0,6.0,12.0,12.0,10.0,3.0,5.0,4.0,5.0,2.0,8.0,7.0,4.0,1.0,4.0,167.0
[PICTURE],5.0,3.0,4.0,10.0,2.0,1.0,13.0,7.0,6.0,5.0,13.0,26.0,18.0,20.0,11.0,7.0,7.0,5.0,4.0,167.0
[RESULT],5.0,3.0,11.0,6.0,9.0,3.0,12.0,2.0,7.0,23.0,16.0,13.0,12.0,6.0,18.0,5.0,7.0,3.0,4.0,165.0
[EXPRESSION],1.0,7.0,7.0,10.0,6.0,13.0,9.0,8.0,19.0,17.0,8.0,11.0,13.0,8.0,7.0,6.0,4.0,6.0,5.0,165.0
[MONEY],5.0,18.0,3.0,4.0,12.0,7.0,18.0,13.0,3.0,12.0,7.0,8.0,7.0,8.0,13.0,5.0,6.0,6.0,10.0,165.0
[POINT],13.0,18.0,7.0,7.0,4.0,8.0,9.0,5.0,13.0,9.0,5.0,7.0,2.0,9.0,16.0,13.0,11.0,6.0,3.0,165.0
[STRENGTH],12.0,5.0,4.0,10.0,11.0,16.0,11.0,12.0,4.0,21.0,6.0,11.0,7.0,7.0,6.0,10.0,4.0,0.0,3.0,160.0
[ANSWER],6.0,3.0,10.0,6.0,9.0,4.0,12.0,8.0,16.0,4.0,7.0,8.0,9.0,12.0,17.0,7.0,7.0,7.0,7.0,159.0
[LIGHT],8.0,3.0,13.0,9.0,1.0,10.0,23.0,8.0,14.0,8.0,6.0,11.0,6.0,14.0,6.0,11.0,7.0,0.0,1.0,159.0
[ADVICE],4.0,10.0,5.0,6.0,11.0,9.0,13.0,6.0,12.0,7.0,20.0,4.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,155.0
[SERVICE],2.0,5.0,2.0,0.0,3.0,0.0,0.0,2.0,5.0,11.0,24.0,15.0,37.0,16.0,15.0,6.0,5.0,5.0,2.0,155.0
[AUTHORITY],4.0,14.0,6.0,9.0,3.0,4.0,4.0,9.0,10.0,2.0,10.0,11.0,9.0,5.0,6.0,11.0,13.0,13.0,11.0,154.0
[THINK],1.0,0.0,4.0,4.0,2.0,7.0,14.0,12.0,10.0,23.0,9.0,5.0,11.0,8.0,8.0,14.0,11.0,5.0,6.0,154.0
[GENERAL],8.0,18.0,18.0,7.0,9.0,7.0,7.0,2.0,8.0,7.0,12.0,12.0,10.0,5.0,11.0,5.0,2.0,4.0,2.0,154.0
[VALUE],1.0,10.0,6.0,22.0,9.0,1.0,6.0,9.0,5.0,8.0,13.0,8.0,16.0,6.0,5.0,11.0,5.0,8.0,3.0,152.0
[--],10.0,7.0,9.0,11.0,11.0,28.0,16.0,19.0,3.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,7.0,145.0
[FOOD],1.0,2.0,7.0,3.0,5.0,17.0,10.0,8.0,8.0,12.0,12.0,15.0,9.0,7.0,3.0,8.0,9.0,1.0,5.0,142.0
[VIEW],11.0,21.0,16.0,10.0,5.0,7.0,7.0,11.0,7.0,5.0,6.0,2.0,5.0,6.0,4.0,8.0,4.0,3.0,3.0,141.0
[WEIGHT],11.0,8.0,7.0,12.0,12.0,8.0,3.0,5.0,9.0,12.0,8.0,6.0,3.0,8.0,2.0,2.0,9.0,12.0,3.0,140.0
[PART],11.0,9.0,4.0,4.0,7.0,9.0,8.0,8.0,6.0,12.0,8.0,9.0,7.0,7.0,6.0,8.0,10.0,3.0,2.0,138.0
[OTHER],10.0,12.0,14.0,10.0,5.0,5.0,2.0,6.0,6.0,11.0,4.0,6.0,10.0,9.0,3.0,7.0,11.0,4.0,2.0,137.0
[SUPPORT],6.0,2.0,9.0,4.0,3.0,1.0,2.0,4.0,6.0,7.0,7.0,17.0,10.0,9.0,10.0,14.0,13.0,6.0,6.0,136.0
[PUBLIC],9.0,24.0,8.0,11.0,5.0,3.0,1.0,2.0,7.0,6.0,11.0,1.0,3.0,9.0,10.0,11.0,1.0,8.0,4.0,134.0
[SATISFACTION],7.0,15.0,8.0,10.0,10.0,5.0,12.0,9.0,3.0,9.0,5.0,4.0,10.0,7.0,5.0,5.0,3.0,3.0,3.0,133.0
[LAW],8.0,12.0,9.0,14.0,8.0,1.0,10.0,9.0,7.0,2.0,11.0,4.0,4.0,4.0,7.0,11.0,2.0,4.0,5.0,132.0
[NOTICE],1.0,28.0,16.0,2.0,10.0,10.0,10.0,7.0,7.0,2.0,1.0,14.0,8.0,3.0,0.0,3.0,3.0,3.0,2.0,130.0
[ADVANTAGE],6.0,16.0,10.0,10.0,9.0,6.0,6.0,7.0,4.0,6.0,11.0,10.0,4.0,6.0,4.0,6.0,1.0,2.0,5.0,129.0
[TABLE],1.0,2.0,4.0,0.0,3.0,1.0,1.0,0.0,5.0,0.0,26.0,20.0,6.0,7.0,26.0,21.0,0.0,4.0,1.0,128.0
[FACT],1.0,5.0,4.0,7.0,4.0,5.0,4.0,4.0,6.0,8.0,10.0,3.0,13.0,12.0,10.0,6.0,8.0,13.0,5.0,128.0
[STATE],11.0,10.0,9.0,3.0,4.0,3.0,3.0,6.0,5.0,6.0,11.0,6.0,10.0,4.0,6.0,6.0,5.0,11.0,8.0,127.0
[GOVERNMENT],7.0,10.0,11.0,8.0,18.0,2.0,4.0,7.0,3.0,3.0,11.0,9.0,5.0,3.0,7.0,2.0,6.0,3.0,7.0,126.0
[SENSE],1.0,4.0,5.0,5.0,0.0,9.0,2.0,5.0,9.0,6.0,10.0,3.0,8.0,10.0,5.0,14.0,11.0,7.0,12.0,126.0
[PERSON],5.0,15.0,11.0,9.0,3.0,5.0,5.0,6.0,3.0,1.0,10.0,2.0,14.0,5.0,6.0,4.0,8.0,9.0,5.0,126.0
[THING],10.0,8.0,8.0,8.0,6.0,9.0,8.0,4.0,8.0,7.0,6.0,3.0,3.0,13.0,6.0,7.0,4.0,4.0,2.0,124.0
[PROOF],12.0,12.0,17.0,11.0,17.0,3.0,3.0,16.0,2.0,1.0,5.0,3.0,1.0,3.0,5.0,2.0,3.0,0.0,0.0,116.0
[WOMAN],2.0,3.0,3.0,1.0,1.0,8.0,3.0,23.0,4.0,12.0,3.0,7.0,5.0,6.0,3.0,8.0,7.0,5.0,9.0,113.0
[CASE],6.0,9.0,9.0,4.0,4.0,6.0,2.0,8.0,3.0,7.0,13.0,9.0,8.0,5.0,10.0,2.0,3.0,2.0,3.0,113.0
[CONSIDERATION],3.0,1.0,3.0,2.0,5.0,3.0,1.0,3.0,2.0,6.0,17.0,12.0,13.0,11.0,14.0,8.0,1.0,6.0,2.0,113.0
