count,lemma
4,force
4,man
4,line
3,army
3,""
3,town
3,request
3,life
2,child
2,attack
2,negro
2,injunction
2,consent
2,chickahominy
2,wilderness
2,flank
2,favor
2,moment
1,soldier
1,aid
1,election
1,banns
1,word
1,corps
1,saratogians
1,present
1,pleasure
1,wood
1,infantry
1,talk
1,longstreet
1,betide
1,house
1,president
1,victory
1,wish
1,troop
1,relation
1,heaven
1,step
1,succor
1,consciousness
1,order
1,point
1,heart
1,path
1,opponent
1,blind
1,river
1,ernie
1,quarter
1,audience
1,elkanah
1,horseman
1,presidency
1,sp
1,preparation
1,permission
1,sledge-hammer
1,nun
1,token
1,whole
1,head
1,hazard
1,destruction
1,rhyme
1,reader
1,effect
1,rapidan
1,hammering
1,earthwork
1,tavern
1,tube
1,begin
1,kind
1,petition
1,mind
1,plan
1,reply
1,situation
1,dislike
1,praise
1,movement
1,prosperity
1,land
1,prayer
1,war
1,settlement
1,government
1,purpose
1,record
1,cannon
1,cut
1,crossing
1,report
1,fight
1,reinforcement
1,father
1,railroad
1,leader
1,southside
1,burdock
1,marriage
1,case
1,object
1,honor
1,fork
1,crack
1,paper
1,intelligence
1,policy
1,engine
1,attention
1,daughter
1,kitten
1,vent
1,fun
1,blow
1,struggle
1,source
1,field
1,crescent-shaped
1,approbation
1,danger
1,breathing-space
