count,lemma
14,land
13,man
13,power
11,congress
10,army
9,government
9,term
9,state
7,""
7,degree
7,president
7,privilege
6,general
6,right
5,//
5,divorce
5,friend
4,house
4,citizen
4,claim
4,individual
4,charter
4,request
3,patent
3,people
3,location
3,court
3,election
3,favor
3,letter
3,indemnity
3,crown
3,railroad
3,blame
3,command
3,--
3,public
2,stand
2,adultery
2,convention
2,regiment
2,road
2,limit
2,advantage
2,candidate
2,world
2,candidacy
2,cause
2,condition
2,appropriation
2,half-pay
2,end
2,length
2,incorporation
2,honor
2,license
2,secretary
2,domain
2,grant
2,officer
2,return
2,administration
2,policy
2,attempt
2,library
2,chief
2,school
2,source
2,ward
2,war
2,matter
2,statement
2,change
2,party
2,plan
2,title
2,excitement
2,supply
2,child
2,theory
2,effect
2,offer
2,number
2,book
1,sovereign
1,sort
1,contingent
1,imputation
1,score
1,price
1,remedy
1,surrender
1,reservation
1,strategy
1,press
1,democracy
1,hero
1,concession
1,page
1,territory
1,hater
1,truthfulness
1,bill
1,note
1,animosity
1,lease
1,outburst
1,official
1,word
1,acceptance
1,date
1,ranch
1,treaty
1,affection
1,presumption
1,future
1,discussion
1,governor
1,limitation
1,crisis
1,malice
1,leasehold
1,withdrawal
1,relation
1,ingalls
1,detachment
1,diploma
1,order
1,difficulty
1,relief
1,distinction
1,room
1,king
1,township
1,franchise
1,bounty
1,want
1,principle
1,non-scriptural
1,opponent
1,examination
1,no
1,homestead
1,pension
1,money
1,staff
1,family
1,stroke
1,lover
1,permission
1,assent
1,whole
1,head
1,type
1,quantity
1,perversity
1,life
1,chairman
1,line
1,violation
1,nobility
1,march
1,mismanagement
1,space
1,fact
1,premise
1,course
1,signature
1,kind
1,orchard
1,humiliation
1,subsidy
1,birthday
1,pressure
1,whisky
1,farm
1,pursuance
1,beginning
1,effort
1,settlement
1,move
1,solution
1,basin
1,french
1,niece
1,work
1,birthplace
1,fidelity
1,report
1,husband
1,separation
1,rear
1,period
1,wife
1,assistance
1,wage
1,system
1,christianity
1,slave
1,reputation
1,assistant
1,cabin
1,infidelity
1,college
1,orthe
1,misfortune
1,club
1,rom
1,champion
1,list
1,consent
1,ridge
1,facility
1,subject
1,residence
1,invalid
1,feel
1,lie
1,branch
1,bulk
1,community
1,illness
1,politician
1,evidence
1,seal
1,talent
1,wish
1,estimate
1,reason
1,copyright
1,step
1,siege
1,speculation
1,railway
1,inventor
1,point
1,sake
1,testimony
1,heart
1,reign
1,mill
1,other
1,company
1,conscience
1,lawlessness
1,photograph
1,dinner
1,reprisal
1,arm
1,presidency
1,american
1,anniversary
1,department
1,property
1,status
1,visit
1,account
1,spirit
1,revenue
1,justice
1,constitution
1,hand
1,island
1,charge
1,example
1,solicitation
1,meanness
1,rebuff
1,ring
1,test
1,proposition
1,maker
1,citizenship
1,fund
1,name
1,enlargement
1,restitution
1,bear
1,river
1,difference
1,god
1,saloon
1,nomination
1,mountain
1,loan
1,clergy
1,interpretation
1,suit
1,act
1,will
1,telegram
1,mark
1,humanity
1,consulting
1,quality
1,form
1,obstacle
1,monarch
1,remarriage
1,country
1,monopoly
1,one
1,section
1,transfer
1,evil
1,marque
1,variance
1,furlough
1,argument
1,head-quarters
1,logistics
1,autonomy
1,improvement
1,prayer
1,leave
1,authority
1,sanction
1,record
1,purpose
1,he--
1,sea
1,shock
1,decision
1,tour
1,royalty
1,success
1,hooker
1,peninsula
1,fame
1,stability
1,admirer
1,exemption
1,defeat
1,body
1,reform
