count,lemma
4,woman
4,divorce
4,man
4,--
3,life
3,ground
3,cause
3,request
3,privilege
2,law
2,child
2,right
2,demand
2,effect
2,brute
2,sin
2,favor
2,country
2,paradise
2,theory
2,injunction
2,reason
2,fact
1,thing
1,relation
1,divinity
1,brain
1,gratification
1,state
1,play
1,canadian
1,lieut
1,gas
1,court
1,convention
1,boon
1,arm
1,canoeing
1,successor
1,incompatibility
1,crime
1,difference
1,commission
1,permission
1,heretic
1,demoralization
1,worth
1,ce
1,forgiveness
1,damage
1,retreat
1,beginner
1,candidate
1,world
1,license
1,believer
1,quality
1,rest
1,form
1,back
1,differential
1,recognition
1,matter
1,subsidy
1,purchase
1,live
1,remarriage
1,change
1,capture
1,agreement
1,waist
1,radical
1,monopoly
1,flank
1,equality
1,number
1,judge
1,people
1,principal
1,fall
1,monoplane
1,majority
1,evil
1,grave
1,sign
1,statehood
1,meal
1,administration
1,store
1,authority
1,criticism
1,government
1,general
1,mercy
1,hall
1,""
1,peace
1,promoter
1,work
1,objection
1,bank
1,condition
1,montauban
1,degree
1,wonder
1,decree
1,army
1,success
1,bean
1,period
1,wife
1,case
1,resident
1,servant
1,satire
1,forest
1,experimenter
1,soul
1,edict
1,scientism
1,widow
1,view
1,misnomer
1,ability
1,german
1,motherhood
1,luther
1,selection
1,congratulation
1,power
1,lease
1,home
1,hume
1,influence
1,pain
1,prairie
1,master
1,date
1,construction
1,term
1,protestant
1,return
1,designer
1,representative
1,amount
1,visit
1,music
1,chief
1,drunkenness
1,laves
1,probability
1,contention
1,nature
1,story
1,portion
1,title
1,wagon
1,way
1,trip
1,stuff
1,freedom
1,president
1,victory
1,estimate
1,tract
1,confusion
1,cheerfulness
