lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[POWER],10.0,16.0,10.0,15.0,8.0,7.0,13.0,6.0,3.0,3.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,116.0
[LAND],12.0,2.0,6.0,12.0,2.0,8.0,14.0,10.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,71.0
[RIGHT],2.0,4.0,6.0,3.0,3.0,2.0,6.0,2.0,2.0,5.0,3.0,6.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,64.0
[MAN],3.0,5.0,3.0,0.0,5.0,2.0,13.0,4.0,8.0,3.0,4.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,57.0
[GOVERNMENT],3.0,4.0,1.0,4.0,1.0,2.0,9.0,3.0,2.0,4.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0
[STATE],8.0,0.0,2.0,1.0,4.0,3.0,9.0,1.0,1.0,0.0,4.0,7.0,0.0,0.0,3.0,1.0,1.0,2.0,3.0,50.0
[PRIVILEGE],5.0,0.0,3.0,2.0,1.0,2.0,7.0,2.0,9.0,1.0,4.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,43.0
[CONGRESS],2.0,1.0,4.0,4.0,2.0,3.0,11.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,37.0
[GENERAL],0.0,2.0,1.0,4.0,3.0,0.0,6.0,9.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0
[PERMISSION],2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,32.0
