count,lemma
49,office
16,slave
13,place
12,meeting
10,""
10,hand
9,solution
9,estimation
8,faith
7,rank
7,estate
7,public
7,slavery
7,property
7,man
6,land
6,possession
6,bondage
6,power
6,opinion
5,/z/
5,country
5,--
5,truth
5,authority
5,right
5,law
5,language
5,labor
5,state
4,character
4,life
4,consultation
4,esteem
4,peace
4,other
4,doctrine
3,government
3,thing
3,subjection
3,king
3,act
3,court
3,respect
3,converse
3,case
3,pleasure
3,acid
3,head
3,position
3,system
3,station
3,proof
3,tavern
2,leg
2,reverence
2,gas
2,part
2,son
2,discourse
2,heart
2,hall
2,will
2,remembrance
2,person
2,kingdom
2,knife
2,fact
2,relation
2,condition
2,capital
2,number
2,offer
2,fulfillment
2,cotton
2,conversation
2,sort
2,veneration
2,situation
2,detestation
2,talent
2,flambeau
2,dominion
2,heat
2,order
2,bishop
2,individual
2,rise
2,behavior
2,purpose
2,horse
2,future
2,church
2,palace
2,communion
2,lieutenancy
2,subject
2,parliament
2,prisoner
2,soul
2,school
2,scepter
2,constitution
2,park
2,servitude
2,rein
2,side
2,body
2,mayoralty
2,christian
2,dear
2,contempt
2,home
2,world
1,faculty
1,pound
1,abundance
1,gun
1,baptist
1,impression
1,money
1,air
1,force
1,coast
1,commission
1,star
1,mastery
1,shale
1,boy
1,baggage
1,salvation
1,bridegroom
1,chairman
1,bone
1,jove
1,mass
1,transgressor
1,ward
1,conviction
1,moonlight
1,market
1,chapter
1,disrepute
1,privilege
1,control
1,recognition
1,phantom
1,occasion
1,promise
1,reconciliation
1,metal
1,ambition
1,orbit
1,loose
1,revolution
1,farm
1,post
1,beginning
1,mongol
1,sir
1,earnest
1,banking
1,image
1,share
1,abuse
1,subaltern
1,mistake
1,crown
1,tail
1,confidence
1,baron
1,general
1,cup
1,fortress
1,measure
1,log
1,work
1,bunch
1,hope
1,fasting
1,species
1,spot
1,series
1,letter
1,chambers
1,human
1,castle
1,termination
1,adoration
1,honor
1,bud
1,assistant
1,counsel
1,serpent
1,view
1,opportunity
1,mony
1,rosary
1,province
1,mother
1,policy
1,consent
1,embrace
1,key
1,source
1,duty
1,capillary
1,camp
1,parchment
1,aboue
1,ray
1,existence
1,shield
1,executioner
1,levee
1,editor
1,hold
1,assembly
1,investment
1,bromide
1,book
1,universe
1,representation
1,theme
1,provision
1,vacancy
1,liquid
1,convention
1,prediction
1,sect
1,limit
1,anchor
1,society
1,disposal
1,succession
1,foot
1,tongue
1,feather
1,candidate
1,sovereignty
1,village
1,herald
1,bridle
1,nation
1,declaration
1,cloth
1,certificate
1,spring
1,guard
1,credit
1,bushel
1,vassal
1,matter
1,chain
1,militia
1,black
1,enemy
1,tittle
1,radical
1,gift
1,mantle
1,argument
1,traitor
1,prayer
1,manager
1,gathering
1,wealth
1,portuguese
1,degree
1,iron
1,manner
1,father
1,result
1,object
1,manufacture
1,incident
1,legislature
1,light
1,remedy
1,military
1,trinity
1,scalp
1,sabbath
1,religion
1,capacity
1,american
1,charleston
1,delegate
1,spirit
1,desire
1,cause
1,qualification
1,earth
1,citizen
1,grasp
1,deliberation
1,value
1,sponsor
1,earl
1,yellow
1,sky
1,arrival
1,thein
1,apprentice
1,test
1,crop
1,spire
1,bit
1,awe
1,censer
1,lady
1,tree
1,mode
1,foul
1,supremacy
1,seat
1,fruit
1,myle
1,responsibility
1,city
1,fasten
1,captive
1,sink
1,halter
1,form
1,spectrum
1,committee
1,mind
1,burthen
1,vote
1,idiot
1,mine
1,nail
1,ransom
1,custody
1,deduction
1,staple
1,lead
1,particular
1,exercise
1,substance
1,performance
1,stem
1,communication
1,council
1,end
1,index
1,building
1,horry
1,realm
1,teacher
1,immortality
1,violet
1,me
1,democracy
1,violence
1,encouragement
1,territory
1,bill
1,repentance
1,drawing-room
1,bind
1,election
1,roi
1,rain
1,suspense
1,admiration
1,fast
1,whisper
1,present
1,sash
1,district
1,wood
1,fellow
1,construction
1,parasol
1,commissioner
1,congress
1,festival
1,bay-side
1,republic
1,weight
1,intercourse
1,captain
1,countryman
1,canopy
1,phosphate
1,intellectual
1,favor
1,omen
1,mean
1,flame
1,ill-clad
1,pre-eminence
1,thread
1,trial
1,muzzle
1,principle
