count,lemma
135,hand
38,arm
34,""
26,breath
15,head
13,finger
11,paper
10,cup
10,place
9,door
8,ground
8,shoulder
7,back
7,glass
7,stick
6,pen
6,palm
6,father
6,skirt
5,side
5,mouth
5,hostage
5,cigarette
5,thing
5,tongue
5,child
5,box
5,phone
5,weapon
5,eye
5,wrist
5,fire
5,bottle
5,check
5,moment
5,gun
4,ear
4,grudge
4,man
4,tooth
4,light
4,position
4,baby
4,sheet
4,coffee
4,thumb
4,p.-a
4,heart
4,people
4,card
4,patience
4,tear
4,mirror
3,pistol
3,anger
3,chair
3,conversation
3,lap
3,world
3,--
3,chest
3,wheel
3,life
3,folder
3,ball
3,flame
3,prisoner
3,object
3,knife
3,promise
3,note
3,plate
3,lip
3,face
3,throat
3,church
3,beam
3,dog
3,control
3,peace
3,shotgun
3,plastic
3,group
3,think
3,rifle
3,sheaf
3,foot
3,flower
3,drink
3,weight
3,water
3,neck
3,force
3,nose
3,hint
3,forefinger
3,point
3,sword
3,briefcase
3,bag
3,bird
2,plug
2,flag
2,torch
2,angle
2,jaw
2,fear
2,hearing
2,support
2,plissken
2,lake
2,navel
2,clinic
2,family
2,service
2,son
2,cell
2,arrow
2,waist
2,dance
2,shutter
2,squadron
2,hat
2,will
2,shock
2,clothes
2,ship
2,bone
2,jail
2,run
2,close
2,look
2,surprise
2,shoe
2,mind
2,emotion
2,stomach
2,tobacco
2,number
2,building
2,carriage
2,word
2,meeting
2,friend
2,photo
2,body
2,book
2,red
2,memory
2,olive
2,hope
2,bowl
2,pearl
2,machete
2,benjy
2,police
2,other
2,automatic
2,breast
2,elastic
2,cross
2,atmosphere
2,crowd
2,rod
2,egg
2,court
2,dolly
2,lord
2,ice
2,earth
2,brush
2,coal
2,power
2,wall
2,grasp
2,tank
2,call
2,girl
2,pouch
2,bar
2,machine
2,table
2,mortgage
2,ticket
2,mouthpiece
2,woman
2,city
2,laughter
2,handkerchief
2,gaze
2,opinion
2,grove
2,captive
2,rabbit
2,piece
2,house
2,discussion
2,strap
2,bay
2,fact
2,tag
2,comb
2,spear
2,mine
2,rape
2,mother
2,mama
2,leg
2,lot
2,belief
2,rock
2,bow
2,chin
2,caftan
2,sleeve
2,edge
2,silence
2,camera
1,converse
1,temper
1,jase
1,bridle
1,stretcher
1,pair
1,start
1,sack
1,collective
1,grass
1,sling
1,credit
1,webbing
1,matter
