count,lemma
21,hostage
17,hand
12,meeting
11,job
9,company
9,office
9,view
9,press
8,people
8,""
7,place
7,conference
7,--
6,share
6,power
6,public
6,post
6,state
6,arm
5,party
5,election
5,man
5,belief
5,title
5,law
5,lead
4,price
4,republican
4,firm
4,promise
4,back
4,captive
4,democrat
4,right
4,line
4,pen
4,head
4,position
4,record
4,house
3,meet
3,director
3,country
3,trust
3,chair
3,cabinet
3,history
3,hope
3,part
3,life
3,degree
3,problem
3,group
3,pattern
3,woman
3,member
3,center
3,hearing
3,master
3,breath
3,top
3,contempt
3,series
3,primary
3,rally
2,scene
2,government
2,rope
2,matter
2,french
2,rocket
2,camera
2,student
2,plane
2,angle
2,account
2,prison
2,water
2,baby
2,blade
2,child
2,patient
2,speech
2,referendum
2,room
2,administration
2,prayer
2,program
2,individual
2,goal
2,half
2,population
2,diplomat
2,rifle
2,memory
2,point
2,revenue
2,flower
2,other
2,space
2,cry
2,fact
2,sales
2,support
2,poster
2,court
2,criminal
2,ground
2,number
2,ear
2,watch
2,balance
2,university
2,variety
2,deficit
2,light
2,ticket
2,question
2,general
2,mortgage
2,work
2,tax
2,money
2,owner
2,celebration
2,activity
2,club
2,district
2,human
2,tube
2,attention
2,nose
2,palm
2,secret
2,key
2,rod
2,college
2,world
2,american
2,extremist
2,president
2,chest
2,amplifier
2,ransom
2,pair
2,art
2,end
2,seminar
2,card
2,talk
2,tradition
2,future
2,tank
2,ceremony
2,congress
2,rca
2,piece
2,coffee
2,discussion
2,grudge
2,taxi
1,oil
1,bulldog
1,opposition
1,freeze
1,capital
1,face
1,symptom
1,contract
1,letter
1,blue-and-silver
1,novel
1,rear
1,mea
1,nucleus
1,trophy
1,energy
1,culture
1,row
1,representative
1,lombia
1,policy
1,prac
1,chief
1,ject
1,corruption
1,dear
1,indication
1,moment
1,feel
1,wire
1,affair
1,jersey
1,branch
1,possibility
1,decision-making
1,agenda
1,trip
1,pot
1,offense
1,evidence
1,door
1,separatist
1,seal
1,item
1,think
1,reason
1,employer
1,basement
1,assembly
1,nutrition
1,investment
1,consortium
1,method
1,football
1,publication
1,book
1,perimeter
1,hammett
1,logic
1,registration
1,bookstore
1,clearance
1,convention
1,liquid
1,brush
1,brother
1,rubber
1,road
1,benignity
1,dog
1,presidency
1,passport
1,maturity
1,zin
1,slow-motion
1,worth
1,hair
1,tomor
1,intensity
1,tongue
1,westerner
1,patent
1,demonstration
1,candidate
1,nation
1,availability
1,eye
1,superpower
1,fear
1,stream
1,collective
1,saint
1,duke
1,license
1,stranger
1,urn
1,person
1,quality
1,bushel
1,stopover
1,pencil
1,esteem
1,command
1,help
1,love
1,pickens
1,bomb
1,transfer
1,grin
1,darkness
1,steadiness
1,coliseum
1,jury
1,wasteland
1,reception
1,equivalent
1,female
1,purpose
1,challenge
1,cut
1,risk
1,can
1,wealth
1,herd
1,priority
1,dynamics
1,thumb
1,soil
1,doctor
1,area
1,reality
1,temptation
1,sundown
1,mdma
1,sound
1,soup
1,object
1,outlay
1,incident
1,echo
1,usx
1,nba
1,loss
1,police
1,cook
1,beer
1,briefing
1,mormon
1,distance
1,scheme
1,string
1,tage
1,imad
1,information
1,essence
1,band
1,hos
1,relic
1,flash
1,idea
1,attraction
1,contemplative
1,official
1,cocktail
1,aid
1,200-member
1,doctorate
1,contact
1,mouth
1,advertising
1,caucus
1,training
1,balloon
1,affection
1,forum
1,crisis
1,assumption
1,telephone
1,parenting
1,weight
1,action
1,thing
1,jump
1,follower
1,supply
1,fool
1,halftime
1,sobriety
1,deposit
1,principle
1,maverick
1,chip
1,friction
1,class
1,counter
1,total
1,impression
1,league
1,concern
1,family
1,seed
1,tip
1,discrimination
1,yacht
1,labor
1,thrall
1,debate
1,protest
1,color
1,rostrum
1,damage
1,waste
1,gal
1,fever
1,explanation
1,perm
1,ncaa
1,ob
1,rifkind
1,com
1,consensus
1,fare
1,lion
1,course
1,conviction
1,market
1,live
1,agreement
1,animal
1,lawyer
1,confession
1,ideology
1,75th-anniversary
1,co
1,writer
1,film
1,editing
1,bin
1,procedure
1,drop
1,banking
1,auction
1,confidence
1,inflation
1,condition
1,choice
1,fold
1,octane
1,dark
1,turn
1,welterweight
1,camping
1,expansion
1,consultation
1,habash
1,portrait
1,circle
1,instrument
1,means-tested
1,exploitation
1,surrogate
1,behavior
1,transport
1,booth
1,encroachment
1,initiative
1,delegate
1,music
1,sway
1,farmer
1,earth
1,authorization
1,car
1,customer
1,discus
1,arrest
1,earl
1,pleasure
1,coffeepot
1,test
1,finger
1,victory
1,neighboring
1,biennial
1,wrench
1,airline
1,length
1,city
1,opinion
1,alcove
1,floor
1,loan
1,caving
1,militant
1,bond
1,exhilaration
1,park
1,level
1,hear
1,cold
1,auditorium
1,model
1,judge
1,braniff
1,mine
1,agriculture
1,motion
1,audition
1,improvement
1,jurisdiction
1,primacy
1,home-equity
1,lot
1,nugget
1,philosopher
1,showing
1,membership
1,wiesbaden
1,ve
1,index
1,liquor
1,coppola
1,bondage
1,sort
1,physician
1,dedication
1,window
1,earnings
1,prisoner
1,violence
1,page
1,base
1,tape
1,completion
1,hayakawa
1,trincomalee
1,round-the-clock
1,rush
1,way
1,rock
1,dumbbell
1,razor
1,finish
1,fortieth-anniversary
1,imagination
1,citizenship
1,supper
1,channel
1,breast
1,funding
1,relative
1,difference
1,european
1,re-creation
1,bail
1,industry
1,carrot
1,yanqui
1,passenger
1,reporter
1,act
1,will
1,ash
1,devel
1,coalition
1,form
1,stove
1,rival
1,civilian
1,episode
1,mind
1,change
1,immunity
1,ace
1,glass
1,horse
1,palace
1,reunion
1,terrorist
1,emergency
1,sign
1,deed
1,opment
1,junior
1,bank
1,electrician
1,judgment
1,appeal
1,journalism
1,expert
1,iranian-inspired
1,news
1,case
1,building
1,volume
1,stitute
