lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[HAND],100.0,61.0,53.0,101.0,71.0,125.0,81.0,116.0,174.0,146.0,148.0,145.0,138.0,142.0,116.0,146.0,135.0,150.0,136.0,2284.0
[ARM],26.0,18.0,17.0,21.0,23.0,25.0,24.0,23.0,25.0,42.0,56.0,38.0,38.0,58.0,34.0,34.0,38.0,39.0,33.0,612.0
[BREATH],32.0,13.0,7.0,8.0,9.0,10.0,8.0,27.0,31.0,23.0,12.0,8.0,22.0,23.0,24.0,19.0,26.0,37.0,41.0,380.0
[HEAD],27.0,17.0,17.0,13.0,13.0,20.0,17.0,12.0,34.0,23.0,30.0,19.0,21.0,18.0,15.0,17.0,15.0,26.0,13.0,367.0
[MAN],11.0,8.0,9.0,10.0,7.0,8.0,6.0,13.0,10.0,10.0,13.0,10.0,11.0,11.0,9.0,7.0,4.0,8.0,7.0,172.0
[FINGER],1.0,5.0,2.0,1.0,4.0,3.0,7.0,6.0,11.0,12.0,6.0,9.0,11.0,10.0,11.0,15.0,13.0,19.0,10.0,156.0
[PLACE],7.0,6.0,11.0,6.0,9.0,8.0,11.0,15.0,8.0,11.0,9.0,4.0,6.0,5.0,4.0,8.0,10.0,9.0,6.0,153.0
[DOOR],4.0,2.0,4.0,3.0,2.0,8.0,11.0,5.0,6.0,9.0,6.0,12.0,7.0,6.0,16.0,12.0,9.0,10.0,19.0,151.0
[BACK],2.0,4.0,2.0,2.0,3.0,12.0,9.0,4.0,3.0,15.0,15.0,7.0,2.0,9.0,9.0,12.0,7.0,12.0,12.0,141.0
[TONGUE],9.0,12.0,8.0,9.0,16.0,15.0,2.0,6.0,7.0,3.0,15.0,10.0,3.0,3.0,7.0,4.0,5.0,4.0,3.0,141.0
[EYE],4.0,3.0,6.0,4.0,5.0,3.0,1.0,3.0,2.0,5.0,12.0,14.0,12.0,4.0,3.0,7.0,5.0,7.0,14.0,114.0
[LIGHT],4.0,7.0,6.0,6.0,7.0,5.0,2.0,1.0,7.0,3.0,11.0,4.0,5.0,6.0,7.0,14.0,4.0,11.0,2.0,112.0
[GLASS],0.0,2.0,0.0,1.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,21.0,12.0,8.0,6.0,13.0,7.0,11.0,6.0,112.0
[MOMENT],9.0,1.0,5.0,4.0,4.0,6.0,3.0,8.0,5.0,9.0,5.0,4.0,4.0,6.0,10.0,10.0,5.0,2.0,8.0,108.0
[FACE],5.0,4.0,3.0,1.0,4.0,10.0,6.0,3.0,6.0,4.0,6.0,10.0,6.0,8.0,2.0,8.0,3.0,10.0,5.0,104.0
[HEART],12.0,16.0,10.0,5.0,3.0,3.0,6.0,7.0,3.0,6.0,10.0,2.0,7.0,1.0,0.0,2.0,4.0,0.0,5.0,102.0
