lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[HAND],11.0,19.0,9.0,15.0,24.0,28.0,22.0,27.0,21.0,33.0,23.0,27.0,15.0,26.0,19.0,24.0,17.0,22.0,33.0,415.0
[OFFICE],15.0,16.0,31.0,19.0,23.0,23.0,33.0,29.0,28.0,12.0,20.0,13.0,7.0,13.0,12.0,5.0,9.0,4.0,4.0,316.0
[PLACE],15.0,16.0,19.0,17.0,23.0,27.0,22.0,24.0,15.0,13.0,9.0,8.0,7.0,7.0,4.0,10.0,7.0,17.0,6.0,266.0
[POSITION],1.0,2.0,3.0,11.0,8.0,17.0,15.0,19.0,21.0,8.0,11.0,6.0,13.0,5.0,6.0,8.0,4.0,7.0,12.0,177.0
[MEETING],0.0,6.0,10.0,13.0,11.0,7.0,9.0,2.0,10.0,8.0,13.0,6.0,9.0,11.0,18.0,8.0,12.0,4.0,3.0,160.0
[MAN],1.0,10.0,16.0,11.0,19.0,9.0,13.0,10.0,8.0,8.0,8.0,13.0,5.0,9.0,5.0,7.0,5.0,0.0,3.0,160.0
[POWER],3.0,6.0,13.0,6.0,19.0,10.0,13.0,7.0,9.0,8.0,8.0,13.0,7.0,6.0,4.0,6.0,6.0,7.0,5.0,156.0
[COMPANY],0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,13.0,16.0,54.0,11.0,4.0,13.0,6.0,9.0,10.0,2.0,145.0
[PUBLIC],7.0,12.0,7.0,8.0,9.0,9.0,12.0,14.0,8.0,6.0,11.0,4.0,3.0,7.0,8.0,7.0,6.0,4.0,1.0,143.0
[OPINION],8.0,7.0,9.0,7.0,13.0,13.0,13.0,12.0,14.0,3.0,6.0,6.0,2.0,2.0,6.0,0.0,1.0,0.0,0.0,122.0
[JOB],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,18.0,14.0,17.0,21.0,11.0,11.0,8.0,12.0,119.0
[VIEW],0.0,3.0,8.0,8.0,10.0,8.0,10.0,9.0,7.0,8.0,9.0,1.0,3.0,2.0,4.0,5.0,9.0,5.0,2.0,111.0
[PEOPLE],2.0,5.0,3.0,6.0,9.0,3.0,11.0,9.0,7.0,7.0,8.0,1.0,3.0,5.0,5.0,4.0,8.0,7.0,2.0,105.0
[CONFERENCE],2.0,0.0,2.0,5.0,2.0,3.0,1.0,2.0,3.0,8.0,7.0,8.0,7.0,6.0,17.0,6.0,7.0,7.0,3.0,96.0
[GOVERNMENT],4.0,5.0,9.0,9.0,8.0,6.0,8.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,91.0
[HEAD],2.0,5.0,3.0,3.0,9.0,3.0,4.0,6.0,8.0,3.0,7.0,2.0,4.0,6.0,4.0,4.0,4.0,6.0,8.0,91.0
[CHECK],2.0,5.0,7.0,2.0,12.0,8.0,14.0,8.0,7.0,9.0,6.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,89.0
[WORLD],1.0,5.0,5.0,2.0,6.0,2.0,3.0,5.0,3.0,7.0,3.0,2.0,6.0,6.0,7.0,12.0,2.0,3.0,6.0,86.0
[RIGHT],2.0,4.0,10.0,6.0,4.0,12.0,8.0,4.0,2.0,2.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,85.0
[STATE],4.0,2.0,4.0,7.0,12.0,5.0,7.0,6.0,5.0,3.0,4.0,6.0,3.0,2.0,1.0,1.0,6.0,2.0,1.0,81.0
[PROPERTY],5.0,5.0,17.0,5.0,11.0,6.0,6.0,7.0,5.0,3.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,81.0
[ARM],4.0,1.0,2.0,0.0,3.0,2.0,4.0,4.0,4.0,6.0,4.0,6.0,4.0,5.0,4.0,2.0,6.0,3.0,9.0,73.0
[BREATH],0.0,3.0,1.0,1.0,4.0,5.0,2.0,1.0,2.0,3.0,2.0,6.0,7.0,4.0,4.0,2.0,3.0,13.0,9.0,72.0
