lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[HAND],4.0,38.0,10.0,20.0,15.0,24.0,39.0,39.0,16.0,27.0,15.0,14.0,11.0,10.0,7.0,21.0,11.0,6.0,8.0,335.0
[OFFICE],18.0,23.0,49.0,17.0,21.0,7.0,14.0,17.0,6.0,9.0,18.0,17.0,10.0,7.0,11.0,12.0,12.0,4.0,7.0,279.0
[PLACE],9.0,7.0,13.0,26.0,15.0,8.0,18.0,13.0,20.0,18.0,17.0,21.0,20.0,10.0,12.0,8.0,2.0,4.0,3.0,244.0
[POSITION],1.0,5.0,3.0,19.0,6.0,7.0,16.0,9.0,14.0,16.0,17.0,27.0,9.0,16.0,16.0,22.0,9.0,4.0,12.0,228.0
[MEETING],5.0,25.0,12.0,3.0,3.0,1.0,53.0,18.0,1.0,8.0,1.0,6.0,3.0,5.0,24.0,4.0,9.0,4.0,9.0,194.0
[MAN],4.0,6.0,7.0,8.0,12.0,13.0,7.0,5.0,5.0,19.0,8.0,13.0,11.0,8.0,3.0,6.0,4.0,4.0,3.0,146.0
[VIEW],2.0,1.0,1.0,2.0,2.0,5.0,7.0,6.0,8.0,3.0,6.0,7.0,11.0,4.0,14.0,9.0,6.0,8.0,7.0,109.0
[POWER],6.0,9.0,6.0,3.0,7.0,5.0,8.0,3.0,1.0,1.0,8.0,7.0,7.0,3.0,8.0,5.0,5.0,1.0,10.0,103.0
[COURT],7.0,6.0,3.0,8.0,3.0,9.0,7.0,6.0,6.0,5.0,6.0,6.0,2.0,3.0,0.0,3.0,2.0,2.0,2.0,86.0
[LAND],5.0,5.0,6.0,9.0,10.0,5.0,7.0,6.0,2.0,1.0,1.0,7.0,8.0,1.0,4.0,2.0,3.0,2.0,0.0,84.0
[WATER],1.0,1.0,0.0,2.0,10.0,4.0,9.0,2.0,4.0,6.0,7.0,8.0,4.0,4.0,6.0,1.0,4.0,2.0,5.0,80.0
[PUBLIC],2.0,6.0,7.0,6.0,1.0,3.0,3.0,2.0,1.0,5.0,6.0,6.0,3.0,5.0,4.0,5.0,4.0,4.0,6.0,79.0
[STATE],6.0,3.0,5.0,5.0,4.0,3.0,3.0,5.0,6.0,3.0,1.0,2.0,3.0,5.0,1.0,1.0,6.0,9.0,1.0,72.0
[HEAD],1.0,3.0,3.0,4.0,3.0,8.0,4.0,13.0,4.0,6.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,9.0,70.0
[SWAY],1.0,2.0,0.0,1.0,1.0,3.0,5.0,4.0,3.0,6.0,3.0,10.0,6.0,4.0,2.0,7.0,2.0,1.0,7.0,68.0
[OPINION],4.0,12.0,6.0,5.0,1.0,4.0,2.0,3.0,5.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,68.0
[GROUND],1.0,4.0,0.0,3.0,8.0,10.0,4.0,10.0,8.0,2.0,4.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,67.0
[PEOPLE],0.0,2.0,0.0,2.0,9.0,6.0,5.0,2.0,0.0,1.0,4.0,1.0,8.0,2.0,6.0,7.0,6.0,2.0,3.0,66.0
[END],3.0,3.0,1.0,6.0,2.0,2.0,9.0,3.0,4.0,3.0,2.0,1.0,1.0,6.0,9.0,4.0,5.0,2.0,0.0,66.0
[CHECK],1.0,4.0,0.0,2.0,6.0,7.0,1.0,3.0,1.0,4.0,10.0,8.0,3.0,4.0,4.0,2.0,1.0,3.0,0.0,64.0
[COMPANY],0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,0.0,1.0,12.0,6.0,1.0,6.0,11.0,5.0,7.0,1.0,61.0
