count,lemma
62,eye
38,""
22,hand
20,mind
18,thing
17,man
17,quiet
14,foot
14,head
14,mouth
13,secret
12,house
11,people
11,way
9,place
9,back
8,right
8,door
7,end
7,think
7,face
7,company
7,watch
7,promise
7,wait
7,pace
7,sight
7,room
7,home
6,rest
6,mother
6,silence
6,track
6,voice
6,woman
6,boy
6,nose
5,father
5,work
5,family
5,money
5,faith
5,change
4,stand
4,guard
4,luck
4,red
4,step
4,p.-a
4,bit
4,spirit
4,lady
4,hold
4,child
4,engagement
4,baby
4,hat
4,kind
4,low
4,side
4,state
4,word
4,appointment
4,road
4,shirt
3,life
3,law
3,pope
3,kitchen
3,fire
3,cover
3,client
3,run
3,appearance
3,look
3,book
3,dark
3,game
3,memory
3,wall
3,court
3,cotton
3,finger
3,dog
3,ground
3,name
3,table
3,floor
3,temper
3,walk
3,world
3,hear
3,hell
3,prisoner
2,counsel
2,cry
2,garden
2,glance
2,get
2,bush
2,study
2,glare
2,information
2,pet
2,fane
2,murder
2,touch
2,hide
2,folk
2,plant
2,post
2,rate
2,dinner
2,son
2,trouble
2,death
2,grape
2,tent
2,ear
2,firm
2,lodger
2,shake
2,food
2,gossip
2,sister
2,habit
2,range
2,background
2,trap
2,trade
2,hair
2,loose
2,middle
2,record
2,training
2,office
2,boarding-house
2,leaf
2,tongue
2,account
2,rabbit
2,tray
2,chair
2,moment
2,nerve
2,shape
2,bound
2,job
2,scream
2,country
2,horror
2,content
2,clothes
2,jump
2,fear
2,club
2,pretense
2,leg
2,library
2,lute
2,tax
2,order
2,objective
2,master
2,seat
2,lip
2,captain
2,mane
2,fool
2,ask
2,journal
2,fence
2,prison
2,pocket
2,business
2,glass
2,force
2,peace
2,say
2,wife
2,sense
2,appetite
2,knowledge
2,drink
2,slave
2,relationship
2,bed
2,plane
2,carriage
1,picture
1,blood
1,pot
1,camp
1,rope
1,sheep
1,ray
1,shove
1,dish
1,carpet
1,dining
1,vase
1,care
1,bluff
1,waitin
1,clipping
1,dress
1,trunk
1,tooth
1,krull
1,latch
1,bromide
1,porpoise
1,orphan
1,gown
1,point
1,sake
1,outa
1,heart
1,stroller
1,valette
1,other
1,elevator
1,frigidity
1,sword
1,grangers
1,path
1,self-respect
1,fog
1,galosh
1,lucille
1,happenedto
1,curve
1,prue
1,strain
1,distress
1,hack
1,friendliness
1,sack
1,till
1,cloth
1,cat
1,tab
1,person
1,hollow
1,clear-headed
1,scotsman
1,garage
1,elegance
1,armoire
1,excellency
1,monologue
1,cage
1,thanks
1,butcher
1,excitement
1,love
1,confine
1,breakfast
1,clay
1,jam
1,duli
1,lighter
1,square
1,factory
1,roommate
1,souvenir
1,complaint
1,jury
1,heat
1,war
1,parent
1,female
1,purpose
1,position
1,leash
1,nut
1,gathering
1,sun
1,flower
1,tobacco
1,search
1,material
1,mood
1,broom
1,gump
1,manner
1,profit
1,crap
1,sentence
1,sound
1,mule
1,lamp
1,weems
1,pant
1,shop
1,theater
1,moat
1,mattress
1,tear
1,light
1,lizette
1,police
1,price
1,a-coming
1,prayin
1,butt
1,distance
1,pistol
1,scalp
1,furnace
1,buyin
1,lafayette
1,thinkin
1,pennant
1,soldier
1,blower
1,rooming
1,suspense
1,bar
1,cripple
1,contact
1,fellow
1,talk
1,parlor
1,ranch
1,term
1,hut
1,hardinge
1,papa
1,coffee
1,glove
1,allegiance
1,cross-examination
1,portfolio
1,weight
1,neck
1,hang
1,jewel
1,heaven
1,treetops
1,gentleman
1,king
1,giorgio
1,discovery
1,shade
1,sawbuck
1,trial
1,muzzle
1,ankle
1,class
1,devil
1,importance
1,hedge
1,tip
1,coyote
1,throat
1,debate
1,excess
1,sunshine
1,routine
1,indian
1,button
1,murderer
1,poll
1,groan
1,bone
1,destiny
1,wit
1,pillow
1,cliff
1,interest
1,discontent
1,laird
1,surface
1,fate
1,course
1,glassful
1,control
1,dodie
1,hunch
1,jewett
1,thought
1,gardener
1,altimeter
1,original
1,number
1,academy
1,vaiden
1,rig
1,prance
1,necessity
1,pause
1,vanilla
1,goat
1,arithmetic
1,question
1,move
1,friend
1,settlement
1,cash
1,green
1,diary
1,towel
1,general
1,niece
1,leopard
1,sunlight
1,safe
1,frrom
1,bunch
1,owner
1,teeter
1,pearl
1,bean
1,trust
1,tune
1,mare
1,grocery-shop
1,instrument
1,cream
1,cookie
1,cabin
1,figure
1,view
1,egg
1,college
1,ginger
1,gharry
1,hebrew-school
1,tastin
1,music
1,weapon
1,earth
1,field
1,car
1,customer
1,gentile
1,overcoat
1,stallion
1,brand
1,courage
1,hospital
1,party
1,moustache
1,dive
1,development
1,emery
1,cuff
1,taste
1,mix
1,laughter
1,buttin
1,brace
1,awl
1,shrine
1,loan
1,inside
1,coverlet
1,arcade
1,spark
1,bull
1,dampness
1,motion
1,damp
1,pepper
1,store
1,benvenuto
1,goal
1,liquor
1,titan
1,pavement
1,box
1,kettle
1,shore
1,protection
1,listen
1,hero
1,gracie
1,note
1,lease
1,lock
1,boss
1,support
1,rain
1,intent
1,mischief
1,church
1,one-horse
1,handling
1,visit
1,belly
1,hobby
1,promotion
1,pen
1,weather
1,pony
1,xanthus
1,toe
1,gov'ment
1,ring
1,axe
1,rule
1,tonquin
1,lissy
1,thigh
1,backing
1,reserve
1,secretary
1,tradition
1,staccato
1,quarter
1,fruit
1,preparation
1,fanny
1,industry
1,berth
1,windrow
1,corinne
1,mud
1,arm's-length
1,joke
1,ignorance
1,divorce
1,screen
1,beef
1,happening
1,delay
1,circulation
1,comedy
1,stove
1,canon
1,form
1,calm
1,expenditure
1,horse
1,victor
1,ease
1,emergency
1,sofa
1,jinx
1,vigil
1,badger
1,standin
1,tony
1,news
1,feelin
1,chrysanthemum
1,fancy
1,trace
1,fault
1,flow
1,water
1,team
1,salt
1,hunh
1,flandrau
1,dip
1,piano
1,danger
1,eat
1,knife
1,pig
1,wisdom
1,brood
1,alumni
1,present
1,bugle
1,rash
1,topic
1,eyebrow
1,circumstance
1,limb
1,poise
1,front
1,passion
1,scruple
1,padlock
1,hook
1,columnist
1,lunacy
1,freight
1,chatter
1,bottle
1,health
1,apartment
1,drawer
1,gun
1,mission
1,chap
1,edna
1,inspector
1,shoulder
1,hit
1,feeling
1,lock-up
1,burst
1,bundle
1,squeeze
1,fugitive
1,dig
1,resentment
1,nurse
1,check
1,wine
1,rifle
1,school
1,graduate
1,uncertainty
1,stickin
1,fact
1,terror
1,flag
1,emmie
1,ball
1,read
1,living
1,rut
1,coat
1,tellin
1,waist
1,occasion
1,conversation
1,wolf
1,offer
1,street
1,flesh
1,weeping
1,movement
1,wedding
1,land
1,sir
1,astor
1,humor
1,fly
1,cup
1,hall
1,shoe-shining
1,log
1,lightning
1,sand
1,seraglio
1,husband
1,crock
1,private
1,letter
1,hickory
1,lid
1,soul
1,hippie
1,top
1,instinct
1,buggy
1,snake
1,voyage
1,tramp
1,polycarp
1,wretchedness
1,current
1,edge
1,poppy
1,attention
1,muscle
1,sleep
1,cap
1,breach-of-promise
1,song
1,doorstep
1,cadet
1,feel
1,valuables
1,dance
1,affair
1,misery
1,politics
1,dope
1,title
1,neuralgia
