count,lemma
29,mind
21,pace
13,record
11,""
9,hand
8,place
8,eye
7,water
7,room
7,man
7,price
7,quiet
6,standard
5,work
5,solution
5,business
5,order
5,world
5,material
5,condition
4,river
4,secret
4,cold
4,promise
4,part
4,country
4,account
4,state
4,position
4,book
4,war
4,thread
4,food
4,control
4,prisoner
3,live
3,job
3,people
3,rest
3,power
3,air
3,home
3,school
3,public
3,interest
3,faith
3,industry
3,rank
3,needle
3,village
3,whole
3,contact
3,field
3,head
3,operation
3,house
3,constant
3,size
3,building
3,government
3,land
3,line
3,progress
3,way
3,matter
3,paper
3,distance
2,mob
2,foot
2,precipitate
2,uniform
2,nation
2,term
2,furniture
2,type
2,joy
2,mark
2,supply
2,distinction
2,quality
2,woman
2,person
2,principle
2,floor
2,clerk
2,church
2,officer
2,level
2,clothing
2,stress
2,family
2,vote
2,plain
2,objective
2,star
2,politics
2,run
2,picture
2,roman
2,color
2,individual
2,pocket
2,entry
2,bed
2,peace
2,existence
2,channel
2,design
2,child
2,face
2,contract
2,meat
2,parallel
2,check
2,step
2,demand
2,method
2,period
2,agreement
2,animal
2,journal
2,can
2,bound
2,number
2,fight
2,organization
2,touch
2,thumb
2,word
2,product
2,tendency
2,general
2,diary
2,dust
2,pretense
2,balance
2,program
2,store
2,ideal
2,edge
2,light
2,remedy
2,plate
2,wife
2,relative
2,road
2,present
2,fleet
2,earnings
2,information
2,force
2,barbarian
2,idea
2,achievement
2,expense
2,flavor
2,american
2,need
1,focus
1,letter
1,spot
1,memory
1,rear
1,grocery
1,problem
1,ear
1,ground
1,watch
1,craftsmanship
1,german
1,sow
1,club
1,palate
1,list
1,poverty
1,employee
1,attention
1,facility
1,cyclamen
1,stitching
1,key
1,homework
1,churchyard
1,subject
1,emotionalism
1,sodium
1,toast
1,residence
1,rise
1,dance
1,nature
1,acquisition
1,lie
1,branch
1,excellence
1,tell
1,vinegar
1,brick
1,door
1,ray
1,holiday
1,electrode
1,item
1,embroidery
1,turnstile
1,assembly
1,employer
1,accuracy
1,fluid
1,bladder
1,lull
1,longfellow
1,raveling
1,strike
1,point
1,voltage
1,heart
1,other
1,company
1,spectator
1,conscience
1,italian
1,court
1,approach
1,jacket
1,analysis
1,self-respect
1,arm
1,folder
1,desert
1,fog
1,limit
1,hotel
1,permit
1,port
1,slavery
1,pin
1,hair
1,belief
1,board
1,stream
1,card
1,reduction
1,declaration
1,cloth
1,spring
1,babe
1,back
1,differential
1,debarking
1,pencil
1,foodstuff
1,tent
1,chain
1,contemporary
1,notion
1,gap
1,turk
1,hemisphere
1,defile
1,nubbin
1,bomb
1,vocabulary
1,one
1,amazement
1,stand
1,square
1,strength
1,worker
1,souvenir
1,signing
1,starvation
1,heat
1,authority
1,possession
1,liberal
1,notebook
1,purpose
1,exclusion
1,use
1,shirt
1,wealth
1,cow
1,concomitant
1,masonry
1,vault
1,base
1,mate
1,concubine
1,vessel
1,pledge
1,whaler
1,lamp
1,operate
1,egyptian
1,spectroscope
1,proceeding
1,highway
1,filament
1,epithelium
1,tropics
1,shell
1,dignity
1,diner
1,wall
1,saddle
1,investigation
1,folk
1,modality
1,county
1,iodine
1,refrigerator
1,minimum
1,medicine
1,machine
1,odor
1,apprehension
1,doubt
1,gala
1,knee
1,piece
1,saving
1,amount
1,obliquity
1,thing
1,cattle
1,shade
1,student
1,prison
1,lens
1,plant
1,total
1,tip
1,bacterium
1,sol
1,true
1,carrel
1,forma
1,senate
1,draft
1,excess
1,armor
1,dominant
1,group
1,peasant
1,waste
1,poll
1,patronage
1,potential
