count,lemma
15,people
13,""
13,head
13,eye
11,mind
11,pace
11,secret
9,price
9,--
9,track
9,run
8,family
8,thing
7,profile
7,control
6,pressure
6,way
6,job
6,business
6,country
6,watch
5,faith
5,back
5,inflation
5,place
5,dog
5,house
5,minimum
5,hand
4,foot
4,money
4,record
4,arm
4,home
4,drug
4,life
4,quiet
4,rest
4,viewer
4,number
4,distance
4,tab
4,side
4,firm
4,power
4,schedule
4,wrap
4,water
4,sense
4,line
4,system
4,love
4,company
4,fight
4,lid
3,department
3,machine
3,word
3,option
3,press
3,view
3,story
3,child
3,fan
3,fire
3,walk
3,human
3,bay
3,shape
3,man
3,diary
3,voice
3,rise
3,work
3,oil
3,memory
3,employee
3,unemployment
3,town
3,ship
3,order
3,balance
3,key
3,book
2,finger
2,commitment
2,touch
2,seat
2,cool
2,end
2,question
2,genius
2,health
2,stock
2,hubby
2,sales
2,dignity
2,choice
2,wire
2,chain
2,air
2,mum
2,hope
2,laboratory
2,wallet
2,politics
2,aids
2,economy
2,promise
2,idea
2,help
2,recovery
2,campaign
2,wage
2,play
2,art
2,government
2,neighbor
2,majority
2,law
2,hostage
2,high
2,coalition
2,appearance
2,industry
2,city
2,present
2,lover
2,production
2,star
2,jury
2,come
2,apartment
2,gossip
2,plane
2,officer
2,right
2,woman
2,world
2,sight
2,candidate
2,chicken
2,founder
2,cost
2,member
2,nation
2,commerce
2,mood
2,state
2,low
2,surface
2,program
2,name
2,picture
2,cow
2,plug
2,window
2,bound
2,school
2,resident
2,madame
2,engine
2,worker
2,peace
2,war
2,spread
2,studio
2,film
2,fish
1,urge
1,source
1,asshole
1,truth
1,deacon
1,firehouse
1,code
1,broadway
1,dance
1,duty
1,missile
1,lip
1,activist
1,possibility
1,bible
1,bulletin
1,title
1,slickness
1,behind-the-counter
1,yap
1,guest
1,legacy
1,electron
1,coffer
1,sheep
1,questioner
1,republi
1,two-game
1,open
1,dish
1,paddle
1,think
1,single
1,melanoma
1,dress
1,collar
1,gather
1,bathtub
1,antidiscrimination
1,tooth
1,grandfather
1,basement
1,half
1,step
1,orphan
1,composure
1,demand
1,football
1,sin
1,point
1,organization
1,other
1,rank
1,screw
1,photograph
1,court
1,approach
1,adviser
1,count
1,cure
1,prediction
1,decor
1,road
1,supporter
1,audience
1,limit
1,grief
1,presidency
1,passport
1,bonkers
1,deere
1,habit
1,roster
1,worry
1,exporter
1,communist
1,bride
1,individuality
1,plus
1,turbot
1,grip
1,board
1,card
1,collective
1,mount
1,grass
1,ballerina
1,license
1,bell
1,cat
1,credit
1,bag
1,beacon
1,matter
1,titter
1,robe
1,reach
1,arc
1,bedside
1,excitement
1,black
1,uzi
1,boating
1,brainpower
1,blade
1,message
1,fashion
1,streetcar
1,root
1,serenity
1,argument
1,midtown
1,maintenance
1,autonomy
1,heat
1,snuff
1,prayer
1,liberal
1,female
1,position
1,nuke
1,cut
1,beach
1,do-it-yourself
1,bonus
1,wealth
1,crook
1,classroom
1,craft
1,fontainebleau
1,material
1,thumb
1,project
1,spiral
1,area
1,hooker
1,father
1,sound
1,marriage
1,handful
1,neighborhood
1,perspiration
1,body
1,shop
1,theater
1,beauty
1,aboveboard
1,associate
1,loss
1,ballet
1,surrender
1,military
1,element
1,proportion
1,bid
1,bather
1,skin
1,acti
1,self
1,purdue
1,killing
1,balance-of-trade
1,schoolchild
1,rebel
1,goodbye
1,premier
1,string
1,life-support
1,salinity
1,diet
1,wall
1,information
1,vat
1,band
1,jogger
1,location
1,identity
1,bargain
1,chunk
1,drainage
1,county
1,official
1,career
1,pain
1,pad
1,contact
1,talk
1,term
1,knee
1,abdomen
1,glove
1,perspective
1,telephone
1,weight
1,payment
1,gatekeeper
1,jump
1,pay-tv
1,stage
1,hyphen
1,supply
1,discovery
1,camera
1,fool
1,psychoanalysis
1,cable
1,coach
1,running-shoe
1,non-occult
1,impetus
1,rein
1,reckoning
1,awareness
1,bench
1,doon
1,consumption
1,toll
1,airway
1,plain
1,pavulon
1,partner
1,tang
1,debate
1,throng
