lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[EYE],44.0,40.0,38.0,26.0,28.0,35.0,31.0,38.0,49.0,56.0,48.0,62.0,67.0,52.0,48.0,55.0,54.0,64.0,74.0,909.0
[SECRET],40.0,31.0,34.0,23.0,31.0,30.0,30.0,26.0,22.0,21.0,12.0,13.0,21.0,11.0,18.0,16.0,32.0,18.0,19.0,448.0
[HAND],7.0,10.0,12.0,13.0,10.0,7.0,15.0,9.0,16.0,18.0,18.0,22.0,17.0,13.0,10.0,26.0,25.0,21.0,14.0,283.0
[WATCH],12.0,16.0,41.0,11.0,15.0,13.0,23.0,16.0,26.0,15.0,18.0,7.0,15.0,9.0,13.0,8.0,4.0,9.0,5.0,276.0
[HOUSE],10.0,7.0,11.0,13.0,27.0,38.0,8.0,13.0,32.0,13.0,15.0,12.0,8.0,14.0,9.0,10.0,13.0,7.0,7.0,267.0
[WAY],11.0,18.0,13.0,12.0,22.0,12.0,12.0,4.0,16.0,13.0,14.0,11.0,12.0,13.0,9.0,20.0,11.0,8.0,12.0,243.0
[THING],4.0,7.0,8.0,5.0,7.0,14.0,4.0,10.0,17.0,17.0,11.0,18.0,18.0,7.0,18.0,19.0,11.0,17.0,22.0,234.0
[MIND],3.0,3.0,3.0,3.0,7.0,9.0,11.0,18.0,10.0,5.0,4.0,20.0,16.0,16.0,23.0,13.0,13.0,20.0,25.0,222.0
[COMPANY],13.0,15.0,12.0,15.0,13.0,8.0,12.0,10.0,18.0,8.0,6.0,7.0,7.0,12.0,7.0,11.0,5.0,11.0,11.0,201.0
[QUIET],1.0,9.0,5.0,13.0,14.0,10.0,7.0,14.0,14.0,13.0,22.0,17.0,11.0,10.0,12.0,7.0,5.0,15.0,1.0,200.0
[HEAD],5.0,6.0,3.0,5.0,6.0,6.0,4.0,8.0,10.0,13.0,11.0,14.0,22.0,9.0,9.0,9.0,13.0,21.0,23.0,197.0
[MAN],9.0,8.0,4.0,2.0,15.0,7.0,10.0,9.0,13.0,14.0,10.0,17.0,8.0,12.0,7.0,16.0,13.0,5.0,6.0,185.0
[WORD],11.0,9.0,8.0,5.0,12.0,10.0,14.0,7.0,23.0,21.0,11.0,4.0,3.0,10.0,4.0,7.0,4.0,9.0,7.0,179.0
[PLACE],14.0,9.0,9.0,7.0,7.0,13.0,13.0,14.0,8.0,10.0,8.0,9.0,6.0,14.0,7.0,3.0,6.0,8.0,8.0,173.0
[MOUTH],0.0,0.0,3.0,0.0,3.0,2.0,1.0,2.0,6.0,7.0,14.0,14.0,24.0,16.0,17.0,21.0,10.0,9.0,13.0,162.0
[PROMISE],12.0,9.0,6.0,5.0,15.0,9.0,14.0,14.0,13.0,3.0,8.0,7.0,3.0,4.0,8.0,1.0,8.0,8.0,3.0,150.0
[DISTANCE],16.0,7.0,11.0,6.0,1.0,9.0,5.0,6.0,10.0,6.0,1.0,1.0,3.0,4.0,5.0,10.0,13.0,9.0,13.0,136.0
