lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[EYE],4.0,11.0,7.0,10.0,7.0,10.0,7.0,10.0,11.0,9.0,28.0,34.0,26.0,22.0,29.0,31.0,13.0,21.0,29.0,319.0
[MIND],3.0,16.0,10.0,10.0,11.0,18.0,7.0,13.0,14.0,34.0,18.0,29.0,13.0,8.0,6.0,10.0,11.0,30.0,24.0,285.0
[PACE],17.0,11.0,13.0,13.0,15.0,13.0,13.0,13.0,9.0,10.0,4.0,16.0,8.0,10.0,4.0,13.0,11.0,5.0,8.0,206.0
[SECRET],12.0,11.0,7.0,4.0,4.0,8.0,11.0,11.0,7.0,7.0,9.0,11.0,16.0,13.0,9.0,11.0,11.0,7.0,6.0,175.0
[MAN],8.0,4.0,9.0,5.0,8.0,9.0,15.0,10.0,13.0,14.0,12.0,13.0,14.0,6.0,5.0,5.0,3.0,3.0,5.0,161.0
[PEOPLE],2.0,4.0,4.0,4.0,4.0,3.0,4.0,10.0,6.0,15.0,9.0,13.0,8.0,11.0,10.0,9.0,15.0,11.0,4.0,146.0
[HAND],2.0,3.0,5.0,1.0,5.0,10.0,11.0,8.0,10.0,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,9.0,12.0,144.0
[PEACE],2.0,4.0,6.0,6.0,6.0,5.0,6.0,4.0,8.0,15.0,8.0,8.0,11.0,9.0,8.0,7.0,2.0,3.0,4.0,122.0
[HOUSE],2.0,5.0,2.0,2.0,7.0,6.0,7.0,9.0,5.0,5.0,13.0,11.0,8.0,13.0,7.0,9.0,5.0,4.0,2.0,122.0
[VIEW],13.0,15.0,15.0,11.0,16.0,15.0,7.0,8.0,4.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,0.0,2.0,120.0
[PLACE],3.0,7.0,9.0,8.0,7.0,7.0,9.0,6.0,7.0,5.0,6.0,2.0,8.0,1.0,7.0,1.0,5.0,9.0,4.0,111.0
[TRACK],0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,2.0,2.0,7.0,9.0,2.0,11.0,12.0,9.0,21.0,21.0,107.0
[HEAD],3.0,7.0,1.0,3.0,2.0,4.0,6.0,2.0,3.0,3.0,3.0,9.0,8.0,8.0,2.0,8.0,13.0,8.0,12.0,105.0
[ORDER],4.0,9.0,4.0,3.0,2.0,6.0,7.0,10.0,7.0,18.0,5.0,8.0,3.0,1.0,5.0,5.0,3.0,0.0,4.0,104.0
[THING],1.0,2.0,4.0,1.0,1.0,7.0,7.0,5.0,3.0,4.0,7.0,8.0,6.0,7.0,4.0,7.0,8.0,11.0,10.0,103.0
[PRICE],4.0,0.0,4.0,1.0,3.0,1.0,6.0,3.0,13.0,1.0,6.0,6.0,10.0,7.0,4.0,7.0,9.0,6.0,6.0,97.0
[WATCH],2.0,1.0,5.0,2.0,6.0,9.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,4.0,5.0,96.0
[HOME],5.0,2.0,4.0,4.0,0.0,3.0,4.0,4.0,3.0,6.0,7.0,13.0,7.0,8.0,3.0,2.0,4.0,7.0,7.0,93.0
[SCHOOL],10.0,6.0,4.0,1.0,6.0,2.0,2.0,8.0,4.0,1.0,2.0,9.0,3.0,6.0,8.0,4.0,2.0,6.0,9.0,93.0
[WORK],2.0,2.0,2.0,3.0,4.0,6.0,4.0,7.0,6.0,6.0,4.0,10.0,9.0,2.0,4.0,3.0,3.0,4.0,11.0,92.0
[WAY],1.0,1.0,6.0,8.0,2.0,2.0,4.0,5.0,5.0,3.0,9.0,1.0,11.0,8.0,6.0,2.0,6.0,7.0,4.0,91.0
[CHILD],1.0,2.0,5.0,1.0,2.0,1.0,4.0,4.0,5.0,6.0,9.0,10.0,1.0,9.0,1.0,4.0,3.0,11.0,9.0,88.0
[COMPANY],3.0,5.0,5.0,8.0,1.0,3.0,3.0,6.0,3.0,2.0,4.0,3.0,9.0,5.0,1.0,5.0,4.0,6.0,7.0,83.0
[WATER],2.0,8.0,4.0,5.0,1.0,3.0,2.0,2.0,3.0,7.0,6.0,11.0,5.0,6.0,2.0,1.0,4.0,4.0,5.0,81.0
[RECORD],5.0,0.0,2.0,0.0,3.0,2.0,2.0,3.0,4.0,2.0,0.0,13.0,5.0,7.0,4.0,7.0,4.0,8.0,9.0,80.0
[STATE],7.0,8.0,4.0,5.0,2.0,8.0,4.0,5.0,1.0,2.0,1.0,2.0,5.0,4.0,5.0,4.0,2.0,2.0,0.0,71.0
[FAMILY],0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,3.0,2.0,6.0,8.0,6.0,4.0,4.0,8.0,8.0,7.0,7.0,71.0
[MONEY],3.0,2.0,1.0,1.0,1.0,9.0,1.0,5.0,2.0,2.0,3.0,8.0,2.0,3.0,3.0,8.0,4.0,5.0,3.0,66.0
[WAR],0.0,2.0,2.0,0.0,3.0,1.0,0.0,4.0,2.0,4.0,3.0,13.0,14.0,7.0,5.0,1.0,2.0,1.0,2.0,66.0
