count,lemma
16,money
10,interest
10,game
9,ground
8,job
7,""
7,vote
6,power
6,battle
6,cause
6,race
5,plane
5,weight
5,war
5,man
4,sight
4,temper
4,army
4,life
4,business
4,touch
4,faith
4,identity
4,face
4,state
4,people
4,fight
4,hand
4,mind
4,friend
3,soul
3,pound
3,anonymity
3,credibility
3,campaign
3,possession
3,rhythm
3,customer
3,opportunity
3,labor
3,live
3,average
3,track
3,hold
3,respect
3,art
3,sense
3,way
3,empire
3,run
3,stroke
3,seat
3,legion
3,election
2,lust
2,think
2,play-off
2,maneuver
2,capacity
2,copy
2,negro
2,tooth
2,glory
2,bottom
2,land
2,heart
2,water
2,patient
2,garden
2,integrity
2,vitality
2,service
2,place
2,fog
2,fortune
2,magazine
2,contact
2,gaiety
2,leg
2,discussion
2,wife
2,translation
2,force
2,virtue
2,pilferage
2,nation
2,illusion
2,baby
2,advantage
2,grip
2,triumph
2,department
2,patience
2,gold
2,senate
2,law
2,club
2,one
2,urgency
2,fruit
2,issue
2,home
2,resentment
2,country
2,moment
2,member
2,personality
2,riot
2,chance
2,traveler
2,competition
2,case
2,manager
2,control
2,privilege
2,poker
2,use
2,subsidy
2,--
2,ball
1,boss
1,influence
1,support
1,master
1,breakdown
1,learning
1,character
1,pie
1,oxygen
1,present
1,reading
1,return
1,captain
1,pickle
1,vc
1,poise
1,intellectual
1,usefulness
1,franchise
1,steering
1,canh
1,steel
1,wreck
1,splendor
1,prestige
1,hit
1,vehicle
1,perjury
1,head
1,scene
1,lefthanders
1,equipment
1,friendship
1,block
1,mass
1,check
1,verdict
1,rifle
1,bet
1,shift
1,eyeglasses
1,cross-continent
1,glow
1,themthen
1,occasion
1,mob
1,stretch
1,revolution
1,effort
1,submarine
1,practitioner
1,innocence
1,competitiveness
1,threshold
1,painting
1,french
1,peace
1,humility
1,cloak
1,memory
1,species
1,studebaker
1,tournament
1,portrait
1,system
1,cam
1,bobby
1,secret
1,problem
1,herzog
1,view
1,german
1,ability
1,culture
1,row
1,director
1,miracle
1,chief
1,key
1,corruption
1,subject
1,motorist
1,last-place
1,operation
1,rise
1,title
1,tammany
1,realism
1,electron
1,wave
1,freedom
1,explosion
1,child
1,curtin
1,extravagance
1,dress
1,venture
1,ratio
1,reason
1,half
1,power-over
1,consciousness
1,point
1,company
1,count
1,convention
1,charm
1,self-respect
1,lift
1,dinner
1,attack
1,desert
1,supporter
1,audience
1,fan
1,wartime
1,shuffle
1,decay
1,ticket
1,amateur
1,cbs-tv
1,coauthor
1,preterite
1,bride
1,communist
1,sovereignty
1,world
1,bicker
1,pair
1,fear
1,tissue
1,mount
1,leukemia
1,matter
1,pavilion
1,reach
1,draw
1,thanks
1,bomb
1,inhibition
1,arab
1,primary
1,strength
1,baseball
1,midtown
1,daily
1,waiter
1,argument
1,enthusiasm
1,landscape
1,championship
1,wasteland
1,parent
1,purpose
1,shoe
1,challenge
1,material
1,area
1,sentence
1,result
1,dur
1,defeat
1,pant
1,mast
1,governorship
1,legislature
1,casino
1,radioactivity
1,beauty
1,gusto
1,airman
1,light
1,police
1,smoke
1,quiet
1,paper
1,cross
1,purdue
1,information
1,wall
1,slum
1,idea
1,pennant
1,county
1,official
1,reverie
1,veteran
1,career
1,fellow
1,house
1,telephone
1,grudge
1,pasty-faced
1,amount
1,half-castes
1,thing
1,springs
1,aspic
1,meed
1,grasshopper
1,distinction
1,speed
1,platform
1,student
1,pilot
1,principle
1,total
1,fumble
1,partisan
1,renomination
1,family
1,importance
1,spontaneity
1,purity
1,meditation
1,star
1,division
1,color
1,hubcap
1,grandmother
1,motor
1,damage
1,pull
1,group
1,interstice
1,ship
1,patronage
1,gov
1,essay
1,reader
1,torpedo
1,majesty
1,margin
1,peasantry
1,traction
1,space
1,heritage
1,mobility
1,course
1,market
1,pride
1,criminal
1,altitude
1,original
1,animal
1,rating
1,trap
1,state-within-a-state
1,bannock
1,post
1,accreditation
1,past
1,money-winning
1,breath
1,hope
1,//
1,cop
1,dark
1,series
1,turn
1,human
1,laugh
1,casper
1,base
1,status
1,intelligence
1,daughter
1,spirit
1,claw
1,weapon
1,sculpture
1,revenue
1,china
1,headline
1,literature
1,sketchiness
1,car
1,lobster
1,badge
1,sheen
1,cufflink
1,pursuit
1,receipt
1,meaning
1,wake
1,value
1,island
1,nce
1,charge
1,coal
1,airplane
1,merger
1,president
1,hospital
1,party
1,troop
1,history
1,station
1,name
1,right
1,bomber
1,recipe
1,upheaval
1,lingo
1,skolnick
1,catholic
1,quarter
1,clothes
1,hill
1,factor
1,probe
1,woman
1,length
1,stagnation
1,god
1,city
1,laughter
1,footing
1,nomination
1,floor
1,reporter
1,passenger
1,lower-priced
1,wig
1,anglo-saxon
1,obstetrics
1,rocket
1,nostalgia
1,bond
1,comedy
1,grandson
1,park
1,appreciation
1,commuter
1,pitfall
1,committee
1,league-leading
1,cough
1,player
1,glass
1,booby
1,loyalty
1,continuity
1,cargo
1,clout
1,lead
1,marble
1,lot
1,jungle
1,comparison
1,winner
1,abortion
1,appeal
1,briton
1,sales
1,magic
1,drive
1,merchantman
1,corridor
1,motley
1,cost
1,bloc
1,pitcher
1,custard
1,sidey
1,voice
1,firm
1,absenteeism
1,exchange
1,environment
1,deal
1,roman
1,territory
1,individual
1,patron
1,eat
1,grace
1,trade
1,lotz
1,solitaire
1,join
1,anthology
