count,lemma
14,mind
14,interest
12,job
11,sight
11,man
10,pound
9,control
9,think
9,weight
9,track
8,consciousness
8,touch
8,battle
7,balance
7,lot
6,eye
6,child
6,family
6,baby
6,sense
5,money
5,patience
5,thought
5,husband
5,soul
5,life
4,hope
4,contact
4,ground
4,thing
4,count
4,wife
4,fog
4,hand
4,definition
4,blood
4,friend
4,edge
4,leg
4,""
4,way
4,face
4,power
4,voice
3,end
3,appetite
3,game
3,spirit
3,art
3,cause
3,love
3,home
3,marriage
3,nerve
3,faith
3,business
3,name
3,body
3,tooth
3,fight
3,temper
3,dream
3,direction
3,moment
3,right
3,parent
3,animal
3,river
3,grip
3,ship
3,world
3,number
3,passport
2,booth
2,state
2,opportunity
2,ability
2,part
2,mother
2,back
2,sleep
2,hat
2,one
2,value
2,woman
2,youth
2,war
2,daughter
2,bit
2,client
2,boy
2,possibility
2,sea
2,cool
2,steam
2,word
2,place
2,breath
2,music
2,investment
2,point
2,judgment
2,focus
2,piece
2,heart
2,camera
2,mine
2,bet
2,course
2,fat
2,desert
2,dog
2,shame
2,case
2,sensation
2,whole
2,limb
2,live
2,member
2,phone
1,crenelations
1,feeling
1,boot
1,shadow
1,salvation
1,friendship
1,reef
1,toupee
1,diesel
1,line
1,luster
1,mass
1,drum
1,self-defense
1,glare
1,chance
1,chanku
1,six-year-old
1,drama
1,privilege
1,forehead
1,commune
1,apparition
1,ball
1,restaurant
1,living
1,altitude
1,final
1,determinant
1,waist
1,wolf
1,language
1,smile
1,scandal
1,spouse
1,shiver
1,movement
1,velvet
1,rumble
1,honey
1,bowdrie
1,innocence
1,land
1,side
1,drop
1,silver
1,share
1,move
1,victim
1,cash
1,look
1,dart
1,general
1,work
1,owner
1,calculus
1,abandonment
1,cab
1,memory
1,turn
1,letter
1,milady
1,cloud
1,to--
1,human
1,ally
1,forest
1,fleet
1,pump
1,tablet
1,handle
1,figure
1,ear
1,moisture
1,surf
1,widow
1,sparkle
1,energy
1,sole
1,voyage
1,bondees
1,so-and-so
1,urge
1,immigrant
1,cap
1,dear
1,slot
1,bogey
1,potato
1,contemplation
1,motel
1,feel
1,dance
1,dwell
1,rhythm
1,elmo
1,abyss
1,portion
1,picture
1,pot
1,door
1,blackness
1,item
1,middle
1,bluff
1,hold
1,stomach
1,wordplay
1,trunk
1,second-guess
1,fi
1,composure
1,closing
1,book
1,jpeg
1,heather
1,other
1,romance
1,kin
1,rumor
1,hardness
1,herbalance
1,charm
1,brother
1,arm
1,cornfield
1,salvage
1,audience
1,fan
1,ticket
1,ahfinney-tee
1,hotel
1,leather
1,habit
1,cyborg
1,maturity
1,hip
1,bee
1,foot
1,hair
1,uniform
1,affability
1,intensity
1,freelance
1,feather
1,start
1,town
1,cat
1,stranger
1,aidan
1,quality
1,sex
1,ingenue
1,chaos
1,law
1,factory
1,meat
1,argument
1,enthusiasm
1,heat
1,possession
1,research
1,scent
1,shoe
1,use
1,stick
1,fairy
1,beach
1,shirt
1,can
1,exile
1,werewolf
1,ssi
1,success
1,father
1,object
1,soup
1,tear
1,light
1,crush
1,skill
1,reservation
1,self
1,mind-set
1,underground
1,scalp
1,religion
1,chunk
1,county
1,reverie
1,and--
1,childbirth
1,stanza
1,glue
1,vic
1,house
1,shape
1,action
1,commodore
1,shot
1,cattle
1,pilot
1,detective
1,want
1,independence
1,earring
1,tribe
1,comfort
1,faculty
1,chip
1,treasure
1,sandal
1,lace-up
1,concern
1,lover
1,star
1,suggestion
1,trail
1,canine
1,wit
1,assignment
1,disbelief
1,lunch
1,department
1,property
1,thunderstorm
1,lord
1,cousin
1,memorial
1,mail-sorting
1,g-man
1,kid
1,gust
1,car
1,novelty
1,remember
1,chair
1,churn
1,loot
1,talisman
1,breathe
1,blast
1,victory
1,girl
1,split-level
1,policeman
1,maid
1,impatience
1,danica
1,foreclosure
1,seat
1,nestling
1,maddy
1,quarter
1,kell
1,trouser
1,city
1,dumbass
1,fascination
1,footing
1,grandchildren
1,credibility
1,ferocity
1,battlefield
1,will
1,toss
1,humanity
1,mirth
1,skirmish
1,disease
1,appreciation
1,illusion
1,cold
1,death
1,ze
1,player
1,antiquity
1,lengthen
1,orange
1,camper
1,recollection
1,brilliance
1,porn
1,eagle
1,task
1,coop
1,bottom
1,custody
1,connection
1,banjo
1,patient
1,gaze
1,triplicate
1,van
1,shock
1,blessing
1,popularity
1,low-hanging
1,magic
1,drive
1,volume
1,sort
1,presence
1,sovereign
1,wisp
1,tumult
1,dotcom
1,diabetes
1,water
1,roman
1,fortune
1,foreboding
1,grace
1,cancer
1,lease
1,slumber
1,adhesion
1,pretense
1,calculation
1,bubble
1,present
1,date
1,wood
1,bearing
1,kinsman
1,marlie
1,future
1,contest
1,vial
1,entertainment
1,newspaper
1,integrity
1,room
1,favor
1,initial
1,decadence
1,son
1,silverware
1,antique
1,gun
1,drawer
1,experiment
