count,lemma
22,job
19,weight
12,""
9,sight
7,interest
6,son
6,world
6,control
6,//
6,sense
5,touch
5,friend
5,money
5,ability
4,child
4,family
4,patience
4,war
4,man
4,pound
4,game
4,fight
4,way
4,body
4,muscle
4,live
3,consciousness
3,hope
3,leg
3,faith
3,memory
3,house
3,mother
3,edge
3,argument
3,number
3,authority
3,parent
3,people
3,sea
3,daughter
3,father
3,balance
3,election
3,life
2,insurance
2,tradition
2,revenue
2,hole
2,class
2,mind
2,confidence
2,dream
2,member
2,tooth
2,home
2,track
2,limb
2,diet
2,supply
2,credibility
2,farm
2,citizen
2,--
2,country
2,lot
2,advocate
2,face
2,partner
2,innocence
2,history
2,bone
2,male
2,period
2,race
2,ship
2,senate
2,loss
2,woman
2,vision
2,eye
2,bet
2,smallpox
2,price
2,crop
2,opportunity
2,public
2,puppy
2,hold
2,virginity
2,livelihood
2,food
2,soul
1,influence
1,chase
1,prairie
1,pain
1,colonel
1,odor
1,contact
1,bearing
1,lack
1,congress
1,internet
1,manufacturing
1,plot
1,downfall
1,discussion
1,paunch
1,mantra
1,shipping
1,empire
1,leakage
1,accord
1,stock
1,intellectual
1,usefulness
1,newspaper
1,fore
1,try
1,route
1,wrist
1,swing
1,want
1,sympathy
1,trial
1,pedal
1,health
1,fat
1,tie
1,treasure
1,mission
1,stroke
1,importance
1,budget
1,hit
1,standard
1,prospect
1,cotton
1,average
1,jazz
1,tariff
1,indian
1,artist
1,instability
1,infrastructure
1,disruption
1,evaporation
1,sensitivity
1,infinity
1,economou
1,competition
1,depression
1,privilege
1,kind
1,parliament
1,inauguration
1,function
1,conversation
1,lawyer
1,scale
1,trap
1,art
1,spouse
1,narcosis
1,nozzle
1,match
1,good
1,effort
1,vastness
1,land
1,wager
1,equal
1,cool
1,role
1,french
1,government
1,dart
1,oil
1,wonder
1,husband
1,species
1,business
1,trust
1,novel
1,wife
1,ally
1,pest
1,wage
1,canoe
1,secret
1,data
1,co-worker
1,groundwater
1,behavior
1,goodness
1,culture
1,club
1,ego
1,immersion
1,employee
1,key
1,urge
1,personality
1,feel
1,curiosity
1,rise
1,dance
1,nature
1,drifter
1,rhythm
1,activist
1,community
1,paradox
1,heck
1,civilization
1,clipper
1,lawsuit
1,artificiality
1,talent
1,item
1,middle
1,survey
1,think
1,unity
1,editor
1,wish
1,fad
1,fluid
1,pollution
1,population
1,appetite
1,step
1,book
1,allocation
1,heart
1,company
1,theme
1,self-righteousness
1,provision
1,court
1,count
1,brother
1,arm
1,fog
1,mortgage
1,leather
1,brave
1,sister
1,adversary
1,worth
1,hyperglycemia
1,hair
1,come
1,infant
1,follow-up
1,core
1,tongue
1,sovereignty
1,reduction
1,fear
1,maddux
1,certificate
1,person
1,sharpness
1,matter
1,airspeed
1,esteem
1,sex
1,divide
1,growth
1,one
1,cant
1,fuel
1,root
1,communism
1,institution
1,autonomy
1,enthusiasm
1,administration
1,record
1,position
1,wealth
1,ph
1,craft
1,degree
1,project
1,edition
1,profit
1,result
1,significance
1,incident
1,context
1,mountainside
1,light
1,manassas
1,skill
1,participant
1,bid
1,proportion
1,self
1,garden
1,haze
1,power
1,information
1,rescue
1,measure
1,psychiatrist
1,momentum
1,property
1,status
1,nerve
1,spirit
1,kid
1,rush
1,well
1,robbery
1,meaning
1,value
1,christian
1,soap
1,relevance
1,vulnerability
1,sky
1,finish
1,explorer
1,continent
1,mooring
1,direction
1,canyon
1,manuscript
1,tree
1,name
1,collapse
1,seat
1,queen
1,offshoring
1,clothes
1,funding
1,hill
1,one-run
1,city
1,witness
1,reporter
1,contour
1,big-name
1,inside
1,effect
1,emperor
1,officer
1,form
1,make
1,client
1,superlative
1,meter
1,production
1,ancestor
1,judge
1,multigame
1,income
1,enterprise
1,camper
1,assemblage
1,snag
1,scientist
1,bottom
1,tide
1,investor
1,latin
1,slider
1,place
1,bank
1,starter
1,mayoralty
1,sales
1,asset
1,expert
1,goal
1,train
1,volume
1,twitch
1,dowry
1,constituency
1,accident
1,flock
1,materialism
1,pool
1,water
1,struggle
1,inheritance
1,fortune
1,territory
1,flexibility
1,emphasis
1,identity
1,brief
1,buddy
1,official
1,reverie
1,poetry
