lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[SIGHT],21.0,22.0,20.0,23.0,9.0,26.0,16.0,25.0,13.0,13.0,11.0,6.0,4.0,3.0,6.0,7.0,10.0,4.0,11.0,250.0
[CHIEF],2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,244.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,250.0
[WAY],8.0,4.0,12.0,10.0,16.0,12.0,5.0,7.0,16.0,12.0,21.0,4.0,4.0,1.0,6.0,9.0,6.0,12.0,4.0,169.0
[TEMPER],3.0,2.0,5.0,1.0,4.0,5.0,4.0,8.0,3.0,28.0,15.0,17.0,8.0,13.0,5.0,12.0,8.0,6.0,3.0,150.0
[MONEY],2.0,1.0,8.0,7.0,13.0,8.0,3.0,13.0,12.0,7.0,11.0,7.0,8.0,9.0,13.0,8.0,9.0,5.0,5.0,149.0
[MAN],8.0,2.0,7.0,9.0,3.0,13.0,5.0,12.0,9.0,7.0,6.0,8.0,9.0,7.0,9.0,8.0,5.0,4.0,11.0,142.0
[LIFE],11.0,7.0,10.0,12.0,11.0,15.0,6.0,12.0,8.0,7.0,5.0,3.0,3.0,3.0,7.0,6.0,4.0,5.0,5.0,140.0
[INTEREST],3.0,1.0,0.0,3.0,5.0,5.0,5.0,6.0,7.0,3.0,13.0,13.0,12.0,8.0,6.0,8.0,13.0,7.0,14.0,132.0
[SENSE],13.0,10.0,3.0,6.0,3.0,6.0,5.0,7.0,5.0,8.0,9.0,8.0,5.0,9.0,0.0,5.0,5.0,10.0,6.0,123.0
[JOB],0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,4.0,2.0,3.0,6.0,14.0,13.0,9.0,9.0,7.0,16.0,12.0,103.0
[THINK],6.0,2.0,8.0,3.0,3.0,5.0,4.0,5.0,4.0,7.0,5.0,3.0,4.0,3.0,6.0,8.0,12.0,5.0,9.0,102.0
[POWER],10.0,10.0,4.0,4.0,8.0,12.0,3.0,8.0,7.0,4.0,1.0,3.0,2.0,4.0,3.0,4.0,5.0,5.0,4.0,101.0
[CHILD],10.0,4.0,6.0,12.0,4.0,1.0,0.0,6.0,8.0,8.0,1.0,3.0,5.0,6.0,3.0,6.0,1.0,9.0,6.0,99.0
[HEAD],3.0,0.0,2.0,1.0,1.0,6.0,2.0,12.0,7.0,12.0,10.0,5.0,14.0,5.0,3.0,1.0,0.0,1.0,0.0,85.0
[BALANCE],0.0,3.0,2.0,5.0,6.0,6.0,0.0,3.0,4.0,3.0,5.0,0.0,7.0,5.0,5.0,7.0,8.0,9.0,7.0,85.0
[CONTROL],0.0,1.0,0.0,0.0,3.0,0.0,4.0,2.0,3.0,10.0,4.0,3.0,6.0,10.0,5.0,10.0,7.0,5.0,9.0,82.0
[THING],3.0,4.0,6.0,2.0,3.0,2.0,8.0,1.0,4.0,8.0,7.0,6.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,80.0
[MIND],6.0,0.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,6.0,3.0,7.0,2.0,3.0,6.0,4.0,8.0,14.0,79.0
[PATIENCE],4.0,7.0,2.0,3.0,10.0,5.0,1.0,5.0,5.0,11.0,1.0,3.0,1.0,2.0,5.0,3.0,3.0,2.0,5.0,78.0
[SOUL],4.0,1.0,4.0,5.0,3.0,3.0,5.0,8.0,1.0,2.0,4.0,3.0,2.0,1.0,4.0,8.0,7.0,6.0,5.0,76.0
[FRIEND],5.0,5.0,6.0,10.0,6.0,6.0,4.0,6.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,73.0
[TRACK],2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,1.0,2.0,3.0,8.0,4.0,8.0,11.0,6.0,8.0,9.0,73.0
[PLEIAD],1.0,1.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
[HEART],3.0,3.0,4.0,3.0,3.0,12.0,5.0,7.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,68.0
[MOMENT],9.0,2.0,12.0,9.0,3.0,4.0,5.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,63.0
[LOVE],3.0,2.0,5.0,3.0,11.0,3.0,4.0,6.0,5.0,2.0,2.0,1.0,0.0,0.0,4.0,1.0,5.0,0.0,3.0,60.0
[WIFE],12.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,58.0
