lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[SIGHT],21.0,29.0,33.0,33.0,36.0,32.0,23.0,28.0,20.0,16.0,23.0,8.0,9.0,11.0,4.0,5.0,7.0,11.0,9.0,358.0
[JOB],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,40.0,12.0,8.0,8.0,16.0,23.0,24.0,23.0,166.0
[MONEY],1.0,4.0,0.0,0.0,1.0,4.0,7.0,0.0,10.0,3.0,10.0,26.0,13.0,20.0,16.0,18.0,13.0,11.0,9.0,166.0
[POWER],12.0,9.0,13.0,11.0,18.0,13.0,5.0,6.0,4.0,5.0,5.0,15.0,4.0,3.0,6.0,3.0,4.0,6.0,6.0,148.0
[MAN],2.0,4.0,5.0,9.0,6.0,9.0,13.0,6.0,12.0,8.0,4.0,11.0,9.0,6.0,5.0,3.0,1.0,2.0,4.0,119.0
[INTEREST],2.0,8.0,7.0,3.0,8.0,6.0,5.0,2.0,3.0,2.0,10.0,13.0,8.0,5.0,10.0,4.0,6.0,4.0,5.0,111.0
[WEIGHT],0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,4.0,7.0,15.0,58.0,102.0
[CONTROL],3.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,2.0,6.0,6.0,2.0,6.0,7.0,2.0,12.0,16.0,13.0,8.0,93.0
[FAITH],1.0,2.0,1.0,0.0,8.0,8.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,9.0,4.0,4.0,6.0,4.0,3.0,92.0
[LIFE],4.0,5.0,4.0,2.0,9.0,6.0,8.0,8.0,3.0,3.0,8.0,5.0,6.0,3.0,4.0,4.0,1.0,6.0,2.0,91.0
[GROUND],1.0,1.0,5.0,4.0,4.0,5.0,0.0,7.0,3.0,8.0,5.0,8.0,6.0,5.0,9.0,7.0,4.0,3.0,3.0,88.0
[WAY],3.0,4.0,1.0,1.0,3.0,3.0,7.0,8.0,5.0,5.0,9.0,8.0,7.0,2.0,3.0,3.0,3.0,9.0,3.0,87.0
[WAR],0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,8.0,2.0,10.0,20.0,10.0,5.0,7.0,7.0,4.0,4.0,85.0
[GAME],0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,4.0,1.0,16.0,10.0,16.0,8.0,4.0,9.0,76.0
[SENSE],2.0,2.0,4.0,4.0,2.0,5.0,1.0,6.0,2.0,10.0,5.0,3.0,2.0,4.0,3.0,3.0,6.0,3.0,7.0,74.0
[HOLD],1.0,5.0,11.0,5.0,11.0,2.0,7.0,4.0,2.0,6.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,72.0
[OPPORTUNITY],3.0,3.0,4.0,3.0,4.0,5.0,3.0,7.0,4.0,3.0,3.0,6.0,1.0,3.0,3.0,4.0,1.0,3.0,6.0,69.0
[BATTLE],3.0,1.0,4.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,8.0,4.0,6.0,6.0,7.0,8.0,6.0,5.0,66.0
[LIVE],4.0,0.0,3.0,6.0,1.0,7.0,3.0,1.0,5.0,6.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,0.0,4.0,66.0
[WORLD],2.0,6.0,2.0,1.0,3.0,1.0,2.0,3.0,0.0,3.0,4.0,3.0,6.0,6.0,1.0,5.0,2.0,6.0,8.0,64.0
[CONFIDENCE],1.0,2.0,4.0,3.0,5.0,2.0,2.0,6.0,1.0,7.0,4.0,3.0,4.0,2.0,0.0,0.0,2.0,3.0,5.0,56.0
[VOTE],1.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,3.0,3.0,2.0,5.0,2.0,1.0,7.0,3.0,8.0,5.0,2.0,51.0
[POUND],0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,3.0,7.0,4.0,10.0,15.0,50.0
[TEMPER],0.0,1.0,0.0,3.0,2.0,2.0,7.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,6.0,2.0,49.0
[--],0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,3.0,3.0,4.0,2.0,3.0,9.0,8.0,4.0,48.0
[VALUE],2.0,2.0,3.0,4.0,5.0,2.0,1.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,0.0,6.0,2.0,1.0,48.0
[CHARACTER],0.0,12.0,6.0,4.0,5.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,47.0
[CHILD],1.0,2.0,0.0,0.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,7.0,5.0,46.0
[INFLUENCE],8.0,6.0,2.0,4.0,4.0,1.0,4.0,5.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,46.0
[HEAD],1.0,1.0,0.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,44.0
