lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[SIGHT],21.0,22.0,23.0,18.0,17.0,27.0,25.0,15.0,23.0,20.0,15.0,11.0,11.0,13.0,7.0,14.0,3.0,8.0,9.0,302.0
[POWER],5.0,3.0,14.0,14.0,8.0,15.0,5.0,8.0,12.0,10.0,7.0,6.0,8.0,8.0,10.0,12.0,3.0,6.0,1.0,155.0
[MAN],8.0,2.0,4.0,3.0,12.0,13.0,5.0,7.0,11.0,6.0,9.0,2.0,5.0,2.0,1.0,4.0,1.0,1.0,4.0,100.0
[LIFE],6.0,2.0,8.0,3.0,6.0,7.0,4.0,4.0,7.0,14.0,3.0,6.0,2.0,9.0,2.0,4.0,1.0,0.0,3.0,91.0
[MONEY],3.0,5.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,11.0,7.0,3.0,9.0,7.0,7.0,5.0,86.0
[INTEREST],1.0,1.0,1.0,0.0,5.0,1.0,4.0,1.0,4.0,5.0,3.0,4.0,5.0,4.0,9.0,7.0,8.0,7.0,7.0,77.0
[WAY],2.0,3.0,4.0,5.0,4.0,8.0,3.0,9.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,8.0,1.0,4.0,73.0
[CONTROL],1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,5.0,4.0,2.0,2.0,7.0,9.0,6.0,10.0,7.0,6.0,66.0
[JOB],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,7.0,3.0,8.0,5.0,8.0,4.0,22.0,66.0
[SENSE],3.0,1.0,1.0,3.0,1.0,6.0,3.0,4.0,3.0,2.0,4.0,5.0,1.0,4.0,3.0,2.0,5.0,4.0,6.0,61.0
[WEIGHT],1.0,4.0,2.0,1.0,2.0,3.0,0.0,2.0,3.0,2.0,0.0,0.0,5.0,3.0,10.0,0.0,1.0,3.0,19.0,61.0
[PART],8.0,2.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,2.0,3.0,4.0,5.0,1.0,3.0,3.0,1.0,1.0,0.0,60.0
[LIVE],1.0,2.0,1.0,2.0,7.0,6.0,1.0,2.0,2.0,4.0,1.0,4.0,6.0,2.0,0.0,4.0,0.0,1.0,4.0,50.0
[OPPORTUNITY],1.0,4.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,5.0,4.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,49.0
[CHARACTER],2.0,1.0,6.0,3.0,0.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,0.0,1.0,4.0,3.0,0.0,0.0,48.0
[VALUE],3.0,2.0,1.0,6.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,9.0,1.0,47.0
[WAR],1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,5.0,2.0,5.0,7.0,3.0,5.0,8.0,4.0,47.0
[CHILD],2.0,2.0,1.0,0.0,2.0,5.0,0.0,8.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,47.0
[HEAD],0.0,0.0,1.0,2.0,0.0,4.0,3.0,10.0,3.0,3.0,2.0,4.0,6.0,3.0,1.0,2.0,0.0,2.0,0.0,46.0
[FAITH],0.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,0.0,4.0,4.0,6.0,3.0,3.0,1.0,2.0,1.0,3.0,45.0
[RIGHT],1.0,13.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,44.0
[--],5.0,2.0,0.0,3.0,6.0,10.0,4.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,43.0
[CONFIDENCE],1.0,3.0,2.0,2.0,6.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,8.0,1.0,3.0,3.0,5.0,1.0,2.0,43.0
[FRIEND],8.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0,5.0,42.0
[FATHER],2.0,3.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,0.0,6.0,3.0,40.0
[BATTLE],0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,3.0,5.0,0.0,1.0,5.0,5.0,2.0,3.0,2.0,2.0,0.0,37.0
[FORCE],3.0,2.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,35.0
[HOLD],1.0,0.0,3.0,3.0,1.0,6.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,35.0
[HEAT],0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,7.0,1.0,2.0,7.0,0.0,34.0
[TEMPER],0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,5.0,4.0,0.0,6.0,2.0,2.0,2.0,3.0,1.0,0.0,34.0
[INFLUENCE],4.0,0.0,2.0,2.0,4.0,5.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,33.0
