count,lemma
11,government
9,college
6,position
5,union
4,existence
4,peace
4,state
4,right
4,proportion
4,power
4,place
4,dignity
3,word
3,authority
3,integrity
3,cause
3,purity
3,""
2,plan
2,supremacy
2,rule
2,reputation
2,view
2,inhabitant
2,expense
2,claim
2,duty
2,theory
2,organization
2,part
2,man
2,population
2,institution
2,relation
2,office
2,question
2,indian
2,purpose
2,silence
2,opposition
2,field
2,//
2,principle
2,species
2,party
1,limit
1,difference
1,ticket
1,simplicity
1,city
1,society
1,hazard
1,opinion
1,temper
1,ignorance
1,loan
1,orthodoxy
1,equilibrium
1,dormitory
1,suit
1,grade
1,supervision
1,circulation
1,sink
1,act
1,town
1,basis
1,ordinance
1,credit
1,level
1,rival
1,matter
1,concept
1,contemporary
1,change
1,economist
1,production
1,classification
1,country
1,growth
1,law
1,stand
1,section
1,judge
1,loyalty
1,depreciation
1,administration
1,war
1,colonist
1,use
1,cheat
1,sun
1,wealth
1,english
1,material
1,substance
1,science
1,emigrant
1,academic
1,permanence
1,railroad
1,perversion
1,fame
1,result
1,neighborhood
1,jew
1,direct
1,theater
1,sovereign
1,sort
1,deference
1,beauty
1,cost
1,light
1,shore
1,voice
1,tender
1,rigor
1,prisoner
1,ascendency
1,convert
1,struggle
1,colony
1,note
1,abode
1,trade
1,drain
1,election
1,aid
1,pare
1,mischief
1,fellow
1,fence
1,treaty
1,compromise
1,walk
1,allegiance
1,agitator
1,church
1,payment
1,intercourse
1,precaution
1,amount
1,compulsion
1,bickering
1,intellectual
1,bayonet
1,refusal
1,honesty
1,order
1,security
1,distinction
1,superintendence
1,increase
1,sympathy
1,independence
1,unsectarian
1,mission
1,crime
1,family
1,bulwark
1,force
1,plain
1,coin
1,standard
1,framework
1,voter
1,contrary
1,whole
1,rate
1,life
1,outline
1,sewerage
1,friendship
1,fugitive
1,line
1,diversity
1,conduct
1,school
1,interest
1,doctrine
1,inviolability
1,debt
1,course
1,demeanor
1,control
1,kind
1,parliament
1,recitation
1,public
1,righteousness
1,progress
1,insinuate
1,reconciliation
1,vacuum
1,academy
1,people
1,art
1,passage
1,style
1,post
1,side
1,evolution
1,share
1,mistake
1,panacea
1,idler
1,work
1,condition
1,harmony
1,quo
1,sum
1,face
1,acumen
1,army
1,age
1,race
1,servant
1,system
1,triumph
1,watch
1,ventilation
1,poverty
1,measure
1,policy
1,status
1,combination
1,truth
1,justice
1,pequot
1,nature
1,hand
1,constitution
1,leadership
1,island
1,civilization
1,superior
1,way
1,close
1,oath
1,talent
1,preference
1,unity
1,president
1,extravagance
1,proposition
1,troop
1,carpenter
1,citation
1,dependence
1,discipline
1,method
1,prejudice
1,fund
1,point
1,proclamation
1,chapel
1,organ
1,company
1,skeleton
1,conscience
1,development
1,court
1,par
1,analysis
1,liberty
1,republican
1,intervention
1,successor
