count,lemma
2,control
2,grade
2,power
2,privacy
2,homeostasis
2,silence
2,temperature
2,house
1,dignity
1,study
1,grace
1,border
1,value
1,shut-out
1,household
1,contact
1,rig
1,freedom
1,income
1,think
1,perspective
1,root
1,child
1,chamber
1,respect
1,rink
1,candor
1,three-bedroom
1,lifestyle
1,composure
1,gaze
1,look
1,confidence
1,haircut
1,strike
1,relationship
1,manhood
1,integrity
1,sake
1,almshouse
1,work
1,other
1,wrist
1,application
1,hope
1,fiction
1,ceremony
1,state
1,iron
1,wardrobe
1,apartment
1,gait
1,stability
1,tie
1,link
1,quarter
1,balance
1,air
1,ground
1,body
1,ramp
1,watch
1,tilt
1,assassination
1,rental
1,compressor
1,man
1,sparkle
1,god
1,city
1,type
1,equipment
1,friendship
1,semblance
1,grip
1,correspondence
1,glare
1,quality
1,park
1,level
1,orphanage
1,agency
1,illusion
1,kind
1,objectivity
1,help
1,creature
1,buffer
1,tightness
1,street
1,erection
1,fabrication
1,mother
1,skin
1,access
1,weapon
1,fifty-meter
