lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[POSITION],2.0,2.0,11.0,6.0,6.0,6.0,4.0,11.0,5.0,8.0,3.0,6.0,2.0,4.0,3.0,0.0,1.0,2.0,7.0,89.0
[RIGHT],4.0,9.0,9.0,11.0,5.0,4.0,6.0,2.0,5.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,67.0
[GOVERNMENT],6.0,2.0,8.0,3.0,7.0,11.0,6.0,3.0,3.0,4.0,3.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,64.0
[ORDER],1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,9.0,6.0,1.0,6.0,8.0,4.0,3.0,2.0,1.0,0.0,57.0
[PEACE],0.0,4.0,2.0,5.0,0.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,5.0,6.0,2.0,1.0,0.0,1.0,1.0,47.0
[STANDARD],0.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,5.0,4.0,4.0,5.0,7.0,2.0,1.0,2.0,2.0,3.0,1.0,46.0
[FORCE],5.0,1.0,2.0,1.0,0.0,1.0,8.0,1.0,4.0,3.0,2.0,4.0,0.0,5.0,1.0,3.0,4.0,1.0,0.0,46.0
[POWER],1.0,2.0,1.0,3.0,5.0,4.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,40.0
[ARMY],0.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,3.0,6.0,3.0,4.0,5.0,3.0,1.0,1.0,0.0,1.0,39.0
[SYSTEM],2.0,1.0,6.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,39.0
[MAN],0.0,0.0,4.0,6.0,3.0,2.0,3.0,2.0,0.0,3.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,37.0
[RELATION],1.0,4.0,0.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,0.0,6.0,0.0,1.0,2.0,2.0,1.0,0.0,36.0
[INTEGRITY],3.0,2.0,1.0,2.0,6.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,3.0,0.0,36.0
[INDEPENDENCE],5.0,4.0,5.0,3.0,2.0,1.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,36.0
[STATE],2.0,1.0,2.0,2.0,1.0,4.0,4.0,6.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,35.0
[LAW],2.0,1.0,3.0,2.0,5.0,1.0,7.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0
[CONTROL],0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,3.0,2.0,2.0,2.0,5.0,4.0,1.0,5.0,33.0
[GROUND],2.0,3.0,9.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,32.0
[PRESENT],3.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,4.0,3.0,2.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,31.0
