lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[ORDER],3.0,5.0,4.0,2.0,8.0,6.0,1.0,3.0,3.0,3.0,4.0,7.0,5.0,9.0,9.0,9.0,9.0,13.0,2.0,105.0
[POSITION],1.0,3.0,4.0,2.0,1.0,3.0,6.0,2.0,6.0,8.0,6.0,5.0,4.0,8.0,6.0,3.0,4.0,3.0,2.0,77.0
[LEVEL],1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,6.0,4.0,3.0,5.0,4.0,17.0,10.0,12.0,69.0
[STANDARD],1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,5.0,17.0,3.0,8.0,2.0,5.0,6.0,1.0,60.0
[RIGHT],0.0,9.0,9.0,8.0,5.0,6.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0,57.0
[POWER],1.0,5.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,8.0,5.0,7.0,5.0,4.0,3.0,4.0,57.0
[LIFE],1.0,0.0,2.0,0.0,2.0,5.0,2.0,0.0,3.0,4.0,9.0,2.0,8.0,2.0,2.0,3.0,4.0,1.0,3.0,53.0
[CONTROL],1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,8.0,9.0,9.0,5.0,50.0
[BALANCE],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,3.0,4.0,2.0,5.0,10.0,5.0,7.0,50.0
[SYSTEM],1.0,0.0,6.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0,7.0,6.0,5.0,50.0
[STATE],1.0,3.0,4.0,5.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,3.0,5.0,2.0,3.0,48.0
[CONDITION],0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,47.0
[TEMPERATURE],0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,6.0,6.0,3.0,6.0,3.0,2.0,4.0,4.0,45.0
[CONTACT],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,1.0,15.0,5.0,5.0,5.0,41.0
[LAW],0.0,3.0,1.0,11.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,8.0,2.0,2.0,2.0,3.0,40.0
[RELATION],0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,1.0,7.0,1.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,40.0
[PEACE],0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,1.0,5.0,7.0,2.0,7.0,0.0,4.0,39.0
[FAMILY],0.0,1.0,4.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,3.0,4.0,4.0,1.0,4.0,38.0
[PUBLIC],1.0,2.0,5.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,2.0,37.0
[GOVERNMENT],0.0,0.0,1.0,7.0,5.0,2.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,1.0,2.0,0.0,2.0,37.0
[AUTHORITY],0.0,2.0,2.0,4.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,37.0
[SCHOOL],0.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,5.0,1.0,1.0,4.0,3.0,1.0,0.0,1.0,35.0
[RELATIONSHIP],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,6.0,0.0,2.0,1.0,14.0,4.0,1.0,34.0
